2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,武汉大学,,,1190
2,2,前5%,同济大学,,,439
3,3,前10%,北京师范大学,,,180
4,5,前10%,北京大学,,,139
5,4,前10%,南京大学,,,89
6,11,前25%,中南大学,,,87
7,6,前25%,清华大学,,,79
8,,前25%,南京信息工程大学,,,56
9,7,前25%,电子科技大学,,,55
10,9,前25%,中国地质大学（武汉）,,,52
11,8,前25%,西南交通大学,,,45
12,13,前25%,河海大学,,,39
13,10,前25%,中国矿业大学,,,37
14,14,前25%,战略支援部队信息工程大学,,,30
15,15,前50%,中国地质大学（北京）,,,27
16,16,前50%,南京师范大学,,,21
17,19,前50%,中国矿业大学（北京）,,,19
18,17,前50%,吉林大学,,,18
19,20,前50%,中国海洋大学,,,16
20,23,前50%,山东科技大学,,,13
21,21,前50%,长安大学,,,12
22,,前50%,广东工业大学,,,11
22,23,前50%,桂林理工大学,,,11
24,22,前50%,北京交通大学,,,10
25,,前50%,中国石油大学（华东）,,,9
26,,前50%,河南大学,,,8
26,,前50%,重庆大学,,,8
28,25,前50%,东南大学,,,7
28,12,前50%,河南理工大学,,,7
