排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,清华大学,,,1283
2,前5%,南京大学,,,1099
3,前5%,北京大学,,,967
4,前5%,浙江大学,,,836
5,前5%,同济大学,,,783
6,前5%,北京师范大学,,,563
7,前5%,哈尔滨工业大学,,,550
8,前5%,复旦大学,,,482
9,前5%,天津大学,,,374
10,前10%,中国科学技术大学,,,352
11,前10%,大连理工大学,,,348
12,前10%,上海交通大学,,,327
13,前10%,南开大学,,,318
14,前10%,中山大学,,,302
15,前10%,厦门大学,,,296
16,前10%,河海大学,,,264
17,前10%,北京工业大学,,,236
18,前10%,山东大学,,,228
19,前10%,华东理工大学,,,214
20,前25%,西安建筑科技大学,,,186
21,前25%,南京信息工程大学,,,181
22,前25%,华中农业大学,,,178
23,前25%,浙江工业大学,,,173
24,前25%,华南理工大学,,,167
25,前25%,中国农业大学,,,165
26,前25%,武汉大学,,,161
27,前25%,中南大学,,,148
28,前25%,华中科技大学,,,143
29,前25%,湖南大学,,,135
30,前25%,昆明理工大学,,,133
31,前25%,华北电力大学,,,132
32,前25%,南京农业大学,,,119
33,前25%,大连海事大学,,,108
34,前25%,中国海洋大学,,,107
35,前25%,中国地质大学（武汉）,,,98
35,前25%,中国人民大学,,,98
37,前25%,东北师范大学,,,93
38,前25%,江苏大学,,,90
39,前25%,上海大学,,,89
40,前25%,北京林业大学,,,87
41,前25%,兰州大学,,,86
41,前25%,重庆大学,,,86
43,前25%,暨南大学,,,81
44,前25%,四川大学,,,78
45,前25%,江南大学,,,72
45,前25%,中国矿业大学（北京）,,,72
47,前25%,华东师范大学,,,71
47,前25%,天津师范大学,,,71
49,前50%,西北农林科技大学,,,69
50,前50%,兰州理工大学,,,67
51,前50%,华中师范大学,,,62
51,前50%,中国地质大学（北京）,,,62
53,前50%,南昌航空大学,,,60
53,前50%,上海师范大学,,,60
55,前50%,南京理工大学,,,59
56,前50%,东华大学,,,58
57,前50%,吉林大学,,,57
58,前50%,天津工业大学,,,55
59,前50%,北京化工大学,,,54
59,前50%,东南大学,,,54
61,前50%,北京科技大学,,,53
62,前50%,山西大学,,,52
62,前50%,西安交通大学,,,52
64,前50%,济南大学,,,51
65,前50%,西南大学,,,47
66,前50%,中国石油大学（北京）,,,45
67,前50%,广东工业大学,,,44
68,前50%,北京航空航天大学,,,41
69,前50%,南京师范大学,,,40
69,前50%,苏州科技大学,,,40
69,前50%,武汉理工大学,,,40
69,前50%,浙江工商大学,,,40
73,前50%,福州大学,,,39
74,前50%,北京建筑大学,,,38
74,前50%,合肥工业大学,,,38
74,前50%,河南师范大学,,,38
74,前50%,南京工业大学,,,38
78,前50%,东北大学,,,36
79,前50%,黑龙江大学,,,35
79,前50%,华南师范大学,,,35
81,前50%,福建师范大学,,,34
82,前50%,桂林理工大学,,,33
82,前50%,中国矿业大学,,,33
84,前50%,华侨大学,,,32
84,前50%,太原理工大学,,,32
86,前50%,扬州大学,,,30
87,前50%,广州大学,,,26
88,前50%,北京交通大学,,,24
88,前50%,常州大学,,,24
90,前50%,华南农业大学,,,23
90,前50%,天津城建大学,,,23
90,前50%,湘潭大学,,,23
90,前50%,新疆大学,,,23
94,前50%,青岛科技大学,,,22
94,前50%,上海理工大学,,,22
94,前50%,长安大学,,,22
97,前50%,安徽工业大学,,,21
97,前50%,南京林业大学,,,21
97,前50%,四川农业大学,,,21
97,前50%,燕山大学,,,21
97,前50%,郑州大学,,,21
