2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,清华大学,,,1513
2,2,前1%,南京大学,,,1100
3,3,前5%,北京大学,,,957
4,4,前5%,浙江大学,,,913
5,5,前5%,同济大学,,,859
6,6,前5%,北京师范大学,,,832
7,7,前5%,哈尔滨工业大学,,,527
8,8,前5%,复旦大学,,,450
9,10,前5%,中国科学技术大学,,,361
10,12,前5%,上海交通大学,,,331
11,11,前10%,大连理工大学,,,329
12,13,前10%,南开大学,,,328
13,9,前10%,天津大学,,,311
14,14,前10%,中山大学,,,302
15,15,前10%,厦门大学,,,298
16,24,前10%,华南理工大学,,,288
17,29,前10%,湖南大学,,,284
18,16,前10%,河海大学,,,251
19,18,前10%,山东大学,,,244
20,31,前10%,华北电力大学,,,242
21,19,前25%,华东理工大学,,,219
22,26,前25%,武汉大学,,,196
23,17,前25%,北京工业大学,,,194
24,23,前25%,浙江工业大学,,,179
25,43,前25%,暨南大学,,,172
26,21,前25%,南京信息工程大学,,,166
27,28,前25%,华中科技大学,,,155
27,30,前25%,昆明理工大学,,,155
29,35,前25%,中国地质大学（武汉）,,,152
30,25,前25%,中国农业大学,,,145
31,38,前25%,江苏大学,,,143
32,62,前25%,西安交通大学,,,142
33,20,前25%,西安建筑科技大学,,,140
34,34,前25%,中国海洋大学,,,130
35,32,前25%,南京农业大学,,,124
36,61,前25%,北京科技大学,,,117
37,44,前25%,四川大学,,,111
38,33,前25%,大连海事大学,,,108
39,41,前25%,重庆大学,,,105
40,41,前25%,兰州大学,,,104
41,22,前25%,华中农业大学,,,97
42,40,前25%,北京林业大学,,,96
42,39,前25%,上海大学,,,96
44,49,前25%,西北农林科技大学,,,93
45,37,前25%,东北师范大学,,,92
46,87,前25%,广州大学,,,91
46,27,前25%,中南大学,,,91
48,55,前25%,南京理工大学,,,88
49,67,前25%,广东工业大学,,,80
49,35,前25%,中国人民大学,,,80
51,47,前25%,华东师范大学,,,79
52,45,前50%,中国矿业大学（北京）,,,78
53,45,前50%,江南大学,,,75
54,51,前50%,中国地质大学（北京）,,,73
55,59,前50%,东南大学,,,68
55,51,前50%,华中师范大学,,,68
57,56,前50%,东华大学,,,67
57,62,前50%,山西大学,,,67
59,53,前50%,上海师范大学,,,62
59,97,前50%,郑州大学,,,62
61,64,前50%,济南大学,,,60
62,,前50%,江汉大学,,,59
63,69,前50%,苏州科技大学,,,58
64,57,前50%,吉林大学,,,56
65,79,前50%,华南师范大学,,,54
65,69,前50%,武汉理工大学,,,54
67,59,前50%,北京化工大学,,,53
67,58,前50%,天津工业大学,,,53
69,68,前50%,北京航空航天大学,,,51
69,65,前50%,西南大学,,,51
71,69,前50%,南京师范大学,,,50
72,82,前50%,中国矿业大学,,,48
73,74,前50%,合肥工业大学,,,46
74,53,前50%,南昌航空大学,,,45
74,66,前50%,中国石油大学（北京）,,,45
76,47,前50%,天津师范大学,,,44
77,74,前50%,南京工业大学,,,43
78,74,前50%,河南师范大学,,,42
79,74,前50%,北京建筑大学,,,40
79,69,前50%,浙江工商大学,,,40
81,50,前50%,兰州理工大学,,,39
82,73,前50%,福州大学,,,37
82,90,前50%,华南农业大学,,,37
84,78,前50%,东北大学,,,36
84,,前50%,重庆工商大学,,,36
86,84,前50%,华侨大学,,,35
86,84,前50%,太原理工大学,,,35
86,94,前50%,长安大学,,,35
89,82,前50%,桂林理工大学,,,32
89,79,前50%,黑龙江大学,,,32
89,,前50%,南昌大学,,,32
89,,前50%,西南科技大学,,,32
93,81,前50%,福建师范大学,,,31
94,,前50%,福建农林大学,,,30
94,,前50%,陕西师范大学,,,30
96,88,前50%,北京交通大学,,,29
97,97,前50%,南京林业大学,,,28
97,94,前50%,上海理工大学,,,28
99,90,前50%,天津城建大学,,,27
100,86,前50%,扬州大学,,,26
101,,前50%,广西大学,,,25
101,,前50%,吉林建筑大学,,,25
101,97,前50%,四川农业大学,,,25
