排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,上海交通大学,,,1075
2,前5%,四川大学,,,621
3,前5%,北京大学,,,610
4,前10%,华中科技大学,,,603
5,前10%,清华大学,,,594
6,前10%,复旦大学,,,577
7,前10%,华南理工大学,,,560
8,前25%,东南大学,,,502
9,前25%,第三军医大学,,,377
10,前25%,电子科技大学,,,363
11,前25%,浙江大学,,,358
12,前25%,西安交通大学,,,295
13,前25%,中山大学,,,277
14,前25%,第四军医大学,,,274
15,前25%,苏州大学,,,210
16,前25%,南京大学,,,191
17,前25%,中国科学技术大学,,,187
18,前25%,南方医科大学,,,185
19,前25%,天津大学,,,177
20,前50%,同济大学,,,162
21,前50%,北京航空航天大学,,,156
22,前50%,武汉大学,,,144
23,前50%,山东大学,,,139
24,前50%,吉林大学,,,123
25,前50%,暨南大学,,,119
26,前50%,首都医科大学,,,110
27,前50%,重庆医科大学,,,105
28,前50%,重庆大学,,,104
29,前50%,厦门大学,,,97
30,前50%,东北大学,,,89
30,前50%,哈尔滨工业大学,,,89
32,前50%,华东理工大学,,,83
33,前50%,西安电子科技大学,,,79
34,前50%,南京医科大学,,,78
35,前50%,北京协和医学院,,,74
36,前50%,天津医科大学,,,73
36,前50%,西南交通大学,,,73
38,前50%,中北大学,,,72
39,前50%,中国药科大学,,,71
