2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,上海交通大学,,,978
2,7,前5%,华南理工大学,,,730
3,11,前5%,浙江大学,,,722
4,2,前5%,四川大学,,,685
5,8,前10%,东南大学,,,665
6,5,前10%,清华大学,,,580
7,4,前10%,华中科技大学,,,556
8,6,前10%,复旦大学,,,520
9,10,前25%,电子科技大学,,,506
10,3,前25%,北京大学,,,480
11,9,前25%,陆军军医大学,,,296
12,12,前25%,西安交通大学,,,286
13,13,前25%,中山大学,,,268
14,14,前25%,空军军医大学,,,245
15,21,前25%,北京航空航天大学,,,238
16,19,前25%,天津大学,,,235
17,15,前25%,苏州大学,,,232
18,35,前25%,北京协和医学院,,,210
19,18,前25%,南方医科大学,,,203
20,20,前25%,同济大学,,,190
21,17,前25%,中国科学技术大学,,,177
22,16,前25%,南京大学,,,169
23,22,前50%,武汉大学,,,164
24,34,前50%,南京医科大学,,,159
25,,前50%,北京理工大学,,,156
26,26,前50%,首都医科大学,,,142
27,24,前50%,吉林大学,,,134
28,27,前50%,重庆医科大学,,,126
29,,前50%,深圳大学,,,124
29,28,前50%,重庆大学,,,124
31,30,前50%,哈尔滨工业大学,,,122
32,25,前50%,暨南大学,,,120
33,23,前50%,山东大学,,,119
34,,前50%,海军军医大学,,,96
35,36,前50%,天津医科大学,,,85
35,39,前50%,中国药科大学,,,85
37,29,前50%,厦门大学,,,84
38,30,前50%,东北大学,,,80
39,33,前50%,西安电子科技大学,,,79
40,,前50%,中国医科大学,,,77
41,36,前50%,西南交通大学,,,76
42,,前50%,西北工业大学,,,75
43,,前50%,温州医科大学,,,71
44,,前50%,哈尔滨医科大学,,,69
44,32,前50%,华东理工大学,,,69
