排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,清华大学,,,1208
2,前5%,电子科技大学,,,1036
3,前5%,东南大学,,,929
4,前5%,西安电子科技大学,,,882
5,前5%,南京大学,,,734
6,前5%,北京大学,,,648
7,前10%,北京邮电大学,,,629
8,前10%,复旦大学,,,561
9,前10%,上海交通大学,,,553
10,前10%,浙江大学,,,450
11,前10%,华中科技大学,,,429
12,前10%,哈尔滨工业大学,,,341
13,前10%,北京航空航天大学,,,293
14,前25%,吉林大学,,,292
15,前25%,华南理工大学,,,283
16,前25%,西安交通大学,,,273
17,前25%,中国科学技术大学,,,244
18,前25%,天津大学,,,239
19,前25%,南京航空航天大学,,,215
20,前25%,北京理工大学,,,198
21,前25%,中山大学,,,196
22,前25%,南京理工大学,,,190
23,前25%,国防科学技术大学,,,189
24,前25%,厦门大学,,,156
25,前25%,北京交通大学,,,142
26,前25%,南京邮电大学,,,140
27,前25%,华东师范大学,,,129
27,前25%,武汉大学,,,129
29,前25%,湖南大学,,,106
30,前25%,西北工业大学,,,103
31,前25%,重庆大学,,,100
32,前25%,深圳大学,,,99
33,前25%,东北大学,,,96
34,前50%,大连理工大学,,,94
34,前50%,合肥工业大学,,,94
34,前50%,西南交通大学,,,94
37,前50%,山东大学,,,90
38,前50%,杭州电子科技大学,,,86
39,前50%,南开大学,,,82
39,前50%,上海大学,,,82
41,前50%,安徽大学,,,79
41,前50%,四川大学,,,79
43,前50%,苏州大学,,,78
44,前50%,宁波大学,,,62
45,前50%,北京工业大学,,,57
46,前50%,解放军理工大学,,,52
46,前50%,中南大学,,,52
48,前50%,广东工业大学,,,50
49,前50%,黑龙江大学,,,49
50,前50%,武汉理工大学,,,47
51,前50%,空军工程大学,,,45
52,前50%,福州大学,,,41
53,前50%,兰州大学,,,39
54,前50%,武汉纺织大学,,,36
54,前50%,重庆邮电大学,,,36
56,前50%,华南师范大学,,,35
56,前50%,江南大学,,,35
56,前50%,太原理工大学,,,35
59,前50%,桂林电子科技大学,,,31
60,前50%,长沙理工大学,,,29
61,前50%,河南大学,,,27
61,前50%,江苏大学,,,27
63,前50%,大连海事大学,,,25
63,前50%,中国计量大学,,,25
65,前50%,暨南大学,,,24
65,前50%,燕山大学,,,24
67,前50%,中北大学,,,23
