2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,4,前1%,西安电子科技大学,,,1194
2,1,前5%,清华大学,,,1060
3,2,前5%,电子科技大学,,,1035
4,3,前5%,东南大学,,,967
5,5,前5%,南京大学,,,905
6,6,前5%,北京大学,,,806
7,7,前10%,北京邮电大学,,,665
8,9,前10%,上海交通大学,,,587
9,8,前10%,复旦大学,,,577
10,10,前10%,浙江大学,,,475
11,16,前10%,西安交通大学,,,415
12,14,前10%,吉林大学,,,404
13,11,前10%,华中科技大学,,,376
14,15,前25%,华南理工大学,,,351
15,13,前25%,北京航空航天大学,,,324
16,12,前25%,哈尔滨工业大学,,,297
17,21,前25%,中山大学,,,280
18,20,前25%,北京理工大学,,,274
19,18,前25%,天津大学,,,256
20,17,前25%,中国科学技术大学,,,240
21,22,前25%,南京理工大学,,,238
22,23,前25%,国防科学技术大学,,,223
23,19,前25%,南京航空航天大学,,,218
24,41,前25%,四川大学,,,187
25,24,前25%,厦门大学,,,183
26,26,前25%,南京邮电大学,,,168
27,25,前25%,北京交通大学,,,158
27,27,前25%,武汉大学,,,158
29,27,前25%,华东师范大学,,,147
30,32,前25%,深圳大学,,,141
31,37,前25%,山东大学,,,131
32,30,前25%,西北工业大学,,,125
33,29,前25%,湖南大学,,,121
34,38,前50%,杭州电子科技大学,,,120
35,34,前50%,西南交通大学,,,112
35,31,前50%,重庆大学,,,112
37,41,前50%,安徽大学,,,106
38,33,前50%,东北大学,,,105
39,34,前50%,大连理工大学,,,98
40,39,前50%,南开大学,,,94
41,34,前50%,合肥工业大学,,,87
42,39,前50%,上海大学,,,81
43,43,前50%,苏州大学,,,75
44,48,前50%,广东工业大学,,,71
45,49,前50%,黑龙江大学,,,63
45,44,前50%,宁波大学,,,63
47,46,前50%,陆军工程大学,,,58
48,45,前50%,北京工业大学,,,57
48,46,前50%,中南大学,,,57
50,54,前50%,重庆邮电大学,,,55
51,51,前50%,空军工程大学,,,53
52,54,前50%,武汉纺织大学,,,52
53,50,前50%,武汉理工大学,,,47
54,56,前50%,江南大学,,,46
55,59,前50%,桂林电子科技大学,,,41
56,52,前50%,福州大学,,,40
57,,前50%,河北工业大学,,,37
57,53,前50%,兰州大学,,,37
59,,前50%,南方科技大学,,,36
60,56,前50%,华南师范大学,,,35
60,,前50%,西安理工大学,,,35
62,61,前50%,江苏大学,,,32
62,60,前50%,长沙理工大学,,,32
64,56,前50%,太原理工大学,,,31
65,65,前50%,燕山大学,,,30
65,67,前50%,中北大学,,,30
67,,前50%,上海科技大学,,,29
