排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,西安交通大学,,,1042
2,前5%,华中科技大学,,,1036
3,前5%,清华大学,,,1005
4,前5%,浙江大学,,,850
5,前5%,天津大学,,,619
6,前10%,重庆大学,,,579
7,前10%,华北电力大学,,,516
8,前10%,哈尔滨工业大学,,,488
9,前10%,湖南大学,,,426
10,前10%,东南大学,,,420
11,前25%,西南交通大学,,,384
12,前25%,上海交通大学,,,279
13,前25%,南京航空航天大学,,,274
14,前25%,华南理工大学,,,216
15,前25%,西安理工大学,,,207
16,前25%,武汉大学,,,171
17,前25%,海军工程大学,,,165
18,前25%,电子科技大学,,,136
19,前25%,北京交通大学,,,134
20,前25%,北京航空航天大学,,,132
20,前25%,哈尔滨理工大学,,,132
22,前25%,山东大学,,,131
23,前25%,合肥工业大学,,,107
24,前25%,东北大学,,,103
25,前25%,河海大学,,,102
26,前50%,大连理工大学,,,96
27,前50%,天津工业大学,,,80
28,前50%,同济大学,,,75
29,前50%,江苏大学,,,71
30,前50%,长沙理工大学,,,66
31,前50%,沈阳工业大学,,,65
32,前50%,东北电力大学,,,61
33,前50%,南京理工大学,,,56
34,前50%,中国矿业大学,,,52
35,前50%,广西大学,,,51
36,前50%,西安电子科技大学,,,50
37,前50%,中南大学,,,47
38,前50%,西北工业大学,,,46
39,前50%,河北工业大学,,,44
40,前50%,燕山大学,,,39
41,前50%,上海电力学院,,,38
42,前50%,三峡大学,,,36
42,前50%,上海大学,,,36
42,前50%,四川大学,,,36
45,前50%,福州大学,,,32
45,前50%,吉林大学,,,32
47,前50%,中山大学,,,26
48,前50%,广东工业大学,,,24
48,前50%,太原理工大学,,,24
50,前50%,北方工业大学,,,23
50,前50%,武汉理工大学,,,23
