2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,3,前1%,清华大学,,,1346
2,1,前5%,西安交通大学,,,1088
3,2,前5%,华中科技大学,,,867
4,4,前5%,浙江大学,,,802
5,6,前5%,重庆大学,,,575
6,5,前10%,天津大学,,,508
7,10,前10%,东南大学,,,478
8,8,前10%,哈尔滨工业大学,,,462
9,9,前10%,湖南大学,,,452
10,7,前10%,华北电力大学,,,412
11,11,前10%,西南交通大学,,,316
12,13,前25%,南京航空航天大学,,,284
13,12,前25%,上海交通大学,,,256
14,16,前25%,武汉大学,,,211
15,14,前25%,华南理工大学,,,208
16,34,前25%,中国矿业大学,,,170
17,20,前25%,北京航空航天大学,,,166
18,17,前25%,海军工程大学,,,163
19,25,前25%,河海大学,,,161
20,22,前25%,山东大学,,,157
21,19,前25%,北京交通大学,,,150
22,27,前25%,天津工业大学,,,147
23,18,前25%,电子科技大学,,,123
23,32,前25%,东北电力大学,,,123
25,24,前25%,东北大学,,,98
26,23,前25%,合肥工业大学,,,92
27,38,前25%,西北工业大学,,,82
28,29,前50%,江苏大学,,,77
29,26,前50%,大连理工大学,,,75
30,20,前50%,哈尔滨理工大学,,,74
31,30,前50%,长沙理工大学,,,72
32,33,前50%,南京理工大学,,,68
33,37,前50%,中南大学,,,65
34,39,前50%,河北工业大学,,,64
34,28,前50%,同济大学,,,64
34,15,前50%,西安理工大学,,,64
37,36,前50%,西安电子科技大学,,,53
38,31,前50%,沈阳工业大学,,,52
38,40,前50%,燕山大学,,,52
40,35,前50%,广西大学,,,51
41,41,前50%,上海电力大学,,,49
41,42,前50%,四川大学,,,49
43,45,前50%,福州大学,,,46
44,,前50%,杭州电子科技大学,,,39
45,42,前50%,上海大学,,,37
46,42,前50%,三峡大学,,,34
47,50,前50%,武汉理工大学,,,32
48,,前50%,陆军工程大学,,,31
49,47,前50%,中山大学,,,30
50,50,前50%,北方工业大学,,,27
50,48,前50%,广东工业大学,,,27
50,,前50%,中国石油大学（华东）,,,27
53,45,前50%,吉林大学,,,26
54,,前50%,南京工业大学,,,22
55,,前50%,上海海事大学,,,21
