2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,,前5%,清华大学,,,609
2,,前5%,浙江大学,,,512
3,,前5%,西安电子科技大学,,,288
4,,前10%,四川大学,,,212
5,,前10%,战略支援部队信息工程大学,,,200
6,,前10%,广州大学,,,161
7,,前25%,北京邮电大学,,,148
8,,前25%,中国科学技术大学,,,130
9,,前25%,国防科学技术大学,,,85
10,,前25%,上海交通大学,,,79
11,,前25%,暨南大学,,,67
12,,前25%,电子科技大学,,,55
12,,前25%,中山大学,,,55
14,,前25%,山东大学,,,42
14,,前25%,武汉大学,,,42
14,,前25%,西安邮电大学,,,42
17,,前50%,北京交通大学,,,36
18,,前50%,北京航空航天大学,,,30
18,,前50%,杭州电子科技大学,,,30
18,,前50%,华中科技大学,,,30
21,,前50%,东南大学,,,24
21,,前50%,福建师范大学,,,24
21,,前50%,桂林电子科技大学,,,24
21,,前50%,南京航空航天大学,,,24
21,,前50%,南京理工大学,,,24
26,,前50%,北京工业大学,,,18
26,,前50%,北京理工大学,,,18
26,,前50%,复旦大学,,,18
26,,前50%,杭州师范大学,,,18
26,,前50%,湖北大学,,,18
26,,前50%,西安交通大学,,,18
26,,前50%,郑州大学,,,18
