排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,清华大学,,,1528
2,前1%,浙江大学,,,677
3,前5%,国防科学技术大学,,,648
4,前5%,北京大学,,,640
5,前5%,华中科技大学,,,563
6,前5%,上海交通大学,,,497
7,前5%,北京航空航天大学,,,469
8,前5%,西安电子科技大学,,,416
9,前5%,南京大学,,,402
10,前5%,哈尔滨工业大学,,,391
11,前5%,电子科技大学,,,370
12,前5%,中山大学,,,307
13,前5%,中国科学技术大学,,,284
14,前5%,东北大学,,,283
15,前10%,大连理工大学,,,270
16,前10%,西安交通大学,,,260
17,前10%,北京理工大学,,,250
18,前10%,北京邮电大学,,,239
19,前10%,武汉大学,,,233
20,前10%,同济大学,,,210
21,前10%,中南大学,,,208
22,前10%,东南大学,,,197
23,前10%,天津大学,,,194
24,前10%,南京理工大学,,,173
24,前10%,西北工业大学,,,173
26,前10%,北京交通大学,,,168
27,前10%,山东大学,,,165
28,前10%,湖南大学,,,164
29,前25%,复旦大学,,,163
30,前25%,南京邮电大学,,,149
31,前25%,苏州大学,,,148
32,前25%,深圳大学,,,147
33,前25%,南京航空航天大学,,,145
34,前25%,华东师范大学,,,144
35,前25%,华南理工大学,,,138
36,前25%,吉林大学,,,126
36,前25%,四川大学,,,126
38,前25%,合肥工业大学,,,123
39,前25%,重庆大学,,,113
40,前25%,厦门大学,,,110
41,前25%,杭州电子科技大学,,,98
42,前25%,浙江工业大学,,,96
43,前25%,西南交通大学,,,95
44,前25%,南开大学,,,82
45,前25%,南京信息工程大学,,,80
46,前25%,安徽大学,,,79
47,前25%,山西大学,,,76
48,前25%,北京工业大学,,,75
49,前25%,解放军信息工程大学,,,73
49,前25%,中国人民大学,,,73
51,前25%,上海大学,,,71
52,前25%,新疆大学,,,70
53,前25%,西南大学,,,68
54,前25%,北京科技大学,,,66
55,前25%,广东工业大学,,,63
55,前25%,重庆邮电大学,,,63
57,前25%,福州大学,,,55
57,前25%,江南大学,,,55
59,前25%,暨南大学,,,50
59,前25%,西北大学,,,50
61,前25%,兰州大学,,,48
62,前25%,河海大学,,,45
62,前25%,山东师范大学,,,45
62,前25%,浙江工商大学,,,45
65,前25%,哈尔滨工程大学,,,44
66,前25%,北京师范大学,,,43
66,前25%,首都师范大学,,,43
66,前25%,武汉理工大学,,,43
69,前25%,燕山大学,,,42
70,前25%,西安理工大学,,,41
70,前25%,浙江师范大学,,,41
70,前25%,中国地质大学（武汉）,,,41
73,前50%,东华大学,,,40
73,前50%,华东理工大学,,,40
73,前50%,江苏大学,,,40
73,前50%,南京师范大学,,,40
77,前50%,大连海事大学,,,39
77,前50%,福建师范大学,,,39
77,前50%,陕西师范大学,,,39
80,前50%,中国海洋大学,,,38
81,前50%,华中师范大学,,,36
81,前50%,中国矿业大学,,,36
83,前50%,解放军理工大学,,,35
84,前50%,大连大学,,,34
85,前50%,华侨大学,,,31
85,前50%,济南大学,,,31
87,前50%,湖南科技大学,,,29
87,前50%,华南师范大学,,,29
89,前50%,温州大学,,,28
89,前50%,郑州大学,,,28
91,前50%,杭州师范大学,,,27
91,前50%,闽南师范大学,,,27
91,前50%,太原理工大学,,,27
91,前50%,湘潭大学,,,27
95,前50%,中国石油大学（华东）,,,26
96,前50%,华北电力大学,,,25
96,前50%,山东财经大学,,,25
98,前50%,宁波大学,,,24
98,前50%,上海海事大学,,,24
100,前50%,华南农业大学,,,23
100,前50%,山东科技大学,,,23
100,前50%,长沙理工大学,,,23
100,前50%,郑州轻工业学院,,,23
104,前50%,空军工程大学,,,22
104,前50%,浙江理工大学,,,22
106,前50%,河南大学,,,21
106,前50%,武汉科技大学,,,21
106,前50%,西安邮电大学,,,21
106,前50%,中国农业大学,,,21
110,前50%,青岛大学,,,19
111,前50%,北方工业大学,,,18
111,前50%,北京化工大学,,,18
111,前50%,桂林电子科技大学,,,18
111,前50%,上海理工大学,,,18
111,前50%,太原科技大学,,,18
111,前50%,云南大学,,,18
117,前50%,东北师范大学,,,17
117,前50%,河南理工大学,,,17
117,前50%,湖北大学,,,17
117,前50%,湖北工业大学,,,17
117,前50%,湖南师范大学,,,17
117,前50%,辽宁师范大学,,,17
117,前50%,天津工业大学,,,17
117,前50%,扬州大学,,,17
125,前50%,北京信息科技大学,,,16
125,前50%,哈尔滨理工大学,,,16
125,前50%,上海科技大学,,,16
125,前50%,天津理工大学,,,16
125,前50%,西北农林科技大学,,,16
125,前50%,中国计量大学,,,16
131,前50%,三峡大学,,,15
131,前50%,山东工商学院,,,15
133,前50%,江西财经大学,,,14
133,前50%,鲁东大学,,,14
133,前50%,沈阳航空航天大学,,,14
133,前50%,西华大学,,,14
137,前50%,广西大学,,,13
137,前50%,广西师范大学,,,13
137,前50%,河北大学,,,13
137,前50%,辽宁工业大学,,,13
137,前50%,南京财经大学,,,13
137,前50%,曲阜师范大学,,,13
137,前50%,长安大学,,,13
