2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,清华大学,,,1565
2,2,前1%,浙江大学,,,756
3,4,前5%,北京大学,,,644
4,5,前5%,华中科技大学,,,582
5,3,前5%,国防科学技术大学,,,574
6,6,前5%,上海交通大学,,,540
7,8,前5%,西安电子科技大学,,,473
8,11,前5%,电子科技大学,,,448
9,9,前5%,南京大学,,,445
10,7,前5%,北京航空航天大学,,,442
11,10,前5%,哈尔滨工业大学,,,426
12,13,前5%,中国科学技术大学,,,323
13,12,前5%,中山大学,,,301
14,16,前5%,西安交通大学,,,299
15,15,前10%,大连理工大学,,,290
16,14,前10%,东北大学,,,276
17,23,前10%,天津大学,,,269
18,20,前10%,同济大学,,,266
19,18,前10%,北京邮电大学,,,260
20,17,前10%,北京理工大学,,,256
21,32,前10%,深圳大学,,,252
22,22,前10%,东南大学,,,248
23,28,前10%,湖南大学,,,240
24,24,前10%,西北工业大学,,,236
25,19,前10%,武汉大学,,,232
26,21,前10%,中南大学,,,229
27,27,前10%,山东大学,,,223
28,24,前10%,南京理工大学,,,204
29,35,前25%,华南理工大学,,,203
30,45,前25%,南京信息工程大学,,,183
31,26,前25%,北京交通大学,,,180
32,30,前25%,南京邮电大学,,,168
33,34,前25%,华东师范大学,,,167
34,29,前25%,复旦大学,,,165
35,31,前25%,苏州大学,,,161
36,38,前25%,合肥工业大学,,,159
36,33,前25%,南京航空航天大学,,,159
38,36,前25%,四川大学,,,144
39,40,前25%,厦门大学,,,140
40,36,前25%,吉林大学,,,139
41,41,前25%,杭州电子科技大学,,,135
42,39,前25%,重庆大学,,,133
43,43,前25%,西南交通大学,,,110
44,46,前25%,安徽大学,,,105
44,42,前25%,浙江工业大学,,,105
46,44,前25%,南开大学,,,102
47,49,前25%,中国人民大学,,,90
48,55,前25%,广东工业大学,,,87
49,53,前25%,西南大学,,,84
50,55,前25%,重庆邮电大学,,,81
51,48,前25%,北京工业大学,,,80
52,47,前25%,山西大学,,,78
53,57,前25%,江南大学,,,77
54,77,前25%,陕西师范大学,,,73
55,54,前25%,北京科技大学,,,72
56,59,前25%,西北大学,,,71
57,51,前25%,上海大学,,,70
58,59,前25%,暨南大学,,,65
59,70,前25%,中国地质大学（武汉）,,,63
60,62,前25%,山东师范大学,,,62
61,57,前25%,福州大学,,,60
62,66,前25%,北京师范大学,,,59
63,66,前25%,首都师范大学,,,58
63,52,前25%,新疆大学,,,58
65,65,前25%,哈尔滨工程大学,,,55
65,69,前25%,燕山大学,,,55
65,49,前25%,战略支援部队信息工程大学,,,55
68,81,前25%,中国矿业大学,,,54
68,83,前25%,陆军工程大学,,,54
70,62,前25%,河海大学,,,53
70,61,前25%,兰州大学,,,53
70,66,前25%,武汉理工大学,,,53
