排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,清华大学,,,1192
2,前5%,国防科学技术大学,,,718
3,前5%,浙江大学,,,650
4,前5%,北京大学,,,427
5,前5%,北京航空航天大学,,,332
6,前5%,复旦大学,,,232
7,前5%,华东师范大学,,,166
8,前5%,大连理工大学,,,165
9,前10%,南京大学,,,153
10,前10%,上海交通大学,,,146
11,前10%,重庆大学,,,130
12,前10%,武汉大学,,,84
13,前10%,山东大学,,,82
14,前10%,电子科技大学,,,69
15,前10%,哈尔滨工业大学,,,63
16,前10%,杭州电子科技大学,,,61
17,前25%,西安交通大学,,,59
18,前25%,西安电子科技大学,,,55
19,前25%,北京邮电大学,,,49
20,前25%,同济大学,,,47
21,前25%,北京理工大学,,,45
22,前25%,天津大学,,,44
22,前25%,中山大学,,,44
24,前25%,华南理工大学,,,42
25,前25%,北京交通大学,,,40
26,前25%,厦门大学,,,37
27,前25%,东北大学,,,31
28,前25%,东南大学,,,30
29,前25%,西北工业大学,,,29
30,前25%,上海大学,,,28
31,前25%,南京航空航天大学,,,27
32,前25%,南京理工大学,,,24
33,前25%,北京工业大学,,,19
33,前25%,南开大学,,,19
35,前25%,合肥工业大学,,,18
36,前25%,吉林大学,,,17
37,前25%,西南交通大学,,,16
38,前25%,安徽大学,,,15
38,前25%,四川大学,,,15
40,前25%,福建师范大学,,,14
40,前25%,河海大学,,,14
42,前25%,南京邮电大学,,,13
42,前25%,苏州大学,,,13
44,前50%,武汉理工大学,,,12
45,前50%,浙江工业大学,,,11
46,前50%,哈尔滨工程大学,,,10
46,前50%,中国矿业大学,,,10
48,前50%,北京化工大学,,,9
48,前50%,广东工业大学,,,9
50,前50%,暨南大学,,,8
50,前50%,江南大学,,,8
50,前50%,江苏大学,,,8
50,前50%,南京信息工程大学,,,8
50,前50%,扬州大学,,,8
55,前50%,大连海事大学,,,7
55,前50%,福州大学,,,7
55,前50%,华南师范大学,,,7
55,前50%,浙江理工大学,,,7
59,前50%,兰州大学,,,6
59,前50%,上海理工大学,,,6
59,前50%,西南大学,,,6
59,前50%,郑州大学,,,6
59,前50%,重庆邮电大学,,,6
64,前50%,湖南科技大学,,,5
64,前50%,解放军理工大学,,,5
64,前50%,南昌航空大学,,,5
64,前50%,西北农林科技大学,,,5
64,前50%,中国地质大学（武汉）,,,5
64,前50%,中国海洋大学,,,5
70,前50%,大连大学,,,4
70,前50%,东华大学,,,4
70,前50%,广西大学,,,4
70,前50%,桂林电子科技大学,,,4
70,前50%,湖南师范大学,,,4
70,前50%,华中师范大学,,,4
70,前50%,江苏科技大学,,,4
70,前50%,昆明理工大学,,,4
70,前50%,陕西师范大学,,,4
70,前50%,首都师范大学,,,4
70,前50%,新疆大学,,,4
70,前50%,燕山大学,,,4
70,前50%,云南大学,,,4
70,前50%,长沙理工大学,,,4
70,前50%,浙江师范大学,,,4
70,前50%,中国传媒大学,,,4
70,前50%,中国石油大学（华东）,,,4
