2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,清华大学,,,952
2,2,前5%,国防科学技术大学,,,897
3,3,前5%,浙江大学,,,629
4,5,前5%,北京航空航天大学,,,532
5,4,前5%,北京大学,,,523
6,9,前5%,南京大学,,,364
7,6,前5%,复旦大学,,,208
8,7,前5%,华东师范大学,,,202
9,22,前10%,天津大学,,,195
10,14,前10%,电子科技大学,,,191
11,8,前10%,大连理工大学,,,190
12,10,前10%,上海交通大学,,,187
13,22,前10%,中山大学,,,175
14,12,前10%,武汉大学,,,166
15,,前10%,中国科学技术大学,,,151
16,11,前10%,重庆大学,,,135
17,13,前10%,山东大学,,,112
18,15,前25%,哈尔滨工业大学,,,91
19,17,前25%,西安交通大学,,,82
20,20,前25%,同济大学,,,81
20,18,前25%,西安电子科技大学,,,81
22,19,前25%,北京邮电大学,,,79
22,28,前25%,东南大学,,,79
24,16,前25%,杭州电子科技大学,,,72
25,24,前25%,华南理工大学,,,66
26,31,前25%,南京航空航天大学,,,58
27,32,前25%,南京理工大学,,,54
28,25,前25%,北京交通大学,,,51
29,27,前25%,东北大学,,,46
30,26,前25%,厦门大学,,,44
31,30,前25%,上海大学,,,43
32,29,前25%,西北工业大学,,,40
33,50,前25%,南京信息工程大学,,,35
34,42,前25%,南京邮电大学,,,34
35,38,前25%,安徽大学,,,33
36,35,前25%,合肥工业大学,,,32
36,64,前25%,陆军工程大学,,,32
38,40,前25%,河海大学,,,30
38,36,前25%,吉林大学,,,30
38,55,前25%,浙江理工大学,,,30
41,50,前25%,江苏大学,,,29
42,33,前25%,南开大学,,,27
42,45,前25%,浙江工业大学,,,27
42,46,前25%,中国矿业大学,,,27
45,33,前50%,北京工业大学,,,26
45,38,前50%,四川大学,,,26
47,59,前50%,郑州大学,,,25
48,48,前50%,北京化工大学,,,24
49,50,前50%,扬州大学,,,23
50,48,前50%,广东工业大学,,,22
50,64,前50%,湖南科技大学,,,22
52,70,前50%,中国石油大学（华东）,,,21
53,42,前50%,苏州大学,,,20
53,70,前50%,燕山大学,,,20
55,,前50%,北方工业大学,,,19
55,50,前50%,暨南大学,,,19
55,,前50%,上海财经大学,,,19
58,37,前50%,西南交通大学,,,17
59,70,前50%,东华大学,,,16
60,46,前50%,哈尔滨工程大学,,,15
61,64,前50%,中国地质大学（武汉）,,,14
62,44,前50%,武汉理工大学,,,13
62,59,前50%,重庆邮电大学,,,13
64,70,前50%,桂林电子科技大学,,,12
64,,前50%,河南大学,,,12
64,,前50%,江苏师范大学,,,12
64,,前50%,天津理工大学,,,12
64,70,前50%,云南大学,,,12
69,,前50%,北京林业大学,,,11
69,,前50%,华侨大学,,,11
69,,前50%,曲阜师范大学,,,11
69,,前50%,西安理工大学,,,11
73,55,前50%,大连海事大学,,,10
73,55,前50%,福州大学,,,10
73,,前50%,哈尔滨理工大学,,,10
73,59,前50%,西南大学,,,10
77,50,前50%,江南大学,,,9
77,,前50%,江西师范大学,,,9
77,59,前50%,上海理工大学,,,9
77,,前50%,武汉工程大学,,,9
81,55,前50%,华南师范大学,,,8
81,,前50%,西南民族大学,,,8
83,70,前50%,陕西师范大学,,,7
83,70,前50%,首都师范大学,,,7
83,64,前50%,中国海洋大学,,,7
86,,前50%,成都信息工程大学,,,6
86,70,前50%,昆明理工大学,,,6
86,,前50%,上海海事大学,,,6
86,,前50%,武汉科技大学,,,6
86,70,前50%,长沙理工大学,,,6
