排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,江南大学,,,1367
2,前5%,中国农业大学,,,826
3,前5%,华南理工大学,,,656
4,前5%,浙江大学,,,523
5,前10%,天津科技大学,,,518
6,前10%,南京农业大学,,,405
7,前10%,华中农业大学,,,388
8,前10%,北京工商大学,,,372
9,前10%,大连工业大学,,,336
10,前25%,南昌大学,,,334
11,前25%,西北农林科技大学,,,295
12,前25%,江苏大学,,,282
13,前25%,东北农业大学,,,256
14,前25%,上海交通大学,,,190
15,前25%,吉林农业大学,,,181
16,前25%,中国海洋大学,,,171
17,前25%,内蒙古农业大学,,,129
18,前25%,四川农业大学,,,126
19,前25%,合肥工业大学,,,109
20,前25%,河南工业大学,,,98
20,前25%,西南大学,,,98
22,前25%,吉林大学,,,97
23,前25%,湖北工业大学,,,96
24,前25%,上海海洋大学,,,95
25,前50%,暨南大学,,,92
26,前50%,渤海大学,,,90
26,前50%,华南农业大学,,,90
28,前50%,浙江工商大学,,,88
29,前50%,南京财经大学,,,82
30,前50%,四川大学,,,72
31,前50%,山东农业大学,,,64
32,前50%,扬州大学,,,63
33,前50%,华东理工大学,,,60
34,前50%,福建农林大学,,,59
35,前50%,哈尔滨工业大学,,,56
35,前50%,陕西师范大学,,,56
35,前50%,浙江工业大学,,,56
38,前50%,湖南农业大学,,,54
39,前50%,福州大学,,,53
40,前50%,北京林业大学,,,52
40,前50%,天津大学,,,52
42,前50%,青岛农业大学,,,45
43,前50%,集美大学,,,44
43,前50%,宁波大学,,,44
45,前50%,河南农业大学,,,43
46,前50%,安徽农业大学,,,42
47,前50%,南京师范大学,,,38
48,前50%,武汉轻工大学,,,37
49,前50%,河南科技学院,,,36
49,前50%,沈阳农业大学,,,36
