2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,江南大学,,,1467
2,2,前5%,中国农业大学,,,744
3,3,前5%,华南理工大学,,,647
4,4,前5%,浙江大学,,,396
5,10,前5%,南昌大学,,,391
6,6,前10%,南京农业大学,,,371
7,8,前10%,北京工商大学,,,331
8,11,前10%,西北农林科技大学,,,286
9,9,前10%,大连工业大学,,,274
10,12,前10%,江苏大学,,,266
11,5,前10%,天津科技大学,,,261
12,7,前25%,华中农业大学,,,245
13,13,前25%,东北农业大学,,,168
14,19,前25%,合肥工业大学,,,151
15,14,前25%,上海交通大学,,,138
16,20,前25%,河南工业大学,,,132
17,16,前25%,中国海洋大学,,,128
18,26,前25%,华南农业大学,,,119
19,25,前25%,暨南大学,,,112
20,23,前25%,湖北工业大学,,,102
21,20,前25%,西南大学,,,96
22,26,前25%,渤海大学,,,95
23,22,前25%,吉林大学,,,92
23,29,前25%,南京财经大学,,,92
25,18,前25%,四川农业大学,,,90
26,28,前25%,浙江工商大学,,,87
27,24,前25%,上海海洋大学,,,84
28,34,前50%,福建农林大学,,,82
29,17,前50%,内蒙古农业大学,,,75
30,35,前50%,陕西师范大学,,,74
31,,前50%,南开大学,,,67
31,30,前50%,四川大学,,,67
33,32,前50%,扬州大学,,,63
34,15,前50%,吉林农业大学,,,62
35,38,前50%,湖南农业大学,,,60
36,42,前50%,青岛农业大学,,,58
37,31,前50%,山东农业大学,,,54
38,35,前50%,浙江工业大学,,,49
39,46,前50%,安徽农业大学,,,46
39,33,前50%,华东理工大学,,,46
39,43,前50%,宁波大学,,,46
42,39,前50%,福州大学,,,45
42,49,前50%,沈阳农业大学,,,45
42,40,前50%,天津大学,,,45
45,43,前50%,集美大学,,,41
46,48,前50%,武汉轻工大学,,,40
47,40,前50%,北京林业大学,,,38
48,35,前50%,哈尔滨工业大学,,,37
49,45,前50%,河南农业大学,,,36
50,,前50%,齐鲁工业大学,,,34
51,,前50%,河南科技大学,,,33
52,,前50%,郑州轻工业大学,,,32
53,47,前50%,南京师范大学,,,31
54,,前50%,河北农业大学,,,30
54,49,前50%,河南科技学院,,,30
54,,前50%,沈阳药科大学,,,30
