排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,上海体育学院,,,1124
2,前5%,北京体育大学,,,781
3,前5%,华东师范大学,,,666
4,前5%,福建师范大学,,,534
5,前5%,上海交通大学,,,254
6,前10%,成都体育学院,,,229
7,前10%,苏州大学,,,218
8,前10%,天津体育学院,,,205
9,前10%,华中师范大学,,,204
9,前10%,武汉体育学院,,,204
11,前10%,清华大学,,,147
12,前25%,华南师范大学,,,133
13,前25%,浙江大学,,,132
14,前25%,首都体育学院,,,126
15,前25%,深圳大学,,,121
16,前25%,北京师范大学,,,104
17,前25%,西安体育学院,,,102
18,前25%,河南大学,,,87
19,前25%,宁波大学,,,86
20,前25%,曲阜师范大学,,,83
21,前25%,广州体育学院,,,82
22,前25%,山东师范大学,,,80
23,前25%,沈阳体育学院,,,76
24,前25%,四川大学,,,74
25,前25%,浙江师范大学,,,67
26,前25%,鲁东大学,,,66
27,前25%,陕西师范大学,,,58
28,前25%,江西师范大学,,,55
28,前25%,辽宁师范大学,,,55
30,前50%,湖南师范大学,,,54
31,前50%,东北师范大学,,,51
32,前50%,河南师范大学,,,50
33,前50%,安徽师范大学,,,49
34,前50%,同济大学,,,48
35,前50%,吉首大学,,,46
36,前50%,郑州大学,,,42
37,前50%,西安交通大学,,,41
38,前50%,山东大学,,,40
39,前50%,吉林大学,,,39
39,前50%,山西师范大学,,,39
41,前50%,吉林体育学院,,,38
41,前50%,南京体育学院,,,38
43,前50%,南京师范大学,,,37
44,前50%,西南大学,,,36
44,前50%,中山大学,,,36
46,前50%,大连理工大学,,,34
47,前50%,沈阳师范大学,,,33
48,前50%,集美大学,,,32
48,前50%,上海师范大学,,,32
50,前50%,河北师范大学,,,31
50,前50%,新疆师范大学,,,31
52,前50%,山东体育学院,,,30
53,前50%,南昌大学,,,29
53,前50%,西华师范大学,,,29
55,前50%,华南理工大学,,,28
55,前50%,聊城大学,,,28
57,前50%,杭州师范大学,,,27
57,前50%,湖北大学,,,27
57,前50%,山西大学,,,27
