2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,上海体育学院,,,1017
2,2,前5%,北京体育大学,,,721
3,3,前5%,华东师范大学,,,657
4,4,前5%,福建师范大学,,,536
5,5,前5%,上海交通大学,,,306
6,9,前10%,华中师范大学,,,221
7,9,前10%,武汉体育学院,,,220
8,8,前10%,天津体育学院,,,183
9,6,前10%,成都体育学院,,,174
10,13,前10%,浙江大学,,,173
11,7,前10%,苏州大学,,,170
12,19,前25%,宁波大学,,,129
13,14,前25%,首都体育学院,,,125
14,12,前25%,华南师范大学,,,124
15,23,前25%,沈阳体育学院,,,111
16,21,前25%,广州体育学院,,,109
17,27,前25%,陕西师范大学,,,102
18,20,前25%,曲阜师范大学,,,96
19,24,前25%,四川大学,,,89
20,16,前25%,北京师范大学,,,85
20,15,前25%,深圳大学,,,85
22,22,前25%,山东师范大学,,,82
23,17,前25%,西安体育学院,,,80
24,18,前25%,河南大学,,,79
25,11,前25%,清华大学,,,75
26,26,前25%,鲁东大学,,,74
27,52,前25%,山东体育学院,,,73
28,25,前25%,浙江师范大学,,,70
29,33,前25%,安徽师范大学,,,67
29,32,前25%,河南师范大学,,,67
29,41,前25%,南京体育学院,,,67
32,31,前50%,东北师范大学,,,64
33,41,前50%,吉林体育学院,,,63
34,28,前50%,江西师范大学,,,62
35,39,前50%,吉林大学,,,60
36,30,前50%,湖南师范大学,,,59
36,35,前50%,吉首大学,,,59
38,38,前50%,山东大学,,,57
39,34,前50%,同济大学,,,56
40,55,前50%,聊城大学,,,54
41,43,前50%,南京师范大学,,,48
42,48,前50%,上海师范大学,,,46
43,37,前50%,西安交通大学,,,43
44,55,前50%,华南理工大学,,,42
44,36,前50%,郑州大学,,,42
44,44,前50%,中山大学,,,42
47,,前50%,广西师范大学,,,41
47,50,前50%,新疆师范大学,,,41
49,50,前50%,河北师范大学,,,39
49,39,前50%,山西师范大学,,,39
51,28,前50%,辽宁师范大学,,,37
52,57,前50%,湖北大学,,,36
53,,前50%,哈尔滨体育学院,,,35
53,47,前50%,沈阳师范大学,,,35
53,53,前50%,西华师范大学,,,35
56,,前50%,南通大学,,,33
56,57,前50%,山西大学,,,33
58,46,前50%,大连理工大学,,,32
58,44,前50%,西南大学,,,32
