排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,北京师范大学,,,1308
2,前5%,华南师范大学,,,689
3,前5%,北京大学,,,666
4,前5%,西南大学,,,535
5,前5%,华东师范大学,,,326
6,前10%,吉林大学,,,286
7,前10%,陕西师范大学,,,279
8,前10%,华中师范大学,,,240
9,前10%,浙江大学,,,212
10,前10%,中山大学,,,204
11,前25%,首都师范大学,,,164
12,前25%,天津师范大学,,,148
13,前25%,辽宁师范大学,,,145
14,前25%,山东师范大学,,,142
15,前25%,深圳大学,,,140
16,前25%,清华大学,,,130
17,前25%,上海师范大学,,,129
18,前25%,苏州大学,,,118
19,前25%,杭州师范大学,,,111
20,前25%,南京师范大学,,,107
20,前25%,中国人民大学,,,107
22,前25%,上海交通大学,,,103
23,前25%,浙江师范大学,,,91
24,前25%,江西师范大学,,,80
25,前25%,复旦大学,,,77
25,前25%,广州大学,,,77
27,前50%,东南大学,,,75
27,前50%,南京大学,,,75
29,前50%,河南大学,,,74
30,前50%,宁波大学,,,65
31,前50%,浙江理工大学,,,60
32,前50%,第四军医大学,,,59
33,前50%,中南大学,,,55
34,前50%,南开大学,,,49
35,前50%,电子科技大学,,,47
35,前50%,东北师范大学,,,47
35,前50%,湖南师范大学,,,47
38,前50%,福建师范大学,,,44
39,前50%,西北师范大学,,,40
40,前50%,上海体育学院,,,38
41,前50%,武汉大学,,,35
42,前50%,首都医科大学,,,32
43,前50%,河北师范大学,,,31
44,前50%,安徽医科大学,,,28
45,前50%,暨南大学,,,26
45,前50%,西南交通大学,,,26
47,前50%,厦门大学,,,24
48,前50%,江苏师范大学,,,23
49,前50%,西北大学,,,20
50,前50%,四川大学,,,19
