2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,北京师范大学,,,1337
2,2,前5%,华南师范大学,,,765
3,3,前5%,北京大学,,,641
4,4,前5%,西南大学,,,545
5,5,前5%,华东师范大学,,,315
5,7,前5%,陕西师范大学,,,315
7,6,前10%,吉林大学,,,281
8,8,前10%,华中师范大学,,,272
9,9,前10%,浙江大学,,,269
10,15,前10%,深圳大学,,,240
11,12,前25%,天津师范大学,,,200
12,10,前25%,中山大学,,,179
13,11,前25%,首都师范大学,,,177
14,13,前25%,辽宁师范大学,,,174
15,14,前25%,山东师范大学,,,173
16,19,前25%,杭州师范大学,,,147
17,16,前25%,清华大学,,,136
18,17,前25%,上海师范大学,,,132
19,23,前25%,浙江师范大学,,,129
20,20,前25%,南京师范大学,,,128
21,18,前25%,苏州大学,,,126
22,20,前25%,中国人民大学,,,120
23,24,前25%,江西师范大学,,,102
24,25,前25%,复旦大学,,,97
25,29,前25%,河南大学,,,96
26,22,前25%,上海交通大学,,,94
27,25,前25%,广州大学,,,86
28,30,前50%,宁波大学,,,79
29,35,前50%,湖南师范大学,,,60
30,27,前50%,南京大学,,,59
31,31,前50%,浙江理工大学,,,57
32,33,前50%,中南大学,,,55
33,35,前50%,电子科技大学,,,51
33,38,前50%,福建师范大学,,,51
35,41,前50%,武汉大学,,,50
36,27,前50%,东南大学,,,43
37,40,前50%,上海体育学院,,,41
38,35,前50%,东北师范大学,,,39
38,39,前50%,西北师范大学,,,39
40,,前50%,南方医科大学,,,36
40,45,前50%,西南交通大学,,,36
42,44,前50%,安徽医科大学,,,35
42,48,前50%,江苏师范大学,,,35
44,34,前50%,南开大学,,,33
45,45,前50%,暨南大学,,,32
45,,前50%,信阳师范学院,,,32
47,,前50%,中央财经大学,,,28
48,,前50%,同济大学,,,27
49,43,前50%,河北师范大学,,,24
49,42,前50%,首都医科大学,,,24
51,32,前50%,空军军医大学,,,23
52,,前50%,贵州师范大学,,,21
52,,前50%,济南大学,,,21
54,,前50%,湖北大学,,,20
