排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,北京师范大学,,,1271
2,前5%,华东师范大学,,,682
3,前5%,西南大学,,,486
4,前5%,东北师范大学,,,454
5,前5%,厦门大学,,,441
6,前5%,南京师范大学,,,311
7,前5%,华中师范大学,,,304
8,前10%,浙江大学,,,272
9,前10%,华中科技大学,,,248
10,前10%,北京大学,,,220
11,前10%,浙江师范大学,,,216
12,前10%,上海交通大学,,,201
13,前10%,华南师范大学,,,196
14,前10%,河南大学,,,195
15,前25%,沈阳师范大学,,,186
16,前25%,首都师范大学,,,158
17,前25%,陕西师范大学,,,156
18,前25%,山东师范大学,,,149
19,前25%,西北师范大学,,,147
20,前25%,湖南师范大学,,,137
21,前25%,广西师范大学,,,130
22,前25%,清华大学,,,111
23,前25%,曲阜师范大学,,,110
24,前25%,江苏师范大学,,,99
25,前25%,江西师范大学,,,96
26,前25%,中国人民大学,,,87
27,前25%,上海师范大学,,,85
28,前25%,中南民族大学,,,82
29,前25%,南京大学,,,81
30,前25%,中央民族大学,,,74
31,前25%,福建师范大学,,,73
31,前25%,杭州师范大学,,,73
33,前25%,苏州大学,,,64
34,前25%,山西大学,,,61
35,前25%,安徽师范大学,,,59
36,前25%,宁波大学,,,58
36,前25%,天津师范大学,,,58
38,前50%,四川师范大学,,,57
38,前50%,武汉理工大学,,,57
40,前50%,广州大学,,,55
41,前50%,温州大学,,,52
42,前50%,武汉大学,,,49
43,前50%,北京理工大学,,,47
44,前50%,辽宁师范大学,,,45
45,前50%,青海师范大学,,,44
46,前50%,河北大学,,,41
47,前50%,复旦大学,,,40
47,前50%,江南大学,,,40
47,前50%,扬州大学,,,40
50,前50%,湖南大学,,,35
50,前50%,南通大学,,,35
52,前50%,湖南农业大学,,,34
52,前50%,华南理工大学,,,34
54,前50%,石河子大学,,,33
55,前50%,江西科技师范大学,,,32
55,前50%,西华师范大学,,,32
57,前50%,北京航空航天大学,,,31
57,前50%,河北师范大学,,,31
57,前50%,鲁东大学,,,31
60,前50%,渤海大学,,,30
60,前50%,内蒙古师范大学,,,30
60,前50%,汕头大学,,,30
63,前50%,湖北大学,,,29
63,前50%,江苏大学,,,29
65,前50%,大连理工大学,,,28
65,前50%,同济大学,,,28
65,前50%,云南师范大学,,,28
68,前50%,天津职业技术师范大学,,,27
69,前50%,中国地质大学（武汉）,,,26
69,前50%,重庆师范大学,,,26
71,前50%,湖南科技大学,,,25
72,前50%,吉林大学,,,24
72,前50%,天津大学,,,24
