2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,北京师范大学,,,1473
2,2,前5%,华东师范大学,,,728
3,4,前5%,东北师范大学,,,510
4,3,前5%,西南大学,,,459
5,5,前5%,厦门大学,,,423
6,6,前5%,南京师范大学,,,392
7,8,前5%,浙江大学,,,291
8,7,前10%,华中师范大学,,,269
9,9,前10%,华中科技大学,,,230
10,10,前10%,北京大学,,,198
11,12,前10%,上海交通大学,,,186
12,14,前10%,河南大学,,,181
13,11,前10%,浙江师范大学,,,170
14,13,前10%,华南师范大学,,,164
15,23,前10%,曲阜师范大学,,,162
16,17,前25%,陕西师范大学,,,159
17,16,前25%,首都师范大学,,,146
18,21,前25%,广西师范大学,,,130
19,27,前25%,上海师范大学,,,127
20,19,前25%,西北师范大学,,,126
21,20,前25%,湖南师范大学,,,106
21,15,前25%,沈阳师范大学,,,106
23,36,前25%,宁波大学,,,103
24,18,前25%,山东师范大学,,,102
25,,前25%,南京邮电大学,,,92
26,31,前25%,福建师范大学,,,89
27,22,前25%,清华大学,,,88
28,25,前25%,江西师范大学,,,74
29,29,前25%,南京大学,,,73
30,36,前25%,天津师范大学,,,65
31,26,前25%,中国人民大学,,,62
32,34,前25%,山西大学,,,61
33,24,前25%,江苏师范大学,,,59
34,31,前25%,杭州师范大学,,,58
34,46,前25%,河北大学,,,58
36,50,前25%,南通大学,,,56
37,,前25%,浙江工业大学,,,54
38,30,前50%,中央民族大学,,,53
39,47,前50%,扬州大学,,,50
40,28,前50%,中南民族大学,,,49
41,42,前50%,武汉大学,,,47
42,57,前50%,北京航空航天大学,,,46
43,47,前50%,江南大学,,,43
44,33,前50%,苏州大学,,,42
45,52,前50%,华南理工大学,,,41
46,44,前50%,辽宁师范大学,,,40
46,72,前50%,天津大学,,,40
48,41,前50%,温州大学,,,39
49,71,前50%,湖南科技大学,,,38
49,72,前50%,吉林大学,,,38
49,65,前50%,同济大学,,,38
52,57,前50%,河北师范大学,,,37
52,,前50%,郑州大学,,,37
54,38,前50%,四川师范大学,,,35
55,40,前50%,广州大学,,,34
55,38,前50%,武汉理工大学,,,34
57,65,前50%,大连理工大学,,,33
57,57,前50%,鲁东大学,,,33
59,,前50%,北京体育大学,,,32
60,,前50%,深圳大学,,,31
61,43,前50%,北京理工大学,,,30
61,,前50%,新疆师范大学,,,30
63,35,前50%,安徽师范大学,,,28
63,,前50%,东南大学,,,28
65,65,前50%,云南师范大学,,,27
66,60,前50%,汕头大学,,,26
67,55,前50%,西华师范大学,,,25
67,,前50%,信阳师范学院,,,25
69,47,前50%,复旦大学,,,24
69,50,前50%,湖南大学,,,24
69,,前50%,湖州师范学院,,,24
69,55,前50%,江西科技师范大学,,,24
69,,前50%,武汉工程大学,,,24
74,60,前50%,渤海大学,,,23
74,,前50%,河南师范大学,,,23
74,63,前50%,湖北大学,,,23
74,,前50%,内蒙古民族大学,,,23
74,,前50%,山西师范大学,,,23
