排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,复旦大学,,,868
2,前5%,北京师范大学,,,855
3,前5%,北京大学,,,817
4,前5%,华东师范大学,,,771
5,前5%,中山大学,,,745
6,前5%,南京大学,,,737
7,前5%,南京师范大学,,,685
8,前5%,华中师范大学,,,655
9,前10%,浙江大学,,,600
10,前10%,四川大学,,,529
11,前10%,首都师范大学,,,522
12,前10%,北京语言大学,,,520
13,前10%,暨南大学,,,504
14,前10%,南开大学,,,492
15,前10%,山东大学,,,487
16,前10%,吉林大学,,,462
16,前10%,上海师范大学,,,462
18,前25%,陕西师范大学,,,450
19,前25%,浙江师范大学,,,442
20,前25%,武汉大学,,,410
21,前25%,中央民族大学,,,385
22,前25%,中国人民大学,,,364
23,前25%,扬州大学,,,362
24,前25%,福建师范大学,,,361
25,前25%,江苏师范大学,,,339
26,前25%,河南大学,,,292
27,前25%,西南大学,,,284
28,前25%,湖南师范大学,,,283
29,前25%,苏州大学,,,280
30,前25%,内蒙古大学,,,273
31,前25%,上海交通大学,,,249
32,前25%,东北师范大学,,,248
33,前25%,厦门大学,,,237
33,前25%,上海大学,,,237
35,前25%,杭州师范大学,,,233
36,前25%,广东外语外贸大学,,,229
37,前25%,黑龙江大学,,,227
38,前25%,江西师范大学,,,212
39,前25%,山东师范大学,,,209
40,前25%,清华大学,,,206
41,前25%,安徽师范大学,,,200
42,前25%,哈尔滨师范大学,,,184
42,前25%,河北师范大学,,,184
44,前50%,河北大学,,,174
45,前50%,华南师范大学,,,170
46,前50%,新疆大学,,,164
47,前50%,西北民族大学,,,163
48,前50%,北京外国语大学,,,159
49,前50%,山西大学,,,157
50,前50%,安徽大学,,,155
51,前50%,温州大学,,,153
52,前50%,上海外国语大学,,,152
53,前50%,解放军外国语学院,,,137
54,前50%,天津师范大学,,,136
55,前50%,西北大学,,,135
56,前50%,郑州大学,,,128
57,前50%,西北师范大学,,,126
58,前50%,湖北大学,,,123
59,前50%,重庆师范大学,,,122
60,前50%,南昌大学,,,120
60,前50%,湘潭大学,,,120
62,前50%,辽宁大学,,,119
62,前50%,云南民族大学,,,119
64,前50%,湖南大学,,,111
65,前50%,贵州师范大学,,,108
65,前50%,中南民族大学,,,108
67,前50%,中国传媒大学,,,106
68,前50%,广西师范大学,,,104
69,前50%,宁波大学,,,101
70,前50%,华侨大学,,,100
70,前50%,济南大学,,,100
72,前50%,山西师范大学,,,99
73,前50%,内蒙古师范大学,,,98
74,前50%,鲁东大学,,,96
75,前50%,河南师范大学,,,94
76,前50%,浙江工业大学,,,93
77,前50%,南通大学,,,90
77,前50%,上海财经大学,,,90
77,前50%,新疆师范大学,,,90
80,前50%,青海民族大学,,,87
80,前50%,曲阜师范大学,,,87
80,前50%,中南大学,,,87
83,前50%,同济大学,,,85
83,前50%,云南大学,,,85
85,前50%,四川师范大学,,,83
86,前50%,西华师范大学,,,82
86,前50%,西南民族大学,,,82
