2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,复旦大学,,,930
2,2,前5%,北京师范大学,,,892
3,3,前5%,北京大学,,,872
4,4,前5%,华东师范大学,,,838
5,5,前5%,中山大学,,,776
6,6,前5%,南京大学,,,700
6,7,前5%,南京师范大学,,,700
8,8,前5%,华中师范大学,,,689
9,9,前5%,浙江大学,,,654
10,10,前10%,四川大学,,,591
11,12,前10%,北京语言大学,,,577
11,15,前10%,山东大学,,,577
13,11,前10%,首都师范大学,,,567
14,13,前10%,暨南大学,,,557
15,14,前10%,南开大学,,,543
16,19,前10%,浙江师范大学,,,531
17,16,前10%,上海师范大学,,,519
18,18,前10%,陕西师范大学,,,498
19,21,前25%,中央民族大学,,,466
20,16,前25%,吉林大学,,,456
21,22,前25%,中国人民大学,,,448
22,20,前25%,武汉大学,,,429
23,23,前25%,扬州大学,,,398
24,28,前25%,湖南师范大学,,,349
25,24,前25%,福建师范大学,,,332
26,25,前25%,江苏师范大学,,,327
27,33,前25%,上海大学,,,323
28,30,前25%,内蒙古大学,,,317
29,27,前25%,西南大学,,,309
30,29,前25%,苏州大学,,,298
31,26,前25%,河南大学,,,283
32,35,前25%,杭州师范大学,,,278
33,31,前25%,上海交通大学,,,260
34,37,前25%,黑龙江大学,,,258
35,32,前25%,东北师范大学,,,254
36,45,前25%,华南师范大学,,,253
37,39,前25%,山东师范大学,,,231
38,36,前25%,广东外语外贸大学,,,226
39,40,前25%,清华大学,,,222
39,33,前25%,厦门大学,,,222
41,38,前25%,江西师范大学,,,193
42,41,前25%,安徽师范大学,,,192
43,44,前25%,河北大学,,,184
44,42,前25%,河北师范大学,,,179
45,49,前25%,山西大学,,,178
46,55,前25%,西北大学,,,172
47,51,前50%,温州大学,,,171
48,56,前50%,郑州大学,,,170
49,57,前50%,西北师范大学,,,164
50,42,前50%,哈尔滨师范大学,,,157
51,50,前50%,安徽大学,,,156
52,48,前50%,北京外国语大学,,,152
52,46,前50%,新疆大学,,,152
54,52,前50%,上海外国语大学,,,149
54,47,前50%,西北民族大学,,,149
56,60,前50%,湘潭大学,,,146
57,85,前50%,四川师范大学,,,144
58,59,前50%,重庆师范大学,,,140
59,62,前50%,辽宁大学,,,137
60,65,前50%,贵州师范大学,,,135
60,72,前50%,山西师范大学,,,135
62,54,前50%,天津师范大学,,,134
63,70,前50%,华侨大学,,,131
64,86,前50%,西南民族大学,,,130
65,,前50%,兰州大学,,,126
66,,前50%,深圳大学,,,123
67,70,前50%,济南大学,,,121
68,75,前50%,河南师范大学,,,120
69,69,前50%,宁波大学,,,119
70,76,前50%,浙江工业大学,,,118
71,73,前50%,内蒙古师范大学,,,117
72,64,前50%,湖南大学,,,116
73,58,前50%,湖北大学,,,115
74,,前50%,青岛大学,,,114
74,62,前50%,云南民族大学,,,114
76,80,前50%,曲阜师范大学,,,110
77,80,前50%,青海民族大学,,,109
78,67,前50%,中国传媒大学,,,106
79,65,前50%,中南民族大学,,,104
80,60,前50%,南昌大学,,,103
80,,前50%,战略支援部队信息工程大学,,,103
82,77,前50%,上海财经大学,,,102
82,,前50%,浙江工商大学,,,102
84,77,前50%,南通大学,,,99
85,80,前50%,中南大学,,,95
86,,前50%,华中科技大学,,,94
87,68,前50%,广西师范大学,,,93
87,,前50%,广州大学,,,93
89,77,前50%,新疆师范大学,,,91
90,,前50%,东南大学,,,89
90,83,前50%,云南大学,,,89
92,,前50%,西南交通大学,,,88
93,,前50%,广西民族大学,,,87
