排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,北京大学,,,1018
2,前1%,北京外国语大学,,,723
3,前5%,浙江大学,,,702
4,前5%,上海外国语大学,,,678
5,前5%,南京大学,,,621
6,前5%,上海交通大学,,,571
7,前5%,广东外语外贸大学,,,455
8,前5%,杭州师范大学,,,419
9,前5%,南京师范大学,,,412
10,前5%,复旦大学,,,324
11,前5%,清华大学,,,298
12,前10%,湖南大学,,,249
13,前10%,华中师范大学,,,246
14,前10%,南开大学,,,241
15,前10%,湖南师范大学,,,236
16,前10%,中国人民大学,,,211
17,前10%,北京航空航天大学,,,209
18,前10%,山东大学,,,208
19,前10%,厦门大学,,,204
20,前10%,北京师范大学,,,203
20,前10%,华东师范大学,,,203
22,前10%,四川大学,,,202
23,前25%,对外经济贸易大学,,,201
24,前25%,中山大学,,,194
25,前25%,武汉大学,,,191
26,前25%,大连外国语大学,,,190
27,前25%,浙江工商大学,,,185
28,前25%,延边大学,,,169
29,前25%,四川外国语大学,,,157
30,前25%,东北师范大学,,,154
31,前25%,宁波大学,,,147
32,前25%,苏州大学,,,145
33,前25%,解放军外国语学院,,,141
34,前25%,首都师范大学,,,139
35,前25%,上海师范大学,,,130
35,前25%,西南大学,,,130
37,前25%,同济大学,,,129
38,前25%,吉林大学,,,123
39,前25%,北京语言大学,,,122
40,前25%,天津师范大学,,,114
41,前25%,浙江财经大学,,,109
42,前25%,安徽大学,,,106
43,前25%,北京第二外国语学院,,,100
43,前25%,江西师范大学,,,100
43,前25%,南昌大学,,,100
46,前25%,西南交通大学,,,99
47,前25%,黑龙江大学,,,93
48,前25%,福建师范大学,,,89
48,前25%,河北师范大学,,,89
50,前25%,哈尔滨师范大学,,,87
51,前25%,陕西师范大学,,,85
51,前25%,郑州大学,,,85
51,前25%,中南大学,,,85
54,前25%,华南师范大学,,,81
55,前25%,河南师范大学,,,80
55,前25%,中南财经政法大学,,,80
57,前50%,广西民族大学,,,79
58,前50%,湖南科技大学,,,77
59,前50%,暨南大学,,,76
60,前50%,江西财经大学,,,75
60,前50%,扬州大学,,,75
62,前50%,河南大学,,,73
62,前50%,浙江师范大学,,,73
64,前50%,天津外国语大学,,,70
65,前50%,安徽师范大学,,,68
65,前50%,江南大学,,,68
65,前50%,深圳大学,,,68
68,前50%,华中科技大学,,,67
69,前50%,湘潭大学,,,64
70,前50%,云南民族大学,,,58
71,前50%,上海海事大学,,,55
72,前50%,江苏师范大学,,,49
72,前50%,南京理工大学,,,49
72,前50%,四川师范大学,,,49
75,前50%,西北师范大学,,,48
76,前50%,华南理工大学,,,46
76,前50%,西安外国语大学,,,46
76,前50%,重庆大学,,,46
79,前50%,青岛大学,,,45
79,前50%,山东师范大学,,,45
81,前50%,华东理工大学,,,44
82,前50%,东南大学,,,43
82,前50%,中国矿业大学,,,43
84,前50%,杭州电子科技大学,,,42
85,前50%,国际关系学院,,,41
85,前50%,曲阜师范大学,,,41
85,前50%,山东财经大学,,,41
85,前50%,首都经济贸易大学,,,41
89,前50%,广西大学,,,40
89,前50%,广西师范大学,,,40
89,前50%,重庆师范大学,,,40
92,前50%,湖南工业大学,,,39
92,前50%,天津理工大学,,,39
92,前50%,云南师范大学,,,39
92,前50%,中南民族大学,,,39
96,前50%,哈尔滨工业大学,,,38
96,前50%,内蒙古大学,,,38
96,前50%,外交学院,,,38
99,前50%,辽宁师范大学,,,37
99,前50%,宁夏大学,,,37
101,前50%,上海大学,,,36
102,前50%,上海对外经贸大学,,,35
103,前50%,江苏大学,,,34
103,前50%,汕头大学,,,34
105,前50%,大连海事大学,,,32
105,前50%,燕山大学,,,32
105,前50%,中国海洋大学,,,32
108,前50%,上海财经大学,,,30
109,前50%,大连理工大学,,,29
109,前50%,济南大学,,,29
109,前50%,兰州大学,,,29
109,前50%,鲁东大学,,,29
109,前50%,南京航空航天大学,,,29
