2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,北京大学,,,927
2,2,前1%,北京外国语大学,,,807
3,3,前5%,浙江大学,,,739
4,4,前5%,上海外国语大学,,,643
5,6,前5%,上海交通大学,,,562
6,5,前5%,南京大学,,,543
7,9,前5%,南京师范大学,,,409
8,8,前5%,杭州师范大学,,,355
9,10,前5%,复旦大学,,,336
10,7,前5%,广东外语外贸大学,,,327
11,11,前5%,清华大学,,,323
12,22,前10%,四川大学,,,290
13,16,前10%,中国人民大学,,,270
14,20,前10%,北京师范大学,,,268
15,15,前10%,湖南师范大学,,,219
16,17,前10%,北京航空航天大学,,,211
17,14,前10%,南开大学,,,209
18,13,前10%,华中师范大学,,,192
19,19,前10%,厦门大学,,,191
20,27,前10%,浙江工商大学,,,182
21,20,前10%,华东师范大学,,,180
22,26,前10%,大连外国语大学,,,179
23,24,前10%,中山大学,,,165
24,30,前25%,东北师范大学,,,157
25,32,前25%,苏州大学,,,156
26,34,前25%,首都师范大学,,,152
27,28,前25%,延边大学,,,151
28,25,前25%,武汉大学,,,147
29,47,前25%,黑龙江大学,,,146
30,23,前25%,对外经济贸易大学,,,140
31,31,前25%,宁波大学,,,138
32,18,前25%,山东大学,,,136
33,51,前25%,郑州大学,,,133
34,43,前25%,北京第二外国语学院,,,131
34,29,前25%,四川外国语大学,,,131
36,43,前25%,江西师范大学,,,125
37,,前25%,华东政法大学,,,121
37,59,前25%,暨南大学,,,121
39,62,前25%,河南大学,,,118
39,12,前25%,湖南大学,,,118
39,35,前25%,上海师范大学,,,118
42,42,前25%,安徽大学,,,117
42,38,前25%,吉林大学,,,117
44,68,前25%,华中科技大学,,,114
45,46,前25%,西南交通大学,,,104
46,35,前25%,西南大学,,,100
47,51,前25%,中南大学,,,99
48,39,前25%,北京语言大学,,,98
49,51,前25%,陕西师范大学,,,97
49,101,前25%,上海大学,,,97
51,37,前25%,同济大学,,,94
52,60,前25%,扬州大学,,,90
53,65,前25%,深圳大学,,,84
54,,前25%,战略支援部队信息工程大学,,,83
55,76,前25%,重庆大学,,,82
56,41,前25%,浙江财经大学,,,81
57,48,前25%,福建师范大学,,,79
57,43,前25%,南昌大学,,,79
59,76,前50%,华南理工大学,,,78
60,40,前50%,天津师范大学,,,74
60,,前50%,中央民族大学,,,74
62,58,前50%,湖南科技大学,,,71
62,92,前50%,云南师范大学,,,71
64,96,前50%,内蒙古大学,,,69
65,99,前50%,宁夏大学,,,68
66,64,前50%,天津外国语大学,,,66
67,62,前50%,浙江师范大学,,,65
68,50,前50%,哈尔滨师范大学,,,63
69,,前50%,南通大学,,,61
69,79,前50%,山东师范大学,,,61
71,65,前50%,安徽师范大学,,,60
71,108,前50%,上海财经大学,,,60
71,72,前50%,四川师范大学,,,60
74,54,前50%,华南师范大学,,,59
74,65,前50%,江南大学,,,59
76,55,前50%,河南师范大学,,,58
77,71,前50%,上海海事大学,,,56
78,85,前50%,首都经济贸易大学,,,55
78,76,前50%,西安外国语大学,,,55
80,,前50%,北方工业大学,,,54
80,,前50%,云南大学,,,54
82,82,前50%,东南大学,,,53
83,70,前50%,云南民族大学,,,52
84,103,前50%,江苏大学,,,49
85,48,前50%,河北师范大学,,,47
85,72,前50%,江苏师范大学,,,47
85,55,前50%,中南财经政法大学,,,47
88,,前50%,西安交通大学,,,46
88,105,前50%,燕山大学,,,46
90,72,前50%,南京理工大学,,,45
91,69,前50%,湘潭大学,,,43
92,96,前50%,外交学院,,,42
93,,前50%,中央财经大学,,,41
94,,前50%,北京理工大学,,,40
94,57,前50%,广西民族大学,,,40
94,,前50%,中国政法大学,,,40
94,92,前50%,中南民族大学,,,40
98,84,前50%,杭州电子科技大学,,,39
99,,前50%,南京工业大学,,,38
99,85,前50%,山东财经大学,,,38
99,,前50%,长沙理工大学,,,38
99,89,前50%,重庆师范大学,,,38
103,89,前50%,广西大学,,,37
103,,前50%,贵州师范大学,,,37
103,85,前50%,国际关系学院,,,37
106,,前50%,海南大学,,,36
107,60,前50%,江西财经大学,,,35
107,102,前50%,上海对外经贸大学,,,35
109,99,前50%,辽宁师范大学,,,34
109,,前50%,中国矿业大学（北京）,,,34
111,109,前50%,大连理工大学,,,28
111,109,前50%,鲁东大学,,,28
113,,前50%,南京信息工程大学,,,27
113,75,前50%,西北师范大学,,,27
113,,前50%,西南财经大学,,,27
116,109,前50%,兰州大学,,,26
116,109,前50%,南京航空航天大学,,,26
