排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,中国传媒大学,,,1056
2,前5%,中国人民大学,,,891
3,前5%,复旦大学,,,754
4,前5%,上海交通大学,,,502
5,前10%,武汉大学,,,497
6,前10%,暨南大学,,,419
7,前10%,清华大学,,,375
8,前10%,华中科技大学,,,322
9,前10%,南京大学,,,319
10,前25%,北京大学,,,314
11,前25%,四川大学,,,252
12,前25%,浙江大学,,,250
13,前25%,南京师范大学,,,247
14,前25%,华东师范大学,,,241
15,前25%,中山大学,,,231
16,前25%,西南政法大学,,,218
17,前25%,北京师范大学,,,198
18,前25%,厦门大学,,,177
19,前25%,南昌大学,,,162
20,前25%,新疆大学,,,154
21,前25%,郑州大学,,,151
22,前25%,深圳大学,,,143
23,前25%,安徽大学,,,131
24,前25%,汕头大学,,,126
25,前50%,华中师范大学,,,125
26,前50%,湖南师范大学,,,123
27,前50%,华南理工大学,,,119
28,前50%,大连理工大学,,,118
29,前50%,上海大学,,,111
30,前50%,河北大学,,,109
30,前50%,河南大学,,,109
32,前50%,北京印刷学院,,,108
33,前50%,陕西师范大学,,,107
34,前50%,湖南大学,,,104
34,前50%,内蒙古大学,,,104
36,前50%,上海理工大学,,,100
36,前50%,重庆大学,,,100
38,前50%,北京工商大学,,,94
39,前50%,中南民族大学,,,92
40,前50%,江西师范大学,,,91
41,前50%,湖北大学,,,87
42,前50%,北京交通大学,,,82
42,前50%,苏州大学,,,82
44,前50%,江西财经大学,,,79
45,前50%,黑龙江大学,,,76
46,前50%,天津师范大学,,,75
46,前50%,西北大学,,,75
46,前50%,湘潭大学,,,75
49,前50%,福建师范大学,,,73
49,前50%,山东大学,,,73
49,前50%,中国政法大学,,,73
