2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,2,前1%,中国人民大学,,,1035
2,1,前5%,中国传媒大学,,,1003
3,4,前5%,上海交通大学,,,610
4,6,前5%,暨南大学,,,582
5,3,前5%,复旦大学,,,563
6,7,前10%,清华大学,,,484
7,11,前10%,四川大学,,,448
8,5,前10%,武汉大学,,,402
9,15,前10%,中山大学,,,327
10,9,前10%,南京大学,,,321
11,10,前10%,北京大学,,,300
12,8,前25%,华中科技大学,,,299
13,12,前25%,浙江大学,,,277
14,13,前25%,南京师范大学,,,254
15,18,前25%,厦门大学,,,228
16,14,前25%,华东师范大学,,,215
17,16,前25%,西南政法大学,,,207
18,17,前25%,北京师范大学,,,198
19,20,前25%,新疆大学,,,182
20,22,前25%,深圳大学,,,175
21,21,前25%,郑州大学,,,168
22,,前25%,广东外语外贸大学,,,157
23,19,前25%,南昌大学,,,156
24,26,前25%,湖南师范大学,,,155
25,27,前25%,华南理工大学,,,153
26,25,前25%,华中师范大学,,,148
27,32,前25%,北京印刷学院,,,144
27,46,前25%,西北大学,,,144
29,30,前50%,河南大学,,,123
30,28,前50%,大连理工大学,,,118
31,36,前50%,上海理工大学,,,111
32,30,前50%,河北大学,,,109
33,49,前50%,山东大学,,,100
34,42,前50%,苏州大学,,,98
35,23,前50%,安徽大学,,,97
36,40,前50%,江西师范大学,,,94
36,,前50%,西安交通大学,,,94
38,33,前50%,陕西师范大学,,,93
39,42,前50%,北京交通大学,,,90
39,41,前50%,湖北大学,,,90
41,29,前50%,上海大学,,,87
42,,前50%,上海外国语大学,,,86
43,38,前50%,北京工商大学,,,82
43,39,前50%,中南民族大学,,,82
45,,前50%,中央民族大学,,,81
46,34,前50%,湖南大学,,,79
47,49,前50%,福建师范大学,,,78
47,44,前50%,江西财经大学,,,78
49,36,前50%,重庆大学,,,77
50,,前50%,浙江工业大学,,,76
51,,前50%,广州大学,,,74
52,,前50%,电子科技大学,,,67
52,46,前50%,湘潭大学,,,67
54,,前50%,华南师范大学,,,66
54,,前50%,云南大学,,,66
56,,前50%,安徽师范大学,,,65
56,49,前50%,中国政法大学,,,65
