排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,复旦大学,,,987
2,前5%,中国人民大学,,,785
3,前5%,北京大学,,,777
4,前5%,清华大学,,,640
5,前5%,南开大学,,,611
6,前10%,吉林大学,,,565
7,前10%,华中师范大学,,,494
8,前10%,云南大学,,,437
9,前10%,南京大学,,,333
10,前10%,华东师范大学,,,321
11,前25%,天津师范大学,,,319
12,前25%,上海外国语大学,,,303
13,前25%,中山大学,,,269
14,前25%,暨南大学,,,262
15,前25%,厦门大学,,,252
15,前25%,山东大学,,,252
17,前25%,对外经济贸易大学,,,243
18,前25%,上海交通大学,,,227
19,前25%,华东政法大学,,,223
20,前25%,武汉大学,,,213
21,前25%,四川大学,,,206
22,前25%,中国政法大学,,,193
23,前25%,东北师范大学,,,164
24,前25%,北京师范大学,,,159
25,前25%,同济大学,,,151
26,前25%,中南财经政法大学,,,145
27,前25%,苏州大学,,,144
28,前50%,国际关系学院,,,143
29,前50%,湘潭大学,,,141
30,前50%,山西大学,,,124
31,前50%,浙江师范大学,,,123
31,前50%,郑州大学,,,123
33,前50%,中国海洋大学,,,119
34,前50%,外交学院,,,118
35,前50%,南京师范大学,,,117
36,前50%,湖南师范大学,,,111
37,前50%,深圳大学,,,106
38,前50%,兰州大学,,,104
39,前50%,河南大学,,,96
40,前50%,广东外语外贸大学,,,93
41,前50%,黑龙江大学,,,82
42,前50%,上海师范大学,,,76
43,前50%,北京外国语大学,,,74
44,前50%,西南大学,,,69
45,前50%,福建师范大学,,,66
45,前50%,辽宁大学,,,66
45,前50%,西安交通大学,,,66
45,前50%,扬州大学,,,66
45,前50%,云南师范大学,,,66
50,前50%,贵州大学,,,64
51,前50%,首都师范大学,,,62
52,前50%,贵州师范大学,,,59
52,前50%,河南师范大学,,,59
54,前50%,曲阜师范大学,,,55
