2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,2,前1%,中国人民大学,,,997
2,1,前5%,复旦大学,,,932
3,3,前5%,北京大学,,,797
4,4,前5%,清华大学,,,701
5,6,前5%,吉林大学,,,596
6,7,前10%,华中师范大学,,,572
7,5,前10%,南开大学,,,540
8,8,前10%,云南大学,,,505
9,9,前10%,南京大学,,,438
10,14,前10%,暨南大学,,,393
11,13,前25%,中山大学,,,379
12,15,前25%,山东大学,,,325
13,12,前25%,上海外国语大学,,,300
14,10,前25%,华东师范大学,,,275
15,17,前25%,对外经济贸易大学,,,265
16,20,前25%,武汉大学,,,259
17,15,前25%,厦门大学,,,249
18,22,前25%,中国政法大学,,,245
19,11,前25%,天津师范大学,,,240
20,19,前25%,华东政法大学,,,225
21,18,前25%,上海交通大学,,,222
22,21,前25%,四川大学,,,193
23,24,前25%,北京师范大学,,,175
24,29,前25%,湘潭大学,,,170
24,26,前25%,中南财经政法大学,,,170
26,23,前25%,东北师范大学,,,169
27,,前25%,国防大学,,,153
28,28,前50%,国际关系学院,,,150
28,27,前50%,苏州大学,,,150
30,31,前50%,郑州大学,,,143
31,34,前50%,外交学院,,,140
32,38,前50%,兰州大学,,,127
32,33,前50%,中国海洋大学,,,127
34,25,前50%,同济大学,,,126
35,35,前50%,南京师范大学,,,124
36,30,前50%,山西大学,,,114
37,36,前50%,湖南师范大学,,,113
37,37,前50%,深圳大学,,,113
39,31,前50%,浙江师范大学,,,102
40,40,前50%,广东外语外贸大学,,,100
41,39,前50%,河南大学,,,94
42,,前50%,国防科学技术大学,,,93
43,45,前50%,西安交通大学,,,90
44,43,前50%,北京外国语大学,,,89
45,45,前50%,辽宁大学,,,88
46,,前50%,新疆大学,,,87
47,,前50%,华侨大学,,,84
48,41,前50%,黑龙江大学,,,77
48,,前50%,新疆师范大学,,,77
50,,前50%,安徽大学,,,73
51,,前50%,华南师范大学,,,72
52,,前50%,聊城大学,,,71
53,44,前50%,西南大学,,,68
54,,前50%,海南大学,,,67
