排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,中国人民大学,,,965
2,前5%,中国政法大学,,,795
3,前5%,武汉大学,,,787
4,前5%,华东政法大学,,,675
5,前5%,北京大学,,,657
6,前5%,清华大学,,,497
7,前5%,西南政法大学,,,432
8,前5%,中南财经政法大学,,,386
9,前5%,浙江大学,,,319
10,前10%,北京师范大学,,,311
11,前10%,吉林大学,,,310
12,前10%,东南大学,,,281
12,前10%,上海交通大学,,,281
14,前10%,厦门大学,,,277
15,前10%,四川大学,,,270
16,前10%,中南大学,,,199
17,前10%,中山大学,,,186
18,前10%,复旦大学,,,185
19,前10%,南京大学,,,176
20,前25%,山东大学,,,170
21,前25%,对外经济贸易大学,,,163
22,前25%,重庆大学,,,147
23,前25%,苏州大学,,,142
24,前25%,西北政法大学,,,134
25,前25%,湖南大学,,,124
26,前25%,南京师范大学,,,119
27,前25%,郑州大学,,,95
28,前25%,华中科技大学,,,91
29,前25%,上海财经大学,,,90
30,前25%,北京航空航天大学,,,82
30,前25%,湖南师范大学,,,82
32,前25%,深圳大学,,,79
33,前25%,江西财经大学,,,78
34,前25%,黑龙江大学,,,74
35,前25%,上海政法学院,,,73
36,前25%,烟台大学,,,68
37,前25%,西南财经大学,,,67
37,前25%,湘潭大学,,,67
39,前25%,大连海事大学,,,61
40,前25%,中央财经大学,,,59
41,前25%,海南大学,,,58
42,前25%,辽宁大学,,,57
42,前25%,宁波大学,,,57
44,前25%,同济大学,,,56
45,前25%,安徽大学,,,55
46,前25%,广东外语外贸大学,,,53
47,前25%,西安交通大学,,,51
47,前25%,中国海洋大学,,,51
49,前50%,甘肃政法学院,,,49
49,前50%,中央民族大学,,,49
51,前50%,华南理工大学,,,48
52,前50%,暨南大学,,,47
52,前50%,浙江工商大学,,,47
54,前50%,北京理工大学,,,45
54,前50%,上海对外经贸大学,,,45
56,前50%,山西大学,,,44
57,前50%,河南财经政法大学,,,42
57,前50%,南开大学,,,42
59,前50%,沈阳师范大学,,,40
60,前50%,中国人民公安大学,,,38
61,前50%,云南大学,,,37
62,前50%,广西师范大学,,,35
62,前50%,河南大学,,,35
62,前50%,首都经济贸易大学,,,35
62,前50%,浙江工业大学,,,35
66,前50%,华中师范大学,,,34
66,前50%,南昌大学,,,34
68,前50%,中南民族大学,,,33
69,前50%,河北大学,,,31
70,前50%,中国青年政治学院,,,30
71,前50%,山西财经大学,,,29
71,前50%,上海大学,,,29
73,前50%,广州大学,,,27
74,前50%,福建师范大学,,,24
75,前50%,福州大学,,,23
75,前50%,华东理工大学,,,23
75,前50%,天津大学,,,23
75,前50%,西南大学,,,23
75,前50%,新疆大学,,,23
80,前50%,杭州师范大学,,,22
80,前50%,华南师范大学,,,22
80,前50%,华中农业大学,,,22
80,前50%,宁夏大学,,,22
80,前50%,天津财经大学,,,22
80,前50%,扬州大学,,,22
86,前50%,安徽财经大学,,,21
86,前50%,华侨大学,,,21
86,前50%,兰州大学,,,21
89,前50%,河海大学,,,20
89,前50%,华东师范大学,,,20
89,前50%,江西师范大学,,,20
92,前50%,东北师范大学,,,19
92,前50%,广东财经大学,,,19
92,前50%,河南师范大学,,,19
92,前50%,昆明理工大学,,,19
92,前50%,南京财经大学,,,19
92,前50%,南京工业大学,,,19
