2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,中国人民大学,,,973
2,2,前1%,中国政法大学,,,917
3,3,前5%,武汉大学,,,886
4,5,前5%,北京大学,,,661
5,4,前5%,华东政法大学,,,652
6,6,前5%,清华大学,,,543
7,7,前5%,西南政法大学,,,439
8,8,前5%,中南财经政法大学,,,420
9,9,前5%,浙江大学,,,335
10,10,前5%,北京师范大学,,,319
10,12,前5%,东南大学,,,319
12,12,前10%,上海交通大学,,,317
13,14,前10%,厦门大学,,,311
14,15,前10%,四川大学,,,303
15,11,前10%,吉林大学,,,302
16,18,前10%,复旦大学,,,203
17,20,前10%,山东大学,,,199
18,16,前10%,中南大学,,,197
19,19,前10%,南京大学,,,181
20,17,前10%,中山大学,,,175
21,23,前25%,苏州大学,,,163
22,24,前25%,西北政法大学,,,161
23,25,前25%,湖南大学,,,150
24,22,前25%,重庆大学,,,147
25,21,前25%,对外经济贸易大学,,,142
26,26,前25%,南京师范大学,,,136
27,29,前25%,上海财经大学,,,114
28,37,前25%,湘潭大学,,,113
29,30,前25%,湖南师范大学,,,111
30,28,前25%,华中科技大学,,,97
31,32,前25%,深圳大学,,,88
32,41,前25%,海南大学,,,84
33,35,前25%,上海政法学院,,,83
34,39,前25%,大连海事大学,,,80
35,27,前25%,郑州大学,,,78
36,30,前25%,北京航空航天大学,,,76
36,34,前25%,黑龙江大学,,,76
38,46,前25%,广东外语外贸大学,,,74
38,42,前25%,辽宁大学,,,74
40,36,前25%,烟台大学,,,72
41,51,前25%,华南理工大学,,,68
41,37,前25%,西南财经大学,,,68
43,44,前25%,同济大学,,,67
43,47,前25%,西安交通大学,,,67
45,33,前25%,江西财经大学,,,62
46,42,前25%,宁波大学,,,61
47,52,前25%,暨南大学,,,59
48,54,前25%,上海对外经贸大学,,,58
49,40,前25%,中央财经大学,,,57
50,73,前25%,广州大学,,,56
50,49,前25%,中央民族大学,,,56
52,57,前25%,南开大学,,,55
53,45,前50%,安徽大学,,,54
54,59,前50%,沈阳师范大学,,,51
55,52,前50%,浙江工商大学,,,49
55,60,前50%,中国人民公安大学,,,49
57,57,前50%,河南财经政法大学,,,48
57,62,前50%,首都经济贸易大学,,,48
59,47,前50%,中国海洋大学,,,44
60,66,前50%,华中师范大学,,,43
61,70,前50%,中国青年政治学院,,,42
62,62,前50%,河南大学,,,40
62,80,前50%,扬州大学,,,40
64,,前50%,湖南商学院,,,38
65,75,前50%,福州大学,,,37
66,54,前50%,北京理工大学,,,36
66,,前50%,常州大学,,,36
66,75,前50%,天津大学,,,36
69,86,前50%,安徽财经大学,,,35
69,61,前50%,云南大学,,,35
71,89,前50%,华东师范大学,,,33
71,62,前50%,浙江工业大学,,,33
73,74,前50%,福建师范大学,,,32
73,66,前50%,南昌大学,,,32
73,80,前50%,天津财经大学,,,32
76,,前50%,温州大学,,,31
77,49,前50%,甘肃政法学院,,,30
77,75,前50%,新疆大学,,,30
79,62,前50%,广西师范大学,,,29
79,80,前50%,华南师范大学,,,29
81,80,前50%,杭州师范大学,,,28
81,,前50%,江苏大学,,,28
81,71,前50%,山西财经大学,,,28
81,56,前50%,山西大学,,,28
85,,前50%,湖南工业大学,,,27
85,80,前50%,华中农业大学,,,27
85,71,前50%,上海大学,,,27
88,,前50%,浙江理工大学,,,25
89,,前50%,北京外国语大学,,,24
89,69,前50%,河北大学,,,24
89,89,前50%,河海大学,,,24
89,80,前50%,宁夏大学,,,24
89,75,前50%,西南大学,,,24
94,92,前50%,南京工业大学,,,23
95,,前50%,浙江财经大学,,,22
95,68,前50%,中南民族大学,,,22
97,,前50%,大连理工大学,,,21
97,,前50%,贵州大学,,,21
97,86,前50%,兰州大学,,,21
97,,前50%,上海师范大学,,,21
101,,前50%,青岛大学,,,20
102,86,前50%,华侨大学,,,19
102,,前50%,江苏师范大学,,,19
102,,前50%,山东师范大学,,,19
