排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,北京大学,,,978
2,前5%,南京大学,,,939
3,前5%,清华大学,,,783
4,前5%,中国人民大学,,,777
5,前10%,中山大学,,,760
6,前10%,北京师范大学,,,479
7,前10%,华东师范大学,,,447
8,前10%,上海大学,,,396
9,前10%,华东理工大学,,,362
10,前25%,吉林大学,,,342
11,前25%,西安交通大学,,,340
12,前25%,厦门大学,,,311
13,前25%,北京工业大学,,,281
14,前25%,复旦大学,,,253
15,前25%,华中师范大学,,,252
16,前25%,武汉大学,,,247
17,前25%,南开大学,,,226
18,前25%,华中科技大学,,,207
18,前25%,中央民族大学,,,207
20,前25%,中南大学,,,195
21,前25%,浙江大学,,,181
22,前25%,河海大学,,,180
23,前25%,首都经济贸易大学,,,179
24,前50%,华中农业大学,,,175
25,前50%,中央财经大学,,,173
26,前50%,西南大学,,,162
27,前50%,中国农业大学,,,146
28,前50%,山东大学,,,145
29,前50%,南京师范大学,,,132
30,前50%,西南财经大学,,,122
30,前50%,云南大学,,,122
32,前50%,河北大学,,,114
33,前50%,湖南师范大学,,,108
34,前50%,陕西师范大学,,,102
35,前50%,安徽大学,,,101
35,前50%,温州大学,,,101
37,前50%,兰州大学,,,100
38,前50%,江西财经大学,,,92
38,前50%,云南师范大学,,,92
40,前50%,东北师范大学,,,91
41,前50%,中南民族大学,,,87
42,前50%,哈尔滨工程大学,,,79
43,前50%,云南民族大学,,,76
44,前50%,福州大学,,,74
44,前50%,中南财经政法大学,,,74
46,前50%,浙江师范大学,,,72
