2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,北京大学,,,999
2,2,前5%,南京大学,,,972
3,4,前5%,中国人民大学,,,910
4,3,前5%,清华大学,,,776
5,5,前10%,中山大学,,,720
6,8,前10%,上海大学,,,589
7,6,前10%,北京师范大学,,,540
8,7,前10%,华东师范大学,,,403
9,9,前10%,华东理工大学,,,358
10,14,前25%,复旦大学,,,339
11,18,前25%,中央民族大学,,,326
12,11,前25%,西安交通大学,,,317
13,12,前25%,厦门大学,,,306
14,15,前25%,华中师范大学,,,303
15,27,前25%,中国农业大学,,,295
16,10,前25%,吉林大学,,,291
17,13,前25%,北京工业大学,,,283
18,21,前25%,浙江大学,,,281
19,16,前25%,武汉大学,,,272
20,20,前25%,中南大学,,,266
21,22,前25%,河海大学,,,245
21,17,前25%,南开大学,,,245
23,24,前25%,华中农业大学,,,242
24,18,前50%,华中科技大学,,,222
25,,前50%,中国政法大学,,,191
26,,前50%,四川大学,,,163
27,26,前50%,西南大学,,,156
28,29,前50%,南京师范大学,,,151
29,28,前50%,山东大学,,,148
30,25,前50%,中央财经大学,,,145
31,34,前50%,陕西师范大学,,,133
32,44,前50%,中南财经政法大学,,,132
33,35,前50%,安徽大学,,,129
34,30,前50%,西南财经大学,,,124
35,43,前50%,云南民族大学,,,121
36,30,前50%,云南大学,,,112
36,38,前50%,云南师范大学,,,112
38,46,前50%,浙江师范大学,,,111
39,,前50%,广州大学,,,104
40,40,前50%,东北师范大学,,,100
41,37,前50%,兰州大学,,,98
42,38,前50%,江西财经大学,,,95
43,,前50%,华东政法大学,,,93
44,,前50%,贵州民族大学,,,90
45,,前50%,济南大学,,,89
46,,前50%,西北师范大学,,,85
