排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,武汉大学,,,735
2,前1%,中国人民大学,,,580
3,前1%,东北师范大学,,,464
4,前5%,南京师范大学,,,450
5,前5%,北京师范大学,,,435
6,前5%,吉林大学,,,387
7,前5%,清华大学,,,328
8,前5%,华南师范大学,,,301
9,前5%,湘潭大学,,,273
10,前5%,华中师范大学,,,239
11,前5%,复旦大学,,,188
12,前5%,中山大学,,,186
13,前5%,中南民族大学,,,143
14,前5%,中央财经大学,,,141
15,前5%,哈尔滨师范大学,,,132
16,前5%,西南大学,,,131
17,前10%,南京大学,,,129
18,前10%,华南理工大学,,,124
19,前10%,湖北大学,,,123
20,前10%,陕西师范大学,,,117
21,前10%,福建师范大学,,,116
22,前10%,郑州大学,,,112
23,前10%,大连海事大学,,,111
23,前10%,南京政治学院,,,111
25,前10%,中南大学,,,104
26,前10%,河北师范大学,,,102
26,前10%,江西师范大学,,,102
28,前10%,湖南科技大学,,,95
28,前10%,辽宁大学,,,95
30,前10%,湖南师范大学,,,90
31,前10%,广西师范大学,,,89
31,前10%,西安交通大学,,,89
33,前10%,浙江大学,,,85
34,前25%,东南大学,,,83
34,前25%,河海大学,,,83
34,前25%,江南大学,,,83
37,前25%,同济大学,,,80
38,前25%,渤海大学,,,79
38,前25%,河南师范大学,,,79
40,前25%,安徽师范大学,,,78
40,前25%,山东师范大学,,,78
40,前25%,长沙理工大学,,,78
43,前25%,北京大学,,,77
43,前25%,大连理工大学,,,77
45,前25%,东北林业大学,,,72
45,前25%,山东大学,,,72
45,前25%,新疆大学,,,72
48,前25%,华东师范大学,,,69
49,前25%,河南理工大学,,,68
49,前25%,南昌大学,,,68
51,前25%,贵州大学,,,67
51,前25%,合肥工业大学,,,67
51,前25%,南京信息工程大学,,,67
51,前25%,燕山大学,,,67
55,前25%,福建农林大学,,,66
55,前25%,哈尔滨理工大学,,,66
55,前25%,宁波大学,,,66
55,前25%,浙江理工大学,,,66
59,前25%,海南师范大学,,,61
59,前25%,南昌航空大学,,,61
59,前25%,西北大学,,,61
62,前25%,苏州大学,,,57
63,前25%,华中农业大学,,,56
63,前25%,江苏师范大学,,,56
63,前25%,厦门大学,,,56
63,前25%,武汉理工大学,,,56
67,前25%,北方民族大学,,,49
67,前25%,上海财经大学,,,49
67,前25%,首都师范大学,,,49
67,前25%,浙江师范大学,,,49
71,前25%,湖南大学,,,45
71,前25%,南开大学,,,45
73,前25%,北京理工大学,,,44
73,前25%,广州大学,,,44
73,前25%,贵州师范大学,,,44
73,前25%,华侨大学,,,44
73,前25%,华中科技大学,,,44
73,前25%,宁夏大学,,,44
73,前25%,曲阜师范大学,,,44
73,前25%,山西师范大学,,,44
73,前25%,天津师范大学,,,44
73,前25%,温州大学,,,44
73,前25%,中国地质大学（武汉）,,,44
84,前50%,电子科技大学,,,39
85,前50%,河北工业大学,,,38
85,前50%,暨南大学,,,38
87,前50%,华东理工大学,,,35
87,前50%,上海交通大学,,,35
87,前50%,深圳大学,,,35
87,前50%,石河子大学,,,35
91,前50%,兰州大学,,,34
92,前50%,安徽工程大学,,,33
92,前50%,北京工商大学,,,33
92,前50%,北京科技大学,,,33
92,前50%,福州大学,,,33
92,前50%,广西大学,,,33
92,前50%,海南大学,,,33
92,前50%,杭州师范大学,,,33
92,前50%,河北经贸大学,,,33
92,前50%,河南工业大学,,,33
92,前50%,黑龙江大学,,,33
92,前50%,兰州交通大学,,,33
92,前50%,辽宁师范大学,,,33
92,前50%,聊城大学,,,33
92,前50%,青海师范大学,,,33
92,前50%,石家庄铁道大学,,,33
92,前50%,武汉纺织大学,,,33
92,前50%,西南科技大学,,,33
92,前50%,新疆师范大学,,,33
92,前50%,信阳师范学院,,,33
92,前50%,云南师范大学,,,33
92,前50%,浙江工商大学,,,33
92,前50%,中南财经政法大学,,,33
92,前50%,中央民族大学,,,33
92,前50%,重庆邮电大学,,,33
116,前50%,北京语言大学,,,27
116,前50%,杭州电子科技大学,,,27
116,前50%,南京林业大学,,,27
116,前50%,山东建筑大学,,,27
116,前50%,重庆师范大学,,,27
121,前50%,安庆师范大学,,,23
121,前50%,浙江工业大学,,,23
123,前50%,安徽大学,,,22
123,前50%,北京工业大学,,,22
123,前50%,北京航空航天大学,,,22
123,前50%,北京林业大学,,,22
123,前50%,东北大学,,,22
123,前50%,广东财经大学,,,22
123,前50%,河北大学,,,22
123,前50%,淮北师范大学,,,22
123,前50%,吉首大学,,,22
123,前50%,济南大学,,,22
123,前50%,江苏大学,,,22
123,前50%,江西财经大学,,,22
123,前50%,兰州理工大学,,,22
123,前50%,南京航空航天大学,,,22
123,前50%,南通大学,,,22
123,前50%,内蒙古大学,,,22
123,前50%,青海大学,,,22
123,前50%,山西财经大学,,,22
123,前50%,山西大学,,,22
123,前50%,上海大学,,,22
123,前50%,上海对外经贸大学,,,22
123,前50%,上海海事大学,,,22
123,前50%,沈阳师范大学,,,22
123,前50%,四川大学,,,22
123,前50%,武汉轻工大学,,,22
123,前50%,新疆医科大学,,,22
123,前50%,扬州大学,,,22
123,前50%,云南大学,,,22
123,前50%,中国地质大学（北京）,,,22
123,前50%,重庆工商大学,,,22
153,前50%,上海师范大学,,,12
154,前50%,北京交通大学,,,11
154,前50%,大理大学,,,11
154,前50%,大连大学,,,11
154,前50%,大连海洋大学,,,11
154,前50%,东北财经大学,,,11
154,前50%,东北石油大学,,,11
154,前50%,东华大学,,,11
154,前50%,赣南师范大学,,,11
154,前50%,广东外语外贸大学,,,11
154,前50%,广西民族大学,,,11
154,前50%,广西师范学院,,,11
154,前50%,桂林理工大学,,,11
