2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,武汉大学,,,664
2,2,前1%,中国人民大学,,,645
3,5,前1%,北京师范大学,,,492
4,3,前5%,东北师范大学,,,455
5,4,前5%,南京师范大学,,,386
6,7,前5%,清华大学,,,350
7,6,前5%,吉林大学,,,297
8,9,前5%,湘潭大学,,,294
9,8,前5%,华南师范大学,,,257
10,16,前5%,西南大学,,,250
11,10,前5%,华中师范大学,,,237
12,17,前5%,南京大学,,,206
13,14,前5%,中央财经大学,,,197
14,45,前5%,新疆大学,,,189
15,26,前5%,江西师范大学,,,176
15,12,前5%,中山大学,,,176
17,,前5%,国防大学,,,141
18,26,前10%,河北师范大学,,,139
19,11,前10%,复旦大学,,,127
20,18,前10%,华南理工大学,,,126
21,15,前10%,哈尔滨师范大学,,,123
22,33,前10%,浙江大学,,,120
23,21,前10%,福建师范大学,,,116
23,37,前10%,同济大学,,,116
25,23,前10%,大连海事大学,,,114
26,19,前10%,湖北大学,,,108
27,73,前10%,华中科技大学,,,105
28,28,前10%,湖南科技大学,,,102
28,34,前10%,江南大学,,,102
28,28,前10%,辽宁大学,,,102
28,45,前10%,山东大学,,,102
28,25,前10%,中南大学,,,102
33,30,前10%,湖南师范大学,,,99
34,38,前10%,河南师范大学,,,95
34,31,前10%,西安交通大学,,,95
36,43,前25%,北京大学,,,91
37,31,前25%,广西师范大学,,,90
38,40,前25%,长沙理工大学,,,82
39,63,前25%,厦门大学,,,81
40,45,前25%,东北林业大学,,,80
40,34,前25%,东南大学,,,80
42,73,前25%,贵州师范大学,,,77
42,22,前25%,郑州大学,,,77
44,92,前25%,广西大学,,,73
44,73,前25%,广州大学,,,73
44,63,前25%,江苏师范大学,,,73
47,71,前25%,湖南大学,,,72
47,40,前25%,山东师范大学,,,72
47,87,前25%,深圳大学,,,72
50,43,前25%,大连理工大学,,,68
50,55,前25%,福建农林大学,,,68
50,,前25%,南京邮电大学,,,68
50,20,前25%,陕西师范大学,,,68
50,123,前25%,扬州大学,,,68
55,62,前25%,苏州大学,,,67
56,59,前25%,海南师范大学,,,66
57,87,前25%,华东理工大学,,,63
57,87,前25%,上海交通大学,,,63
59,84,前25%,电子科技大学,,,61
59,67,前25%,上海财经大学,,,61
61,40,前25%,安徽师范大学,,,59
61,55,前25%,宁波大学,,,59
61,55,前25%,浙江理工大学,,,59
64,51,前25%,贵州大学,,,55
64,73,前25%,曲阜师范大学,,,55
64,63,前25%,武汉理工大学,,,55
64,13,前25%,中南民族大学,,,55
68,85,前25%,河北工业大学,,,52
68,34,前25%,河海大学,,,52
70,55,前25%,哈尔滨理工大学,,,50
70,92,前25%,浙江工商大学,,,50
72,59,前25%,南昌航空大学,,,47
73,154,前25%,赣南师范大学,,,45
73,154,前25%,河南大学,,,45
73,92,前25%,黑龙江大学,,,45
73,49,前25%,南昌大学,,,45
73,73,前25%,宁夏大学,,,45
73,73,前25%,山西师范大学,,,45
73,87,前25%,石河子大学,,,45
73,73,前25%,温州大学,,,45
81,67,前25%,北方民族大学,,,43
81,71,前25%,南开大学,,,43
81,59,前25%,西北大学,,,43
81,67,前25%,浙江师范大学,,,43
85,123,前25%,安徽大学,,,41
85,38,前25%,渤海大学,,,41
85,49,前25%,河南理工大学,,,41
85,,前25%,湖南商学院,,,41
85,91,前25%,兰州大学,,,41
85,154,前25%,南京理工大学,,,41
85,51,前25%,南京信息工程大学,,,41
85,123,前25%,青海大学,,,41
85,154,前25%,国防科学技术大学,,,41
85,92,前25%,重庆邮电大学,,,41
95,116,前50%,南京林业大学,,,38
95,116,前50%,山东建筑大学,,,38
97,48,前50%,华东师范大学,,,36
97,154,前50%,华南农业大学,,,36
97,63,前50%,华中农业大学,,,36
97,123,前50%,兰州理工大学,,,36
97,123,前50%,四川大学,,,36
97,92,前50%,信阳师范学院,,,36
97,121,前50%,浙江工业大学,,,36
97,92,前50%,中央民族大学,,,36
105,116,前50%,杭州电子科技大学,,,34
105,116,前50%,重庆师范大学,,,34
107,154,前50%,哈尔滨工程大学,,,32
107,92,前50%,海南大学,,,32
107,51,前50%,合肥工业大学,,,32
107,123,前50%,上海大学,,,32
107,92,前50%,中南财经政法大学,,,32
112,92,前50%,安徽工程大学,,,27
112,154,前50%,北京交通大学,,,27
112,92,前50%,北京科技大学,,,27
112,73,前50%,北京理工大学,,,27
112,,前50%,北京邮电大学,,,27
112,154,前50%,东北财经大学,,,27
112,92,前50%,福州大学,,,27
112,123,前50%,广东财经大学,,,27
112,154,前50%,广东外语外贸大学,,,27
112,154,前50%,桂林理工大学,,,27
112,92,前50%,河北经贸大学,,,27
112,92,前50%,河南工业大学,,,27
112,73,前50%,华侨大学,,,27
112,123,前50%,济南大学,,,27
112,123,前50%,江西财经大学,,,27
112,154,前50%,南方医科大学,,,27
112,154,前50%,南京财经大学,,,27
112,123,前50%,南通大学,,,27
112,123,前50%,山西大学,,,27
112,123,前50%,上海海事大学,,,27
112,67,前50%,首都师范大学,,,27
112,,前50%,西藏大学,,,27
112,92,前50%,西南科技大学,,,27
112,154,前50%,西南政法大学,,,27
112,51,前50%,燕山大学,,,27
112,123,前50%,云南大学,,,27
112,92,前50%,云南师范大学,,,27
112,73,前50%,中国地质大学（武汉）,,,27
112,123,前50%,重庆工商大学,,,27
141,116,前50%,北京语言大学,,,25
142,121,前50%,安庆师范大学,,,22
142,92,前50%,杭州师范大学,,,22
142,123,前50%,江苏大学,,,22
142,123,前50%,内蒙古大学,,,22
142,,前50%,上海政法学院,,,22
142,,前50%,郑州轻工业大学,,,22
148,,前50%,安徽财经大学,,,18
148,123,前50%,北京工业大学,,,18
148,123,前50%,北京航空航天大学,,,18
148,123,前50%,北京林业大学,,,18
148,,前50%,成都理工大学,,,18
148,,前50%,阜阳师范学院,,,18
148,154,前50%,广西民族大学,,,18
148,,前50%,桂林电子科技大学,,,18
148,154,前50%,哈尔滨工业大学,,,18
148,154,前50%,河北农业大学,,,18
148,154,前50%,湖北工业大学,,,18
148,154,前50%,江西农业大学,,,18
148,92,前50%,辽宁师范大学,,,18
148,123,前50%,南京航空航天大学,,,18
148,154,前50%,青岛大学,,,18
148,92,前50%,青海师范大学,,,18
148,,前50%,山东科技大学,,,18
148,154,前50%,山东理工大学,,,18
148,123,前50%,沈阳师范大学,,,18
148,92,前50%,石家庄铁道大学,,,18
148,,前50%,塔里木大学,,,18
148,154,前50%,天津大学,,,18
148,73,前50%,天津师范大学,,,18
148,92,前50%,武汉纺织大学,,,18
148,154,前50%,西北农林科技大学,,,18
148,,前50%,西藏民族大学,,,18
148,154,前50%,西南交通大学,,,18
148,154,前50%,延安大学,,,18
148,154,前50%,云南农业大学,,,18
148,154,前50%,浙江农林大学,,,18
