排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,北京大学,,,1445
2,前5%,中国科学技术大学,,,1214
3,前5%,清华大学,,,1034
4,前5%,厦门大学,,,1016
5,前5%,吉林大学,,,996
6,前5%,复旦大学,,,907
7,前5%,南京大学,,,844
8,前5%,南开大学,,,810
9,前5%,中山大学,,,724
10,前10%,浙江大学,,,624
11,前10%,四川大学,,,615
12,前10%,武汉大学,,,572
13,前10%,兰州大学,,,567
14,前10%,苏州大学,,,497
15,前10%,湖南大学,,,437
16,前10%,上海交通大学,,,381
17,前10%,华东理工大学,,,376
18,前10%,东北师范大学,,,359
19,前10%,大连理工大学,,,327
20,前25%,华东师范大学,,,313
21,前25%,北京航空航天大学,,,287
22,前25%,山东大学,,,275
23,前25%,华南理工大学,,,267
24,前25%,北京化工大学,,,262
25,前25%,天津大学,,,245
26,前25%,北京理工大学,,,231
27,前25%,北京师范大学,,,228
28,前25%,福州大学,,,220
29,前25%,华中科技大学,,,217
30,前25%,哈尔滨工业大学,,,200
31,前25%,西北大学,,,167
32,前25%,西安交通大学,,,152
33,前25%,南京工业大学,,,151
34,前25%,陕西师范大学,,,150
35,前25%,东南大学,,,148
36,前25%,郑州大学,,,145
37,前25%,上海大学,,,135
37,前25%,中南大学,,,135
39,前25%,华中师范大学,,,131
40,前25%,北京科技大学,,,128
40,前25%,江南大学,,,128
42,前25%,同济大学,,,121
43,前25%,西南大学,,,117
44,前25%,河南大学,,,105
45,前25%,浙江工业大学,,,102
46,前25%,山东师范大学,,,101
46,前25%,重庆大学,,,101
48,前50%,河南师范大学,,,100
49,前50%,东华大学,,,99
50,前50%,安徽师范大学,,,98
51,前50%,江苏大学,,,97
52,前50%,华南师范大学,,,94
53,前50%,合肥工业大学,,,92
54,前50%,南京理工大学,,,90
54,前50%,青岛科技大学,,,90
56,前50%,山西大学,,,86
56,前50%,武汉理工大学,,,86
58,前50%,南京师范大学,,,85
59,前50%,济南大学,,,83
60,前50%,中国石油大学（华东）,,,82
61,前50%,中国药科大学,,,81
62,前50%,常州大学,,,79
62,前50%,南昌大学,,,79
64,前50%,湘潭大学,,,76
65,前50%,温州大学,,,75
66,前50%,浙江师范大学,,,71
67,前50%,安徽大学,,,70
67,前50%,扬州大学,,,70
69,前50%,浙江理工大学,,,64
69,前50%,中国农业大学,,,64
71,前50%,湖南师范大学,,,63
71,前50%,西北工业大学,,,63
73,前50%,黑龙江大学,,,62
73,前50%,中国人民大学,,,62
75,前50%,东北大学,,,61
75,前50%,杭州师范大学,,,61
75,前50%,河北大学,,,61
78,前50%,暨南大学,,,60
79,前50%,江苏师范大学,,,57
80,前50%,中国海洋大学,,,55
81,前50%,太原理工大学,,,53
82,前50%,北京工业大学,,,51
82,前50%,聊城大学,,,51
84,前50%,深圳大学,,,50
85,前50%,上海师范大学,,,49
86,前50%,中国石油大学（北京）,,,48
86,前50%,中南民族大学,,,48
88,前50%,首都师范大学,,,47
89,前50%,湖北大学,,,46
89,前50%,青岛大学,,,46
91,前50%,中国地质大学（武汉）,,,45
92,前50%,贵州大学,,,44
92,前50%,曲阜师范大学,,,44
94,前50%,南京航空航天大学,,,43
95,前50%,江西师范大学,,,42
95,前50%,天津师范大学,,,42
