2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,北京大学,,,1473
2,2,前1%,中国科学技术大学,,,1390
3,6,前5%,复旦大学,,,982
4,3,前5%,清华大学,,,972
5,4,前5%,厦门大学,,,894
6,7,前5%,南京大学,,,878
7,8,前5%,南开大学,,,793
8,5,前5%,吉林大学,,,753
9,10,前5%,浙江大学,,,635
10,9,前5%,中山大学,,,619
11,14,前5%,苏州大学,,,496
12,13,前10%,兰州大学,,,491
12,11,前10%,四川大学,,,491
14,12,前10%,武汉大学,,,441
15,15,前10%,湖南大学,,,417
16,16,前10%,上海交通大学,,,391
17,17,前10%,华东理工大学,,,332
18,25,前10%,天津大学,,,326
19,20,前10%,华东师范大学,,,313
20,23,前10%,华南理工大学,,,296
21,18,前10%,东北师范大学,,,283
22,22,前10%,山东大学,,,282
23,24,前25%,北京化工大学,,,279
24,29,前25%,华中科技大学,,,276
25,19,前25%,大连理工大学,,,265
26,21,前25%,北京航空航天大学,,,262
27,26,前25%,北京理工大学,,,252
28,35,前25%,东南大学,,,251
29,28,前25%,福州大学,,,230
30,27,前25%,北京师范大学,,,229
31,33,前25%,南京工业大学,,,203
32,30,前25%,哈尔滨工业大学,,,201
33,32,前25%,西安交通大学,,,191
34,,前25%,南方科技大学,,,151
35,36,前25%,郑州大学,,,150
36,31,前25%,西北大学,,,147
37,34,前25%,陕西师范大学,,,146
38,42,前25%,同济大学,,,142
39,71,前25%,西北工业大学,,,140
40,40,前25%,江南大学,,,139
41,40,前25%,北京科技大学,,,138
41,37,前25%,中南大学,,,138
43,37,前25%,上海大学,,,133
44,39,前25%,华中师范大学,,,128
45,46,前25%,重庆大学,,,124
46,43,前25%,西南大学,,,113
47,46,前25%,山东师范大学,,,111
48,56,前25%,武汉理工大学,,,110
49,54,前25%,南京理工大学,,,109
49,45,前25%,浙江工业大学,,,109
51,49,前25%,东华大学,,,106
52,51,前25%,江苏大学,,,104
53,54,前25%,青岛科技大学,,,102
54,48,前25%,河南师范大学,,,95
55,44,前25%,河南大学,,,93
55,59,前25%,济南大学,,,93
55,84,前25%,深圳大学,,,93
55,60,前25%,中国石油大学（华东）,,,93
59,56,前50%,山西大学,,,92
60,62,前50%,南昌大学,,,89
60,61,前50%,中国药科大学,,,89
62,53,前50%,合肥工业大学,,,88
63,58,前50%,南京师范大学,,,86
64,64,前50%,湘潭大学,,,80
65,67,前50%,安徽大学,,,78
66,67,前50%,扬州大学,,,77
67,50,前50%,安徽师范大学,,,76
67,52,前50%,华南师范大学,,,76
69,78,前50%,暨南大学,,,74
70,75,前50%,东北大学,,,73
71,62,前50%,常州大学,,,70
72,,前50%,西北农林科技大学,,,69
73,,前50%,南京邮电大学,,,67
74,,前50%,宁波大学,,,66
75,89,前50%,青岛大学,,,65
75,69,前50%,浙江理工大学,,,65
77,69,前50%,中国农业大学,,,63
78,,前50%,上海科技大学,,,62
79,73,前50%,黑龙江大学,,,61
80,82,前50%,北京工业大学,,,59
81,81,前50%,太原理工大学,,,58
81,65,前50%,温州大学,,,58
81,80,前50%,中国海洋大学,,,58
81,73,前50%,中国人民大学,,,58
85,89,前50%,湖北大学,,,57
86,79,前50%,江苏师范大学,,,56
86,66,前50%,浙江师范大学,,,56
88,71,前50%,湖南师范大学,,,55
89,75,前50%,河北大学,,,54
90,,前50%,天津理工大学,,,53
91,95,前50%,江西师范大学,,,52
92,92,前50%,贵州大学,,,51
92,88,前50%,首都师范大学,,,51
94,94,前50%,南京航空航天大学,,,50
94,91,前50%,中国地质大学（武汉）,,,50
96,75,前50%,杭州师范大学,,,49
97,,前50%,华中农业大学,,,45
97,82,前50%,聊城大学,,,45
99,92,前50%,曲阜师范大学,,,44
99,86,前50%,中国石油大学（北京）,,,44
101,,前50%,武汉工程大学,,,43
102,,前50%,临沂大学,,,42
103,85,前50%,上海师范大学,,,41
103,,前50%,燕山大学,,,41
103,,前50%,云南大学,,,41
106,,前50%,沈阳药科大学,,,39
107,,前50%,福建师范大学,,,38
107,,前50%,华侨大学,,,38
107,,前50%,陕西科技大学,,,38
110,,前50%,昆明理工大学,,,37
110,,前50%,山西师范大学,,,37
110,95,前50%,天津师范大学,,,37
110,,前50%,西北师范大学,,,37
