排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,北京大学,,,1297
2,前5%,北京师范大学,,,999
3,前5%,武汉大学,,,989
4,前5%,南京师范大学,,,704
5,前10%,兰州大学,,,592
6,前10%,南京大学,,,583
7,前10%,中山大学,,,483
8,前10%,华东师范大学,,,432
9,前25%,中国地质大学（武汉）,,,205
10,前25%,河海大学,,,165
11,前25%,南京信息工程大学,,,141
12,前25%,陕西师范大学,,,112
13,前25%,西北农林科技大学,,,111
14,前25%,北京林业大学,,,95
15,前25%,华南师范大学,,,94
16,前25%,河南大学,,,93
17,前25%,东北师范大学,,,86
18,前25%,西北大学,,,83
19,前25%,福建师范大学,,,78
20,前25%,中国人民大学,,,71
21,前25%,安徽师范大学,,,68
22,前50%,首都师范大学,,,67
23,前50%,中国海洋大学,,,56
24,前50%,解放军信息工程大学,,,54
25,前50%,南京农业大学,,,52
26,前50%,河北师范大学,,,47
27,前50%,中国矿业大学,,,46
28,前50%,江西师范大学,,,43
29,前50%,新疆大学,,,39
29,前50%,云南大学,,,39
31,前50%,山西大学,,,38
32,前50%,辽宁师范大学,,,37
33,前50%,贵州师范大学,,,36
33,前50%,哈尔滨师范大学,,,36
33,前50%,吉林大学,,,36
36,前50%,成都理工大学,,,33
36,前50%,上海师范大学,,,33
38,前50%,江苏师范大学,,,32
38,前50%,西北师范大学,,,32
40,前50%,西南大学,,,30
41,前50%,河南理工大学,,,29
41,前50%,山东科技大学,,,29
41,前50%,云南师范大学,,,29
