2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,北京大学,,,1171
2,2,前5%,北京师范大学,,,863
3,3,前5%,武汉大学,,,758
4,4,前5%,南京师范大学,,,700
5,6,前10%,南京大学,,,651
6,5,前10%,兰州大学,,,478
7,7,前10%,中山大学,,,464
8,8,前10%,华东师范大学,,,419
9,9,前10%,中国地质大学（武汉）,,,223
10,10,前25%,河海大学,,,141
11,11,前25%,南京信息工程大学,,,136
12,12,前25%,陕西师范大学,,,119
13,16,前25%,河南大学,,,94
14,17,前25%,东北师范大学,,,88
15,18,前25%,西北大学,,,81
16,14,前25%,北京林业大学,,,78
16,15,前25%,华南师范大学,,,78
18,19,前25%,福建师范大学,,,69
19,20,前25%,中国人民大学,,,68
20,22,前25%,首都师范大学,,,61
21,23,前25%,中国海洋大学,,,51
22,,前25%,广州大学,,,47
23,21,前50%,安徽师范大学,,,44
24,38,前50%,江苏师范大学,,,43
24,29,前50%,云南大学,,,43
24,24,前50%,战略支援部队信息工程大学,,,43
27,27,前50%,中国矿业大学,,,42
28,26,前50%,河北师范大学,,,39
29,,前50%,福州大学,,,38
30,,前50%,华中师范大学,,,37
30,40,前50%,西南大学,,,37
32,32,前50%,辽宁师范大学,,,36
33,33,前50%,吉林大学,,,35
34,41,前50%,山东科技大学,,,32
34,31,前50%,山西大学,,,32
36,33,前50%,哈尔滨师范大学,,,29
36,28,前50%,江西师范大学,,,29
36,,前50%,长安大学,,,29
36,,前50%,中国矿业大学（北京）,,,29
40,29,前50%,新疆大学,,,28
41,33,前50%,贵州师范大学,,,27
41,,前50%,华南农业大学,,,27
41,38,前50%,西北师范大学,,,27
44,36,前50%,成都理工大学,,,26
44,41,前50%,云南师范大学,,,26
