排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,北京大学,,,1387
2,前1%,复旦大学,,,713
3,前5%,山东大学,,,638
4,前5%,中国科学技术大学,,,636
5,前5%,清华大学,,,572
6,前5%,中山大学,,,561
7,前5%,四川大学,,,560
8,前5%,浙江大学,,,528
9,前5%,西安交通大学,,,517
10,前5%,上海交通大学,,,455
11,前5%,南开大学,,,451
12,前5%,北京师范大学,,,441
13,前10%,华东师范大学,,,416
14,前10%,武汉大学,,,413
15,前10%,兰州大学,,,412
16,前10%,吉林大学,,,382
17,前10%,哈尔滨工业大学,,,364
18,前10%,首都师范大学,,,360
19,前10%,南京大学,,,341
20,前10%,厦门大学,,,325
21,前10%,北京航空航天大学,,,318
22,前10%,东南大学,,,315
23,前10%,大连理工大学,,,312
24,前10%,上海大学,,,305
25,前25%,重庆大学,,,284
26,前25%,同济大学,,,269
27,前25%,苏州大学,,,264
28,前25%,南京师范大学,,,250
29,前25%,华南师范大学,,,248
30,前25%,华中科技大学,,,233
30,前25%,中南大学,,,233
32,前25%,华中师范大学,,,229
33,前25%,东北师范大学,,,225
34,前25%,湖南大学,,,216
35,前25%,电子科技大学,,,214
36,前25%,天津大学,,,198
37,前25%,浙江师范大学,,,197
38,前25%,北京交通大学,,,192
39,前25%,华南理工大学,,,191
40,前25%,陕西师范大学,,,177
41,前25%,上海师范大学,,,172
42,前25%,南京航空航天大学,,,170
43,前25%,北京理工大学,,,166
44,前25%,郑州大学,,,161
45,前25%,西南大学,,,159
46,前25%,湘潭大学,,,156
46,前25%,扬州大学,,,156
48,前25%,江苏师范大学,,,148
49,前25%,湖南师范大学,,,143
50,前25%,广州大学,,,140
51,前25%,福州大学,,,139
52,前25%,曲阜师范大学,,,138
53,前25%,中国矿业大学,,,136
54,前25%,河南师范大学,,,132
54,前25%,西安电子科技大学,,,132
54,前25%,西北工业大学,,,132
57,前25%,新疆大学,,,130
58,前25%,重庆师范大学,,,126
59,前25%,华东理工大学,,,124
59,前25%,南京理工大学,,,124
61,前25%,山西大学,,,121
62,前50%,北京工业大学,,,118
62,前50%,天津工业大学,,,118
62,前50%,西北大学,,,118
65,前50%,河北师范大学,,,113
66,前50%,云南大学,,,111
67,前50%,福建师范大学,,,110
67,前50%,杭州电子科技大学,,,110
69,前50%,安徽大学,,,107
70,前50%,辽宁工业大学,,,105
71,前50%,浙江工业大学,,,104
72,前50%,上海财经大学,,,103
72,前50%,西南交通大学,,,103
74,前50%,河海大学,,,100
74,前50%,河南大学,,,100
76,前50%,江西师范大学,,,99
77,前50%,河南理工大学,,,98
77,前50%,西北师范大学,,,98
79,前50%,上海理工大学,,,97
80,前50%,中国人民大学,,,96
81,前50%,国防科学技术大学,,,95
82,前50%,贵州大学,,,94
83,前50%,东北大学,,,93
84,前50%,东华大学,,,92
85,前50%,江苏大学,,,91
86,前50%,北京邮电大学,,,89
87,前50%,四川师范大学,,,88
88,前50%,南京信息工程大学,,,87
88,前50%,西南财经大学,,,87
88,前50%,中国石油大学（华东）,,,87
91,前50%,杭州师范大学,,,86
92,前50%,华北电力大学,,,85
92,前50%,宁波大学,,,85
94,前50%,山东师范大学,,,83
94,前50%,太原理工大学,,,83
96,前50%,深圳大学,,,80
97,前50%,长沙理工大学,,,77
98,前50%,中国海洋大学,,,75
99,前50%,哈尔滨工程大学,,,73
99,前50%,河南科技大学,,,73
101,前50%,浙江理工大学,,,71
102,前50%,合肥工业大学,,,69
102,前50%,暨南大学,,,69
104,前50%,济南大学,,,67
104,前50%,烟台大学,,,67
106,前50%,安徽师范大学,,,66
107,前50%,华侨大学,,,65
107,前50%,江南大学,,,65
109,前50%,北京科技大学,,,63
110,前50%,南昌大学,,,61
111,前50%,温州大学,,,59
111,前50%,中北大学,,,59
113,前50%,山东科技大学,,,56
113,前50%,山东理工大学,,,56
115,前50%,广东工业大学,,,54
115,前50%,中国矿业大学（北京）,,,54
117,前50%,广西大学,,,53
117,前50%,中国农业大学,,,53
119,前50%,中国民航大学,,,51
120,前50%,湖北大学,,,50
120,前50%,南京邮电大学,,,50
120,前50%,汕头大学,,,50
120,前50%,天津理工大学,,,50
