2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,北京大学,,,1293
2,2,前1%,复旦大学,,,650
3,3,前5%,山东大学,,,625
4,4,前5%,中国科学技术大学,,,623
5,6,前5%,中山大学,,,609
6,5,前5%,清华大学,,,544
7,7,前5%,四川大学,,,512
8,8,前5%,浙江大学,,,494
9,9,前5%,西安交通大学,,,484
10,14,前5%,武汉大学,,,432
11,11,前5%,南开大学,,,424
11,10,前5%,上海交通大学,,,424
13,17,前5%,哈尔滨工业大学,,,394
14,19,前10%,南京大学,,,358
15,36,前10%,天津大学,,,354
16,13,前10%,华东师范大学,,,353
17,12,前10%,北京师范大学,,,348
18,16,前10%,吉林大学,,,326
19,18,前10%,首都师范大学,,,324
20,20,前10%,厦门大学,,,280
21,22,前10%,东南大学,,,278
22,23,前10%,大连理工大学,,,276
23,35,前10%,电子科技大学,,,265
23,24,前10%,上海大学,,,265
25,30,前10%,华中科技大学,,,258
26,21,前10%,北京航空航天大学,,,249
27,15,前25%,兰州大学,,,238
28,26,前25%,同济大学,,,237
29,25,前25%,重庆大学,,,234
30,28,前25%,南京师范大学,,,233
31,30,前25%,中南大学,,,228
32,27,前25%,苏州大学,,,220
33,39,前25%,华南理工大学,,,207
34,32,前25%,华中师范大学,,,203
35,34,前25%,湖南大学,,,201
36,37,前25%,浙江师范大学,,,190
37,38,前25%,北京交通大学,,,184
37,29,前25%,华南师范大学,,,184
39,42,前25%,南京航空航天大学,,,179
40,43,前25%,北京理工大学,,,173
40,54,前25%,西北工业大学,,,173
42,45,前25%,西南大学,,,158
43,40,前25%,陕西师范大学,,,153
44,41,前25%,上海师范大学,,,151
45,49,前25%,湖南师范大学,,,149
46,54,前25%,河南师范大学,,,144
46,48,前25%,江苏师范大学,,,144
48,33,前25%,东北师范大学,,,142
48,44,前25%,郑州大学,,,142
50,52,前25%,曲阜师范大学,,,139
51,61,前25%,山西大学,,,137
52,46,前25%,湘潭大学,,,132
53,67,前25%,杭州电子科技大学,,,129
54,53,前25%,中国矿业大学,,,128
55,54,前25%,西安电子科技大学,,,126
55,57,前25%,新疆大学,,,126
57,50,前25%,广州大学,,,122
57,59,前25%,南京理工大学,,,122
59,62,前25%,北京工业大学,,,118
59,62,前25%,西北大学,,,118
61,74,前25%,河海大学,,,117
62,83,前25%,东北大学,,,115
62,72,前25%,西南交通大学,,,115
62,58,前25%,重庆师范大学,,,115
65,46,前25%,扬州大学,,,111
66,51,前50%,福州大学,,,107
67,69,前50%,安徽大学,,,106
68,65,前50%,河北师范大学,,,105
68,59,前50%,华东理工大学,,,105
70,94,前50%,山东师范大学,,,103
70,62,前50%,天津工业大学,,,103
70,81,前50%,国防科学技术大学,,,103
73,67,前50%,福建师范大学,,,98
73,77,前50%,河南理工大学,,,98
75,86,前50%,北京邮电大学,,,97
75,,前50%,南方科技大学,,,97
75,96,前50%,深圳大学,,,97
75,71,前50%,浙江工业大学,,,97
79,74,前50%,河南大学,,,96
79,88,前50%,中国石油大学（华东）,,,96
81,79,前50%,上海理工大学,,,94
82,88,前50%,南京信息工程大学,,,90
82,77,前50%,西北师范大学,,,90
84,107,前50%,华侨大学,,,89
84,85,前50%,江苏大学,,,89
86,99,前50%,哈尔滨工程大学,,,87
87,101,前50%,浙江理工大学,,,86
87,80,前50%,中国人民大学,,,86
89,94,前50%,太原理工大学,,,85
90,87,前50%,四川师范大学,,,82
91,76,前50%,江西师范大学,,,78
91,88,前50%,西南财经大学,,,78
93,92,前50%,宁波大学,,,77
93,72,前50%,上海财经大学,,,77
95,107,前50%,江南大学,,,73
96,84,前50%,东华大学,,,72
97,102,前50%,合肥工业大学,,,71
97,110,前50%,南昌大学,,,71
97,98,前50%,中国海洋大学,,,71
100,109,前50%,北京科技大学,,,70
101,92,前50%,华北电力大学,,,67
102,113,前50%,山东科技大学,,,65
103,66,前50%,云南大学,,,64
104,120,前50%,汕头大学,,,62
105,102,前50%,暨南大学,,,60
106,91,前50%,杭州师范大学,,,59
106,97,前50%,长沙理工大学,,,59
106,,前50%,中央财经大学,,,59
109,104,前50%,济南大学,,,58
110,115,前50%,广东工业大学,,,57
110,113,前50%,山东理工大学,,,57
112,115,前50%,中国矿业大学（北京）,,,56
113,,前50%,中国地质大学（武汉）,,,55
114,117,前50%,广西大学,,,53
114,82,前50%,贵州大学,,,53
114,104,前50%,烟台大学,,,53
117,120,前50%,南京邮电大学,,,52
117,111,前50%,温州大学,,,52
119,99,前50%,河南科技大学,,,51
119,70,前50%,辽宁工业大学,,,51
119,,前50%,青岛大学,,,51
122,,前50%,武汉理工大学,,,50
123,119,前50%,中国民航大学,,,48
124,106,前50%,安徽师范大学,,,47
124,,前50%,南通大学,,,47
126,,前50%,哈尔滨师范大学,,,46
126,,前50%,信阳师范学院,,,46
128,,前50%,湖南科技大学,,,45
128,,前50%,重庆工商大学,,,45
130,,前50%,重庆邮电大学,,,44
131,,前50%,西南石油大学,,,43
