排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,中国科学技术大学,,,1490
2,前5%,北京大学,,,1056
3,前5%,清华大学,,,943
4,前5%,南京大学,,,825
5,前5%,上海交通大学,,,603
6,前5%,复旦大学,,,584
7,前5%,吉林大学,,,364
8,前5%,浙江大学,,,357
9,前10%,中山大学,,,305
10,前10%,山东大学,,,303
11,前10%,华中科技大学,,,300
12,前10%,苏州大学,,,242
13,前10%,哈尔滨工业大学,,,214
14,前10%,西安交通大学,,,212
15,前10%,南开大学,,,208
16,前10%,华东师范大学,,,195
17,前25%,兰州大学,,,193
18,前25%,四川大学,,,187
19,前25%,北京师范大学,,,184
20,前25%,华中师范大学,,,170
21,前25%,山西大学,,,169
22,前25%,武汉大学,,,160
23,前25%,大连理工大学,,,158
24,前25%,电子科技大学,,,156
25,前25%,北京航空航天大学,,,151
26,前25%,厦门大学,,,135
26,前25%,同济大学,,,135
28,前25%,东南大学,,,133
29,前25%,国防科学技术大学,,,127
30,前25%,华南师范大学,,,126
31,前25%,北京理工大学,,,102
31,前25%,上海大学,,,102
33,前25%,天津大学,,,99
34,前25%,中国人民大学,,,84
35,前25%,重庆大学,,,81
36,前25%,西北工业大学,,,80
37,前25%,华南理工大学,,,77
38,前25%,郑州大学,,,75
39,前25%,东北师范大学,,,74
40,前25%,河南师范大学,,,73
41,前25%,湖南大学,,,69
42,前25%,宁波大学,,,67
43,前50%,南京航空航天大学,,,64
43,前50%,南京理工大学,,,64
45,前50%,北京科技大学,,,61
46,前50%,北京邮电大学,,,59
46,前50%,深圳大学,,,59
48,前50%,北京工业大学,,,57
49,前50%,杭州师范大学,,,55
50,前50%,西安电子科技大学,,,54
51,前50%,陕西师范大学,,,53
52,前50%,哈尔滨工程大学,,,52
53,前50%,东北大学,,,48
53,前50%,中南大学,,,48
55,前50%,华东理工大学,,,47
55,前50%,南华大学,,,47
57,前50%,福州大学,,,46
57,前50%,华北电力大学,,,46
57,前50%,南京师范大学,,,46
57,前50%,湘潭大学,,,46
61,前50%,西北大学,,,44
62,前50%,北京交通大学,,,43
63,前50%,安徽大学,,,42
64,前50%,西南交通大学,,,41
65,前50%,湖南师范大学,,,39
65,前50%,南京邮电大学,,,39
67,前50%,太原理工大学,,,38
67,前50%,浙江师范大学,,,38
69,前50%,浙江工业大学,,,37
70,前50%,西南大学,,,35
71,前50%,上海理工大学,,,34
71,前50%,武汉理工大学,,,34
73,前50%,山东师范大学,,,33
74,前50%,云南大学,,,31
75,前50%,广西大学,,,30
75,前50%,河南科技大学,,,30
75,前50%,首都师范大学,,,30
75,前50%,燕山大学,,,30
79,前50%,合肥工业大学,,,29
80,前50%,广西师范大学,,,28
80,前50%,河北大学,,,28
80,前50%,河北师范大学,,,28
80,前50%,中国矿业大学,,,28
84,前50%,济南大学,,,26
84,前50%,辽宁大学,,,26
84,前50%,扬州大学,,,26
