2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,中国科学技术大学,,,1476
2,3,前5%,清华大学,,,980
3,2,前5%,北京大学,,,934
4,4,前5%,南京大学,,,768
5,5,前5%,上海交通大学,,,630
6,6,前5%,复旦大学,,,531
7,7,前5%,吉林大学,,,403
8,8,前5%,浙江大学,,,374
9,11,前5%,华中科技大学,,,346
10,9,前10%,中山大学,,,300
11,10,前10%,山东大学,,,274
12,15,前10%,南开大学,,,223
13,12,前10%,苏州大学,,,218
14,14,前10%,西安交通大学,,,217
15,25,前10%,北京航空航天大学,,,210
16,13,前10%,哈尔滨工业大学,,,206
17,20,前10%,华中师范大学,,,199
18,21,前10%,山西大学,,,193
19,16,前10%,华东师范大学,,,191
20,22,前25%,武汉大学,,,185
21,17,前25%,兰州大学,,,176
22,19,前25%,北京师范大学,,,171
23,24,前25%,电子科技大学,,,167
24,18,前25%,四川大学,,,159
25,23,前25%,大连理工大学,,,156
26,28,前25%,东南大学,,,151
27,26,前25%,同济大学,,,147
28,30,前25%,华南师范大学,,,137
29,33,前25%,天津大学,,,129
30,29,前25%,国防科学技术大学,,,125
31,26,前25%,厦门大学,,,121
32,31,前25%,北京理工大学,,,119
33,31,前25%,上海大学,,,104
34,46,前25%,深圳大学,,,103
35,36,前25%,西北工业大学,,,98
36,,前25%,南方科技大学,,,88
37,35,前25%,重庆大学,,,87
38,39,前25%,东北师范大学,,,82
38,37,前25%,华南理工大学,,,82
40,40,前25%,河南师范大学,,,78
41,41,前25%,湖南大学,,,77
41,38,前25%,郑州大学,,,77
43,48,前25%,北京工业大学,,,75
44,43,前25%,南京理工大学,,,72
45,34,前25%,中国人民大学,,,71
46,45,前25%,北京科技大学,,,65
46,46,前25%,北京邮电大学,,,65
48,53,前25%,中南大学,,,63
49,42,前50%,宁波大学,,,60
49,51,前50%,陕西师范大学,,,60
51,57,前50%,南京师范大学,,,59
51,65,前50%,南京邮电大学,,,59
53,65,前50%,湖南师范大学,,,57
53,50,前50%,西安电子科技大学,,,57
55,43,前50%,南京航空航天大学,,,55
56,61,前50%,西北大学,,,53
57,71,前50%,上海理工大学,,,50
58,55,前50%,华东理工大学,,,49
58,73,前50%,山东师范大学,,,49
58,69,前50%,浙江工业大学,,,49
61,49,前50%,杭州师范大学,,,48
61,64,前50%,西南交通大学,,,48
63,,前50%,江苏大学,,,47
64,53,前50%,东北大学,,,46
64,57,前50%,福州大学,,,46
64,71,前50%,武汉理工大学,,,46
67,70,前50%,西南大学,,,45
68,52,前50%,哈尔滨工程大学,,,44
69,63,前50%,安徽大学,,,43
69,62,前50%,北京交通大学,,,43
71,57,前50%,华北电力大学,,,41
71,57,前50%,湘潭大学,,,41
73,79,前50%,合肥工业大学,,,40
73,,前50%,上海科技大学,,,40
75,67,前50%,浙江师范大学,,,39
76,75,前50%,广西大学,,,38
76,67,前50%,太原理工大学,,,38
78,,前50%,杭州电子科技大学,,,37
78,75,前50%,河南科技大学,,,37
78,,前50%,暨南大学,,,37
81,55,前50%,南华大学,,,35
81,75,前50%,首都师范大学,,,35
81,80,前50%,中国矿业大学,,,35
84,84,前50%,扬州大学,,,34
85,,前50%,曲阜师范大学,,,33
86,74,前50%,云南大学,,,31
87,80,前50%,广西师范大学,,,30
87,84,前50%,济南大学,,,30
87,,前50%,南昌大学,,,30
87,75,前50%,燕山大学,,,30
91,80,前50%,河北大学,,,29
91,,前50%,湖北大学,,,29
93,,前50%,北京化工大学,,,28
94,,前50%,东华大学,,,27
94,,前50%,河北工业大学,,,27
94,,前50%,青岛大学,,,27
