排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,北京大学,,,1030
2,前5%,兰州大学,,,665
3,前5%,浙江大学,,,560
4,前5%,北京师范大学,,,487
5,前5%,中国农业大学,,,457
6,前10%,中山大学,,,447
7,前10%,南开大学,,,423
8,前10%,南京大学,,,413
9,前10%,清华大学,,,405
10,前10%,华东师范大学,,,400
11,前10%,复旦大学,,,384
12,前25%,河南大学,,,360
13,前25%,东北师范大学,,,273
13,前25%,厦门大学,,,273
15,前25%,东北林业大学,,,238
16,前25%,云南大学,,,235
17,前25%,北京林业大学,,,232
18,前25%,西北农林科技大学,,,224
19,前25%,内蒙古大学,,,223
20,前25%,南京农业大学,,,211
21,前25%,武汉大学,,,199
22,前25%,华中农业大学,,,188
23,前25%,沈阳农业大学,,,181
24,前25%,中国海洋大学,,,168
25,前25%,南京师范大学,,,161
26,前25%,杭州师范大学,,,128
27,前25%,上海交通大学,,,125
28,前25%,华南农业大学,,,121
29,前25%,河北大学,,,120
30,前50%,华中师范大学,,,114
31,前50%,西南大学,,,96
32,前50%,福建师范大学,,,93
33,前50%,四川大学,,,88
34,前50%,山东大学,,,83
35,前50%,西北大学,,,81
36,前50%,福建农林大学,,,76
37,前50%,首都师范大学,,,75
38,前50%,南京林业大学,,,73
39,前50%,南京信息工程大学,,,68
40,前50%,安徽师范大学,,,63
41,前50%,浙江农林大学,,,62
42,前50%,广西大学,,,59
43,前50%,华南师范大学,,,58
43,前50%,暨南大学,,,58
45,前50%,上海海洋大学,,,55
46,前50%,西华师范大学,,,54
46,前50%,西南林业大学,,,54
48,前50%,陕西师范大学,,,51
49,前50%,扬州大学,,,49
50,前50%,天津师范大学,,,48
51,前50%,黑龙江大学,,,46
52,前50%,湖北大学,,,44
52,前50%,山东农业大学,,,44
54,前50%,重庆师范大学,,,38
55,前50%,河南科技大学,,,36
56,前50%,南昌大学,,,35
56,前50%,中南林业科技大学,,,35
58,前50%,沈阳师范大学,,,34
