2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,北京大学,,,874
2,2,前5%,兰州大学,,,685
3,4,前5%,北京师范大学,,,616
4,9,前5%,清华大学,,,585
5,6,前5%,中山大学,,,496
6,10,前10%,华东师范大学,,,463
7,3,前10%,浙江大学,,,424
8,11,前10%,复旦大学,,,399
9,8,前10%,南京大学,,,382
10,5,前10%,中国农业大学,,,343
11,18,前10%,西北农林科技大学,,,305
12,7,前25%,南开大学,,,294
13,17,前25%,北京林业大学,,,275
14,12,前25%,河南大学,,,265
15,22,前25%,华中农业大学,,,259
16,13,前25%,东北师范大学,,,257
17,15,前25%,东北林业大学,,,226
18,20,前25%,南京农业大学,,,221
19,33,前25%,四川大学,,,198
20,13,前25%,厦门大学,,,195
21,21,前25%,武汉大学,,,193
22,23,前25%,沈阳农业大学,,,177
23,25,前25%,南京师范大学,,,164
24,43,前25%,暨南大学,,,161
25,24,前25%,中国海洋大学,,,149
26,16,前25%,云南大学,,,147
27,38,前25%,南京林业大学,,,142
28,26,前25%,杭州师范大学,,,135
29,19,前25%,内蒙古大学,,,130
30,32,前50%,福建师范大学,,,128
31,28,前50%,华南农业大学,,,126
32,29,前50%,河北大学,,,116
33,30,前50%,华中师范大学,,,113
34,36,前50%,福建农林大学,,,111
35,41,前50%,浙江农林大学,,,100
36,31,前50%,西南大学,,,90
37,35,前50%,西北大学,,,86
38,42,前50%,广西大学,,,84
39,37,前50%,首都师范大学,,,83
40,46,前50%,西华师范大学,,,64
41,48,前50%,陕西师范大学,,,63
42,39,前50%,南京信息工程大学,,,61
43,43,前50%,华南师范大学,,,59
44,34,前50%,山东大学,,,54
44,27,前50%,上海交通大学,,,54
44,49,前50%,扬州大学,,,54
47,46,前50%,西南林业大学,,,52
48,,前50%,江西师范大学,,,50
48,56,前50%,南昌大学,,,50
50,56,前50%,中南林业科技大学,,,47
51,,前50%,河南师范大学,,,46
51,,前50%,江苏大学,,,46
51,45,前50%,上海海洋大学,,,46
54,50,前50%,天津师范大学,,,45
55,,前50%,深圳大学,,,44
55,,前50%,西北工业大学,,,44
57,,前50%,安徽农业大学,,,41
57,,前50%,山西大学,,,41
