排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,北京大学,,,1168
2,前1%,复旦大学,,,1051
3,前5%,清华大学,,,874
4,前5%,上海交通大学,,,819
5,前5%,中山大学,,,794
6,前5%,武汉大学,,,742
7,前5%,浙江大学,,,707
8,前5%,北京协和医学院,,,701
9,前5%,华中农业大学,,,599
10,前5%,南京大学,,,504
11,前5%,中国农业大学,,,503
12,前10%,中国科学技术大学,,,443
13,前10%,厦门大学,,,418
14,前10%,华中科技大学,,,384
15,前10%,山东大学,,,380
16,前10%,第四军医大学,,,327
17,前10%,同济大学,,,315
18,前10%,四川大学,,,313
19,前10%,南开大学,,,239
20,前10%,南京医科大学,,,224
21,前10%,吉林大学,,,208
22,前10%,河南大学,,,199
23,前25%,南京农业大学,,,197
24,前25%,首都医科大学,,,195
25,前25%,苏州大学,,,194
26,前25%,第二军医大学,,,193
27,前25%,中南大学,,,182
28,前25%,南方医科大学,,,176
29,前25%,第三军医大学,,,172
30,前25%,西北农林科技大学,,,168
31,前25%,华南农业大学,,,157
32,前25%,中国医科大学,,,150
33,前25%,安徽医科大学,,,143
33,前25%,兰州大学,,,143
35,前25%,西安交通大学,,,142
36,前25%,北京师范大学,,,140
37,前25%,西南大学,,,133
38,前25%,哈尔滨医科大学,,,121
39,前25%,华东师范大学,,,116
40,前25%,天津医科大学,,,113
41,前25%,郑州大学,,,104
42,前25%,北京林业大学,,,102
43,前25%,重庆医科大学,,,100
44,前25%,东南大学,,,97
45,前25%,中国海洋大学,,,96
46,前25%,南京师范大学,,,94
46,前25%,温州医科大学,,,94
48,前25%,暨南大学,,,93
49,前25%,福建农林大学,,,89
50,前25%,山东农业大学,,,86
50,前25%,深圳大学,,,86
52,前25%,大连医科大学,,,84
53,前25%,杭州师范大学,,,82
54,前25%,东北农业大学,,,80
54,前25%,首都师范大学,,,80
56,前25%,四川农业大学,,,79
57,前25%,云南大学,,,77
58,前50%,江南大学,,,70
59,前50%,东北师范大学,,,68
60,前50%,天津大学,,,67
61,前50%,华南理工大学,,,66
61,前50%,青岛大学,,,66
63,前50%,广州医科大学,,,64
64,前50%,西北大学,,,58
65,前50%,河北师范大学,,,56
65,前50%,华东理工大学,,,56
65,前50%,华南师范大学,,,56
68,前50%,江苏大学,,,55
68,前50%,南昌大学,,,55
68,前50%,扬州大学,,,55
71,前50%,陕西师范大学,,,54
72,前50%,南通大学,,,52
73,前50%,福建医科大学,,,51
74,前50%,哈尔滨工业大学,,,48
75,前50%,广西医科大学,,,47
76,前50%,河北医科大学,,,46
76,前50%,华中师范大学,,,46
78,前50%,湖南师范大学,,,45
78,前50%,汕头大学,,,45
78,前50%,上海海洋大学,,,45
81,前50%,东北林业大学,,,42
81,前50%,河北大学,,,42
81,前50%,青岛农业大学,,,42
84,前50%,山西大学,,,38
85,前50%,河南科技大学,,,37
85,前50%,湖南农业大学,,,37
85,前50%,中国药科大学,,,37
88,前50%,河南农业大学,,,36
88,前50%,上海大学,,,36
90,前50%,电子科技大学,,,35
91,前50%,安徽大学,,,34
91,前50%,广东医科大学,,,34
91,前50%,广西大学,,,34
91,前50%,吉林农业大学,,,34
91,前50%,上海科技大学,,,34
91,前50%,新乡医学院,,,34
97,前50%,上海师范大学,,,33
97,前50%,重庆大学,,,33
99,前50%,大连理工大学,,,32
99,前50%,新疆医科大学,,,32
101,前50%,河南师范大学,,,31
101,前50%,昆明理工大学,,,31
103,前50%,湖北大学,,,30
103,前50%,南华大学,,,30
103,前50%,山东师范大学,,,30
103,前50%,徐州医科大学,,,30
107,前50%,贵州大学,,,29
107,前50%,天津科技大学,,,29
109,前50%,安徽农业大学,,,28
109,前50%,山西医科大学,,,28
111,前50%,合肥工业大学,,,25
111,前50%,宁波大学,,,25
111,前50%,沈阳药科大学,,,25
111,前50%,浙江农林大学,,,25
