2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,北京大学,,,1184
2,3,前1%,清华大学,,,1127
3,2,前5%,复旦大学,,,1099
4,4,前5%,上海交通大学,,,752
5,7,前5%,浙江大学,,,739
6,6,前5%,武汉大学,,,711
7,5,前5%,中山大学,,,700
8,8,前5%,北京协和医学院,,,662
9,9,前5%,华中农业大学,,,561
10,13,前5%,厦门大学,,,471
11,12,前5%,中国科学技术大学,,,463
12,11,前5%,中国农业大学,,,430
13,18,前10%,四川大学,,,372
14,17,前10%,同济大学,,,363
15,15,前10%,山东大学,,,359
16,10,前10%,南京大学,,,331
17,14,前10%,华中科技大学,,,305
18,33,前10%,兰州大学,,,303
19,19,前10%,南开大学,,,251
20,23,前10%,南京农业大学,,,230
21,20,前10%,南京医科大学,,,217
21,16,前10%,空军军医大学,,,217
23,24,前10%,首都医科大学,,,203
24,21,前10%,吉林大学,,,194
25,30,前25%,西北农林科技大学,,,184
26,27,前25%,中南大学,,,182
27,31,前25%,华南农业大学,,,181
28,25,前25%,苏州大学,,,180
29,26,前25%,海军军医大学,,,175
30,28,前25%,南方医科大学,,,170
31,29,前25%,陆军军医大学,,,149
32,35,前25%,西安交通大学,,,144
33,49,前25%,福建农林大学,,,137
34,48,前25%,暨南大学,,,131
34,37,前25%,西南大学,,,131
36,91,前25%,上海科技大学,,,122
36,32,前25%,中国医科大学,,,122
38,33,前25%,安徽医科大学,,,121
39,36,前25%,北京师范大学,,,118
40,38,前25%,哈尔滨医科大学,,,113
41,39,前25%,华东师范大学,,,110
42,40,前25%,天津医科大学,,,107
43,42,前25%,北京林业大学,,,104
43,45,前25%,中国海洋大学,,,104
45,50,前25%,深圳大学,,,103
45,56,前25%,四川农业大学,,,103
47,44,前25%,东南大学,,,99
48,41,前25%,郑州大学,,,97
49,46,前25%,南京师范大学,,,92
49,43,前25%,重庆医科大学,,,92
51,52,前25%,大连医科大学,,,87
52,57,前25%,云南大学,,,86
53,50,前25%,山东农业大学,,,85
53,46,前25%,温州医科大学,,,85
55,54,前25%,东北农业大学,,,84
56,63,前25%,广州医科大学,,,80
57,61,前25%,华南理工大学,,,77
58,61,前25%,青岛大学,,,76
59,58,前25%,江南大学,,,73
60,59,前25%,东北师范大学,,,71
61,60,前25%,天津大学,,,69
62,54,前50%,首都师范大学,,,68
63,68,前50%,南昌大学,,,67
64,65,前50%,华南师范大学,,,64
64,68,前50%,扬州大学,,,64
66,53,前50%,杭州师范大学,,,63
67,64,前50%,西北大学,,,62
68,90,前50%,电子科技大学,,,61
69,65,前50%,华东理工大学,,,60
70,101,前50%,昆明理工大学,,,59
70,71,前50%,陕西师范大学,,,59
72,65,前50%,河北师范大学,,,56
72,,前50%,南方科技大学,,,56
74,72,前50%,南通大学,,,55
75,85,前50%,中国药科大学,,,52
76,75,前50%,广西医科大学,,,51
76,22,前50%,河南大学,,,51
76,78,前50%,上海海洋大学,,,51
79,78,前50%,湖南师范大学,,,50
79,97,前50%,上海师范大学,,,50
81,74,前50%,哈尔滨工业大学,,,49
81,76,前50%,华中师范大学,,,49
81,68,前50%,江苏大学,,,49
84,81,前50%,青岛农业大学,,,46
84,84,前50%,山西大学,,,46
86,88,前50%,河南农业大学,,,44
86,99,前50%,新疆医科大学,,,44
88,78,前50%,汕头大学,,,43
89,73,前50%,福建医科大学,,,42
89,,前50%,济南大学,,,42
91,91,前50%,安徽大学,,,41
91,76,前50%,河北医科大学,,,41
91,111,前50%,浙江农林大学,,,41
94,81,前50%,河北大学,,,40
95,81,前50%,东北林业大学,,,39
95,85,前50%,河南科技大学,,,39
95,103,前50%,山东师范大学,,,39
98,97,前50%,重庆大学,,,35
99,91,前50%,广西大学,,,34
99,103,前50%,湖北大学,,,34
99,85,前50%,湖南农业大学,,,34
99,88,前50%,上海大学,,,34
99,103,前50%,徐州医科大学,,,34
104,91,前50%,新乡医学院,,,32
105,109,前50%,安徽农业大学,,,31
105,101,前50%,河南师范大学,,,31
105,91,前50%,吉林农业大学,,,31
108,107,前50%,贵州大学,,,30
109,99,前50%,大连理工大学,,,29
109,,前50%,湖南大学,,,29
109,109,前50%,山西医科大学,,,29
112,111,前50%,宁波大学,,,28
112,,前50%,石河子大学,,,28
114,,前50%,昆明医科大学,,,27
115,111,前50%,合肥工业大学,,,26
116,,前50%,南京中医药大学,,,25
116,,前50%,浙江理工大学,,,25
118,91,前50%,广东医科大学,,,24
118,,前50%,江西农业大学,,,24
118,111,前50%,沈阳药科大学,,,24
118,107,前50%,天津科技大学,,,24
118,,前50%,西北工业大学,,,24
123,,前50%,安徽师范大学,,,22
123,103,前50%,南华大学,,,22
123,,前50%,内蒙古医科大学,,,22
123,,前50%,浙江工业大学,,,22
