排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,北京师范大学,,,489
2,前5%,上海财经大学,,,480
3,前5%,北京大学,,,477
4,前5%,东北师范大学,,,461
5,前5%,南开大学,,,429
6,前5%,中国人民大学,,,382
7,前10%,东北财经大学,,,356
8,前10%,厦门大学,,,320
9,前10%,浙江工商大学,,,312
10,前10%,湖南大学,,,308
11,前10%,暨南大学,,,264
12,前10%,中南财经政法大学,,,263
13,前10%,广州大学,,,254
14,前25%,江西财经大学,,,237
15,前25%,中央财经大学,,,228
16,前25%,复旦大学,,,217
16,前25%,清华大学,,,217
18,前25%,华东师范大学,,,213
19,前25%,浙江财经大学,,,204
20,前25%,山西财经大学,,,171
21,前25%,中国科学技术大学,,,155
22,前25%,中南大学,,,154
23,前25%,中山大学,,,152
24,前25%,安徽财经大学,,,147
25,前25%,南京财经大学,,,139
26,前25%,南京师范大学,,,125
27,前25%,武汉大学,,,121
28,前25%,首都经济贸易大学,,,114
29,前25%,北京工商大学,,,112
30,前25%,上海交通大学,,,102
31,前25%,对外经济贸易大学,,,101
32,前25%,西北大学,,,100
33,前25%,山东大学,,,97
34,前25%,兰州财经大学,,,92
35,前50%,华中师范大学,,,91
36,前50%,湖南师范大学,,,84
37,前50%,北京理工大学,,,80
38,前50%,重庆工商大学,,,75
39,前50%,苏州大学,,,74
40,前50%,北京工业大学,,,72
40,前50%,南昌大学,,,72
40,前50%,云南财经大学,,,72
43,前50%,河南大学,,,71
44,前50%,河北大学,,,66
45,前50%,成都信息工程大学,,,63
45,前50%,新疆财经大学,,,63
47,前50%,东南大学,,,62
48,前50%,首都师范大学,,,58
48,前50%,西安财经学院,,,58
50,前50%,重庆大学,,,55
51,前50%,四川大学,,,52
52,前50%,北京交通大学,,,51
53,前50%,吉林大学,,,50
54,前50%,广东财经大学,,,49
54,前50%,华中科技大学,,,49
54,前50%,天津工业大学,,,49
57,前50%,江苏师范大学,,,48
58,前50%,西安交通大学,,,47
59,前50%,云南大学,,,46
60,前50%,南京理工大学,,,45
61,前50%,南京大学,,,44
62,前50%,河北经贸大学,,,43
63,前50%,杭州电子科技大学,,,38
64,前50%,西北师范大学,,,37
65,前50%,哈尔滨工业大学,,,35
66,前50%,华侨大学,,,34
66,前50%,上海大学,,,34
68,前50%,福建师范大学,,,33
69,前50%,北京航空航天大学,,,32
