2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,3,前1%,北京大学,,,774
2,1,前5%,北京师范大学,,,674
3,6,前5%,中国人民大学,,,661
4,4,前5%,东北师范大学,,,626
5,13,前5%,广州大学,,,605
6,2,前5%,上海财经大学,,,551
7,5,前10%,南开大学,,,532
8,9,前10%,浙江工商大学,,,444
9,18,前10%,华东师范大学,,,409
10,8,前10%,厦门大学,,,380
11,7,前10%,东北财经大学,,,338
12,16,前10%,复旦大学,,,333
13,19,前10%,浙江财经大学,,,328
14,12,前25%,中南财经政法大学,,,327
15,35,前25%,华中师范大学,,,320
16,,前25%,西南财经大学,,,310
17,15,前25%,中央财经大学,,,296
18,21,前25%,中国科学技术大学,,,285
19,16,前25%,清华大学,,,264
20,14,前25%,江西财经大学,,,263
21,10,前25%,湖南大学,,,236
21,30,前25%,上海交通大学,,,236
23,23,前25%,中山大学,,,233
24,11,前25%,暨南大学,,,224
25,28,前25%,首都经济贸易大学,,,200
26,27,前25%,武汉大学,,,184
27,22,前25%,中南大学,,,173
28,59,前25%,云南大学,,,162
29,40,前25%,北京工业大学,,,160
30,47,前25%,东南大学,,,154
30,53,前25%,吉林大学,,,154
32,20,前25%,山西财经大学,,,141
33,26,前25%,南京师范大学,,,132
34,58,前25%,西安交通大学,,,121
35,29,前50%,北京工商大学,,,117
35,,前50%,上海对外经贸大学,,,117
37,33,前50%,山东大学,,,112
38,31,前50%,对外经济贸易大学,,,110
38,39,前50%,苏州大学,,,110
40,48,前50%,首都师范大学,,,106
41,57,前50%,江苏师范大学,,,104
42,,前50%,深圳大学,,,99
43,68,前50%,福建师范大学,,,95
43,51,前50%,四川大学,,,95
45,,前50%,安徽大学,,,92
46,34,前50%,兰州财经大学,,,91
46,,前50%,曲阜师范大学,,,91
48,37,前50%,北京理工大学,,,90
49,69,前50%,北京航空航天大学,,,86
50,25,前50%,南京财经大学,,,83
51,,前50%,南京审计大学,,,82
52,,前50%,长春工业大学,,,81
53,54,前50%,华中科技大学,,,75
54,65,前50%,哈尔滨工业大学,,,73
55,24,前50%,安徽财经大学,,,72
56,63,前50%,杭州电子科技大学,,,70
56,36,前50%,湖南师范大学,,,70
56,32,前50%,西北大学,,,70
59,48,前50%,西安财经大学,,,69
60,50,前50%,重庆大学,,,67
61,,前50%,广西师范大学,,,66
62,43,前50%,河南大学,,,65
63,,前50%,电子科技大学,,,63
64,40,前50%,南昌大学,,,61
65,38,前50%,重庆工商大学,,,58
66,60,前50%,南京理工大学,,,55
67,,前50%,西南大学,,,53
68,40,前50%,云南财经大学,,,51
69,52,前50%,北京交通大学,,,47
