排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,中国人民大学,,,1040
2,前1%,清华大学,,,890
3,前5%,北京师范大学,,,595
4,前5%,北京大学,,,563
4,前5%,浙江大学,,,563
6,前5%,南京大学,,,542
7,前5%,南京农业大学,,,500
8,前5%,华中科技大学,,,437
9,前5%,复旦大学,,,408
10,前5%,西安交通大学,,,391
10,前5%,中山大学,,,391
12,前10%,上海交通大学,,,353
13,前10%,华中师范大学,,,276
14,前10%,武汉大学,,,267
15,前10%,南开大学,,,203
16,前10%,厦门大学,,,189
17,前10%,四川大学,,,188
18,前10%,中国矿业大学,,,174
19,前10%,北京理工大学,,,167
20,前10%,山东大学,,,165
21,前10%,上海财经大学,,,162
22,前25%,中国农业大学,,,155
23,前25%,吉林大学,,,149
24,前25%,中央财经大学,,,136
25,前25%,华东师范大学,,,127
26,前25%,中南大学,,,122
27,前25%,华中农业大学,,,119
28,前25%,同济大学,,,117
29,前25%,暨南大学,,,115
30,前25%,哈尔滨工业大学,,,114
30,前25%,兰州大学,,,114
32,前25%,大连理工大学,,,112
32,前25%,中南财经政法大学,,,112
34,前25%,天津大学,,,111
35,前25%,江苏大学,,,97
35,前25%,南京师范大学,,,97
37,前25%,第二军医大学,,,96
38,前25%,西南财经大学,,,95
39,前25%,哈尔滨医科大学,,,94
40,前25%,河海大学,,,90
41,前25%,东北大学,,,88
42,前25%,华南理工大学,,,86
43,前25%,北京航空航天大学,,,85
43,前25%,湖南大学,,,85
45,前25%,苏州大学,,,81
46,前25%,首都医科大学,,,77
47,前25%,中国地质大学（武汉）,,,73
48,前25%,南京航空航天大学,,,66
49,前25%,浙江工商大学,,,64
49,前25%,重庆大学,,,64
51,前25%,中国政法大学,,,63
52,前25%,华东理工大学,,,61
53,前25%,北京交通大学,,,60
53,前25%,浙江财经大学,,,60
55,前50%,对外经济贸易大学,,,59
56,前50%,安徽医科大学,,,57
56,前50%,浙江工业大学,,,57
58,前50%,上海大学,,,55
59,前50%,江西财经大学,,,54
59,前50%,西北农林科技大学,,,54
59,前50%,西南大学,,,54
62,前50%,首都经济贸易大学,,,50
62,前50%,湘潭大学,,,50
64,前50%,北京化工大学,,,46
65,前50%,北京协和医学院,,,45
65,前50%,广州大学,,,45
65,前50%,中国地质大学（北京）,,,45
68,前50%,南京医科大学,,,44
69,前50%,华南农业大学,,,41
70,前50%,西南交通大学,,,40
71,前50%,东北财经大学,,,39
71,前50%,福州大学,,,39
73,前50%,北京林业大学,,,38
73,前50%,华北电力大学,,,38
75,前50%,西北大学,,,37
76,前50%,南昌大学,,,36
77,前50%,东北师范大学,,,35
77,前50%,东南大学,,,35
77,前50%,华东政法大学,,,35
77,前50%,山西医科大学,,,35
77,前50%,中南民族大学,,,35
82,前50%,湖南农业大学,,,33
82,前50%,首都师范大学,,,33
82,前50%,中央民族大学,,,33
85,前50%,电子科技大学,,,32
85,前50%,华南师范大学,,,32
87,前50%,江苏师范大学,,,31
87,前50%,西北工业大学,,,31
89,前50%,南京工业大学,,,30
89,前50%,山西大学,,,30
91,前50%,北京科技大学,,,29
92,前50%,哈尔滨工程大学,,,28
92,前50%,华侨大学,,,28
92,前50%,武汉理工大学,,,28
92,前50%,郑州大学,,,28
96,前50%,上海师范大学,,,27
96,前50%,中国医科大学,,,27
98,前50%,河南大学,,,26
99,前50%,辽宁大学,,,25
100,前50%,湖南师范大学,,,24
100,前50%,内蒙古大学,,,24
100,前50%,云南大学,,,24
100,前50%,中国海洋大学,,,24
104,前50%,杭州师范大学,,,23
104,前50%,陕西师范大学,,,23
104,前50%,西南政法大学,,,23
104,前50%,中国矿业大学（北京）,,,23
