2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,中国人民大学,,,1062
2,2,前1%,清华大学,,,949
3,4,前5%,浙江大学,,,748
4,4,前5%,北京大学,,,603
5,3,前5%,北京师范大学,,,597
6,7,前5%,南京农业大学,,,523
7,8,前5%,华中科技大学,,,457
8,9,前5%,复旦大学,,,450
9,10,前5%,西安交通大学,,,438
10,6,前5%,南京大学,,,420
11,12,前5%,上海交通大学,,,417
12,10,前10%,中山大学,,,397
13,17,前10%,四川大学,,,275
14,14,前10%,武汉大学,,,268
15,13,前10%,华中师范大学,,,255
16,18,前10%,中国矿业大学,,,219
17,16,前10%,厦门大学,,,209
18,20,前10%,山东大学,,,202
19,15,前10%,南开大学,,,172
20,21,前10%,上海财经大学,,,171
21,39,前10%,哈尔滨医科大学,,,167
22,24,前10%,中央财经大学,,,162
23,27,前25%,华中农业大学,,,153
24,38,前25%,西南财经大学,,,146
25,23,前25%,吉林大学,,,142
25,29,前25%,暨南大学,,,142
27,28,前25%,同济大学,,,135
28,25,前25%,华东师范大学,,,131
28,32,前25%,中南财经政法大学,,,131
28,26,前25%,中南大学,,,131
31,34,前25%,天津大学,,,128
32,30,前25%,兰州大学,,,117
33,22,前25%,中国农业大学,,,116
34,30,前25%,哈尔滨工业大学,,,115
35,41,前25%,东北大学,,,112
36,42,前25%,华南理工大学,,,110
37,19,前25%,北京理工大学,,,108
38,35,前25%,南京师范大学,,,104
39,35,前25%,江苏大学,,,96
40,32,前25%,大连理工大学,,,94
41,53,前25%,浙江财经大学,,,93
42,45,前25%,苏州大学,,,92
43,59,前25%,西南大学,,,90
44,92,前25%,郑州大学,,,86
45,43,前25%,北京航空航天大学,,,83
46,43,前25%,湖南大学,,,81
46,37,前25%,海军军医大学,,,81
48,55,前25%,对外经济贸易大学,,,79
49,46,前25%,首都医科大学,,,77
50,65,前25%,广州大学,,,76
50,68,前25%,南京医科大学,,,76
52,47,前25%,中国地质大学（武汉）,,,75
53,56,前25%,安徽医科大学,,,70
54,49,前25%,浙江工商大学,,,68
55,49,前25%,重庆大学,,,66
56,62,前50%,湘潭大学,,,64
57,62,前50%,首都经济贸易大学,,,61
58,71,前50%,东北财经大学,,,59
59,40,前50%,河海大学,,,57
60,56,前50%,浙江工业大学,,,56
61,52,前50%,华东理工大学,,,55
61,,前50%,深圳大学,,,55
63,48,前50%,南京航空航天大学,,,54
64,104,前50%,陕西师范大学,,,53
65,65,前50%,北京协和医学院,,,51
65,51,前50%,中国政法大学,,,51
67,58,前50%,上海大学,,,50
68,69,前50%,华南农业大学,,,49
68,,前50%,温州医科大学,,,49
70,,前50%,宁波大学,,,48
70,65,前50%,中国地质大学（北京）,,,48
72,104,前50%,杭州师范大学,,,46
73,82,前50%,首都师范大学,,,45
74,75,前50%,西北大学,,,43
74,82,前50%,中央民族大学,,,43
76,77,前50%,华东政法大学,,,42
77,89,前50%,山西大学,,,41
78,59,前50%,江西财经大学,,,40
78,,前50%,中国石油大学（北京）,,,40
80,82,前50%,湖南农业大学,,,39
80,77,前50%,中南民族大学,,,39
82,,前50%,天津医科大学,,,38
82,96,前50%,中国医科大学,,,38
84,73,前50%,北京林业大学,,,37
84,100,前50%,中国海洋大学,,,37
86,91,前50%,北京科技大学,,,36
86,85,前50%,电子科技大学,,,36
86,73,前50%,华北电力大学,,,36
89,,前50%,广西大学,,,35
89,70,前50%,西南交通大学,,,35
89,,前50%,中国科学技术大学,,,35
92,77,前50%,东南大学,,,33
93,77,前50%,东北师范大学,,,32
93,85,前50%,华南师范大学,,,32
93,,前50%,江西师范大学,,,32
93,,前50%,南京审计大学,,,32
93,,前50%,山东师范大学,,,32
93,87,前50%,西北工业大学,,,32
93,104,前50%,中国矿业大学（北京）,,,32
100,,前50%,山东财经大学,,,31
101,87,前50%,江苏师范大学,,,29
102,98,前50%,河南大学,,,28
102,76,前50%,南昌大学,,,28
102,96,前50%,上海师范大学,,,28
105,92,前50%,华侨大学,,,27
105,,前50%,南通大学,,,27
107,,前50%,南方医科大学,,,26
107,89,前50%,南京工业大学,,,26
109,100,前50%,湖南师范大学,,,25
109,,前50%,山东工商学院,,,25
109,104,前50%,西南政法大学,,,25
