排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,南京农业大学,,,827
2,前5%,中国人民大学,,,772
3,前10%,华南农业大学,,,637
4,前10%,浙江大学,,,625
5,前10%,华中农业大学,,,550
6,前25%,中国农业大学,,,476
7,前25%,西北农林科技大学,,,410
8,前25%,南京林业大学,,,342
9,前25%,北京林业大学,,,303
9,前25%,中南财经政法大学,,,303
11,前25%,西南大学,,,296
12,前25%,福建农林大学,,,253
13,前25%,沈阳农业大学,,,214
14,前50%,西南财经大学,,,196
15,前50%,河南农业大学,,,136
16,前50%,四川农业大学,,,115
17,前50%,中国海洋大学,,,100
18,前50%,湖南农业大学,,,86
19,前50%,江西农业大学,,,63
20,前50%,贵州大学,,,62
21,前50%,上海财经大学,,,58
22,前50%,东北农业大学,,,53
23,前50%,东北林业大学,,,52
24,前50%,长江大学,,,50
25,前50%,浙江农林大学,,,34
26,前50%,内蒙古农业大学,,,33
