2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,南京农业大学,,,904
2,2,前5%,中国人民大学,,,627
3,4,前10%,浙江大学,,,581
4,5,前10%,华中农业大学,,,507
5,3,前10%,华南农业大学,,,503
6,6,前25%,中国农业大学,,,487
7,7,前25%,西北农林科技大学,,,424
8,11,前25%,西南大学,,,358
9,8,前25%,南京林业大学,,,283
10,9,前25%,北京林业大学,,,269
11,12,前25%,福建农林大学,,,232
12,9,前25%,中南财经政法大学,,,190
13,14,前25%,西南财经大学,,,188
14,13,前50%,沈阳农业大学,,,154
15,15,前50%,河南农业大学,,,137
16,18,前50%,湖南农业大学,,,82
17,25,前50%,浙江农林大学,,,81
18,16,前50%,四川农业大学,,,67
19,20,前50%,贵州大学,,,59
20,22,前50%,东北农业大学,,,56
21,,前50%,陕西师范大学,,,53
22,17,前50%,中国海洋大学,,,51
23,21,前50%,上海财经大学,,,50
24,19,前50%,江西农业大学,,,37
25,23,前50%,东北林业大学,,,35
26,,前50%,山东农业大学,,,32
