排名,百分位段,院校名称*,博士点,重点学科,总分
1,前5%,武汉大学,,,1258
2,前5%,南京大学,,,785
3,前5%,中国人民大学,,,635
4,前10%,北京大学,,,473
5,前10%,南开大学,,,349
6,前10%,华中师范大学,,,235
7,前25%,中山大学,,,224
8,前25%,上海大学,,,185
9,前25%,吉林大学,,,141
10,前25%,黑龙江大学,,,118
11,前25%,湘潭大学,,,106
12,前25%,郑州大学,,,101
13,前25%,南京农业大学,,,98
13,前25%,四川大学,,,98
15,前25%,华东师范大学,,,91
16,前50%,安徽大学,,,90
16,前50%,华南师范大学,,,90
18,前50%,山西大学,,,88
19,前50%,天津师范大学,,,84
20,前50%,北京师范大学,,,74
21,前50%,南京政治学院,,,72
22,前50%,苏州大学,,,62
23,前50%,河北大学,,,59
24,前50%,南京理工大学,,,58
24,前50%,西安电子科技大学,,,58
26,前50%,东南大学,,,55
27,前50%,东北师范大学,,,54
28,前50%,郑州航空工业管理学院,,,50
29,前50%,山东大学,,,48
30,前50%,江苏大学,,,46
30,前50%,山东理工大学,,,46
