2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前5%,武汉大学,,,1345
2,2,前5%,南京大学,,,753
3,3,前10%,中国人民大学,,,591
4,4,前10%,北京大学,,,411
5,5,前10%,南开大学,,,315
6,7,前25%,中山大学,,,265
7,6,前25%,华中师范大学,,,236
8,8,前25%,上海大学,,,166
9,9,前25%,吉林大学,,,146
10,13,前25%,四川大学,,,112
11,12,前25%,郑州大学,,,108
12,15,前25%,华东师范大学,,,101
13,20,前25%,北京师范大学,,,100
14,16,前25%,安徽大学,,,95
15,24,前50%,南京理工大学,,,94
15,11,前50%,湘潭大学,,,94
17,16,前50%,华南师范大学,,,92
18,10,前50%,黑龙江大学,,,82
19,13,前50%,南京农业大学,,,81
20,23,前50%,河北大学,,,77
21,18,前50%,山西大学,,,76
22,28,前50%,郑州航空工业管理学院,,,63
23,19,前50%,天津师范大学,,,58
24,26,前50%,东南大学,,,55
25,29,前50%,山东大学,,,50
26,27,前50%,东北师范大学,,,45
26,30,前50%,江苏大学,,,45
28,24,前50%,西安电子科技大学,,,44
