排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,上海交通大学,,,959
2,前1%,清华大学,,,897
3,前1%,中山大学,,,810
4,前5%,中国人民大学,,,785
5,前5%,北京大学,,,765
6,前5%,南京大学,,,580
7,前5%,复旦大学,,,558
7,前5%,西安交通大学,,,558
9,前5%,南开大学,,,507
10,前5%,浙江大学,,,498
11,前5%,上海财经大学,,,496
12,前5%,厦门大学,,,467
13,前5%,武汉大学,,,413
14,前5%,对外经济贸易大学,,,402
15,前5%,西南财经大学,,,356
16,前10%,中南大学,,,352
17,前10%,华中科技大学,,,349
18,前10%,电子科技大学,,,321
18,前10%,重庆大学,,,321
20,前10%,大连理工大学,,,312
21,前10%,山东大学,,,301
22,前10%,中央财经大学,,,291
23,前10%,天津大学,,,279
23,前10%,中南财经政法大学,,,279
25,前10%,华南理工大学,,,274
26,前10%,东北财经大学,,,250
27,前10%,浙江工业大学,,,245
28,前10%,四川大学,,,241
29,前10%,湖南大学,,,237
30,前10%,北京交通大学,,,222
31,前25%,浙江工商大学,,,220
32,前25%,吉林大学,,,206
33,前25%,同济大学,,,204
34,前25%,哈尔滨工业大学,,,190
35,前25%,暨南大学,,,184
36,前25%,首都经济贸易大学,,,171
37,前25%,湖南商学院,,,149
38,前25%,天津财经大学,,,147
39,前25%,江西财经大学,,,144
40,前25%,河海大学,,,130
41,前25%,武汉理工大学,,,129
42,前25%,上海大学,,,117
43,前25%,北京航空航天大学,,,115
44,前25%,东南大学,,,111
45,前25%,北京工商大学,,,108
45,前25%,西南交通大学,,,108
47,前25%,北京理工大学,,,104
48,前25%,东北大学,,,102
48,前25%,西安理工大学,,,102
50,前25%,山东财经大学,,,101
51,前25%,北京师范大学,,,100
51,前25%,南京审计大学,,,100
53,前25%,中国海洋大学,,,98
54,前25%,华东理工大学,,,97
55,前25%,华东师范大学,,,94
55,前25%,南京财经大学,,,94
57,前25%,长沙理工大学,,,90
58,前25%,华北电力大学,,,89
59,前25%,安徽财经大学,,,86
60,前25%,中国科学技术大学,,,79
61,前25%,哈尔滨工程大学,,,78
62,前25%,浙江财经大学,,,77
63,前25%,深圳大学,,,74
64,前25%,苏州大学,,,67
65,前25%,广东外语外贸大学,,,65
65,前25%,西北工业大学,,,65
67,前25%,华侨大学,,,64
68,前25%,福州大学,,,62
69,前25%,广东财经大学,,,61
70,前25%,广东工业大学,,,58
71,前25%,北京科技大学,,,57
71,前25%,汕头大学,,,57
73,前25%,安徽大学,,,56
73,前25%,华中农业大学,,,56
75,前25%,天津理工大学,,,55
75,前25%,中国矿业大学,,,55
77,前50%,哈尔滨理工大学,,,54
77,前50%,杭州电子科技大学,,,54
77,前50%,南京航空航天大学,,,54
80,前50%,兰州大学,,,53
80,前50%,武汉纺织大学,,,53
82,前50%,华中师范大学,,,52
82,前50%,济南大学,,,52
84,前50%,北京第二外国语学院,,,49
84,前50%,浙江理工大学,,,49
86,前50%,江苏大学,,,48
86,前50%,西北大学,,,48
86,前50%,重庆工商大学,,,48
89,前50%,上海海事大学,,,47
90,前50%,重庆理工大学,,,44
91,前50%,上海对外经贸大学,,,43
91,前50%,中国石油大学（北京）,,,43
93,前50%,大连海事大学,,,42
93,前50%,合肥工业大学,,,42
95,前50%,广州大学,,,40
95,前50%,华南师范大学,,,40
95,前50%,南京师范大学,,,40
98,前50%,南京理工大学,,,39
98,前50%,浙江师范大学,,,39
100,前50%,东华大学,,,38
100,前50%,江苏科技大学,,,38
100,前50%,石河子大学,,,38
100,前50%,四川师范大学,,,38
104,前50%,宁波大学,,,37
105,前50%,北京联合大学,,,36
105,前50%,陕西师范大学,,,36
107,前50%,北京邮电大学,,,35
108,前50%,河南大学,,,34
108,前50%,山东工商学院,,,34
110,前50%,河南财经政法大学,,,33
110,前50%,西安电子科技大学,,,33
110,前50%,西南政法大学,,,33
113,前50%,安徽工业大学,,,32
113,前50%,吉林财经大学,,,32
113,前50%,中国地质大学（武汉）,,,32
116,前50%,北京化工大学,,,28
116,前50%,湖南师范大学,,,28
116,前50%,辽宁大学,,,28
116,前50%,沈阳工业大学,,,28
120,前50%,广西师范大学,,,27
120,前50%,湖北大学,,,27
122,前50%,北京林业大学,,,26
122,前50%,河北经贸大学,,,26
122,前50%,华南农业大学,,,26
122,前50%,云南财经大学,,,26
126,前50%,青岛大学,,,25
126,前50%,湘潭大学,,,25
128,前50%,江南大学,,,24
128,前50%,山西财经大学,,,24
128,前50%,郑州大学,,,24
131,前50%,常州大学,,,23
131,前50%,海南大学,,,23
131,前50%,南昌大学,,,23
131,前50%,天津工业大学,,,23
131,前50%,燕山大学,,,23
131,前50%,中南民族大学,,,23
137,前50%,上海理工大学,,,22
137,前50%,西南大学,,,22
139,前50%,北方工业大学,,,21
139,前50%,北京工业大学,,,21
139,前50%,上海师范大学,,,21
142,前50%,河南科技大学,,,20
142,前50%,沈阳航空航天大学,,,20
142,前50%,云南大学,,,20
142,前50%,重庆交通大学,,,20
146,前50%,福建师范大学,,,19
146,前50%,天津商业大学,,,19
148,前50%,安徽师范大学,,,18
148,前50%,南京工业大学,,,18
148,前50%,南京信息工程大学,,,18
148,前50%,新疆财经大学,,,18
152,前50%,广西大学,,,17
152,前50%,哈尔滨商业大学,,,17
152,前50%,湖南科技大学,,,17
152,前50%,吉首大学,,,17
152,前50%,内蒙古大学,,,17
152,前50%,西南民族大学,,,17
152,前50%,郑州航空工业管理学院,,,17
