2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,上海交通大学,,,942
2,3,前1%,中山大学,,,821
3,2,前1%,清华大学,,,710
4,4,前5%,中国人民大学,,,676
5,5,前5%,北京大学,,,675
6,6,前5%,南京大学,,,590
7,7,前5%,西安交通大学,,,536
8,9,前5%,南开大学,,,517
9,12,前5%,厦门大学,,,515
10,14,前5%,对外经济贸易大学,,,500
11,11,前5%,上海财经大学,,,475
12,13,前5%,武汉大学,,,448
13,10,前5%,浙江大学,,,447
14,7,前5%,复旦大学,,,413
15,20,前5%,大连理工大学,,,366
16,16,前10%,中南大学,,,329
17,17,前10%,华中科技大学,,,326
18,18,前10%,重庆大学,,,318
19,15,前10%,西南财经大学,,,315
20,21,前10%,山东大学,,,311
21,23,前10%,中南财经政法大学,,,295
22,23,前10%,天津大学,,,293
22,22,前10%,中央财经大学,,,293
24,25,前10%,华南理工大学,,,283
25,26,前10%,东北财经大学,,,273
26,28,前10%,四川大学,,,251
27,27,前10%,浙江工业大学,,,249
28,33,前10%,同济大学,,,246
29,30,前10%,北京交通大学,,,241
30,35,前10%,暨南大学,,,233
31,31,前10%,浙江工商大学,,,230
32,32,前25%,吉林大学,,,217
33,29,前25%,湖南大学,,,212
34,18,前25%,电子科技大学,,,198
35,38,前25%,天津财经大学,,,181
36,36,前25%,首都经济贸易大学,,,172
37,34,前25%,哈尔滨工业大学,,,170
38,39,前25%,江西财经大学,,,144
39,45,前25%,西南交通大学,,,138
40,47,前25%,北京理工大学,,,137
41,40,前25%,河海大学,,,134
42,42,前25%,上海大学,,,133
43,50,前25%,山东财经大学,,,128
43,41,前25%,武汉理工大学,,,128
45,44,前25%,东南大学,,,126
46,45,前25%,北京工商大学,,,124
47,55,前25%,南京财经大学,,,119
48,53,前25%,中国海洋大学,,,113
49,48,前25%,东北大学,,,111
50,48,前25%,西安理工大学,,,108
51,51,前25%,南京审计大学,,,107
52,59,前25%,安徽财经大学,,,106
52,54,前25%,华东理工大学,,,106
54,60,前25%,中国科学技术大学,,,102
55,131,前25%,常州大学,,,100
56,43,前25%,北京航空航天大学,,,97
56,58,前25%,华北电力大学,,,97
56,55,前25%,华东师范大学,,,97
56,64,前25%,苏州大学,,,97
60,51,前25%,北京师范大学,,,96
61,63,前25%,深圳大学,,,94
62,67,前25%,华侨大学,,,91
63,68,前25%,福州大学,,,83
64,62,前25%,浙江财经大学,,,82
65,91,前25%,上海对外经贸大学,,,80
66,75,前25%,天津理工大学,,,75
67,61,前25%,哈尔滨工程大学,,,74
68,95,前25%,广州大学,,,70
69,57,前25%,长沙理工大学,,,69
70,82,前25%,济南大学,,,68
70,65,前25%,西北工业大学,,,68
72,70,前25%,广东工业大学,,,67
72,77,前25%,杭州电子科技大学,,,67
72,93,前25%,合肥工业大学,,,67
72,86,前25%,重庆工商大学,,,67
76,86,前25%,江苏大学,,,63
77,69,前25%,广东财经大学,,,62
78,86,前25%,西北大学,,,61
79,75,前50%,中国矿业大学,,,60
80,73,前50%,安徽大学,,,59
80,80,前50%,武汉纺织大学,,,59
82,71,前50%,北京科技大学,,,56
82,65,前50%,广东外语外贸大学,,,56
82,80,前50%,兰州大学,,,56
82,77,前50%,南京航空航天大学,,,56
86,89,前50%,上海海事大学,,,55
87,73,前50%,华中农业大学,,,51
88,84,前50%,北京第二外国语学院,,,50
88,95,前50%,华南师范大学,,,50
88,71,前50%,汕头大学,,,50
91,77,前50%,哈尔滨理工大学,,,49
92,90,前50%,重庆理工大学,,,48
93,105,前50%,北京联合大学,,,46
94,128,前50%,山西财经大学,,,44
95,107,前50%,北京邮电大学,,,43
95,100,前50%,东华大学,,,43
95,122,前50%,华南农业大学,,,43
95,105,前50%,陕西师范大学,,,43
99,95,前50%,南京师范大学,,,42
99,110,前50%,西南政法大学,,,42
99,131,前50%,中南民族大学,,,42
102,98,前50%,浙江师范大学,,,41
103,108,前50%,河南大学,,,40
103,128,前50%,江南大学,,,40
103,100,前50%,江苏科技大学,,,40
106,116,前50%,辽宁大学,,,39
106,91,前50%,中国石油大学（北京）,,,39
108,93,前50%,大连海事大学,,,38
108,110,前50%,河南财经政法大学,,,38
108,131,前50%,南昌大学,,,38
108,98,前50%,南京理工大学,,,38
112,82,前50%,华中师范大学,,,37
