排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,清华大学,,,1005
2,前1%,华中科技大学,,,950
3,前5%,中国科学技术大学,,,745
4,前5%,北京理工大学,,,708
5,前5%,合肥工业大学,,,660
6,前5%,北京航空航天大学,,,599
7,前5%,大连理工大学,,,581
8,前5%,上海交通大学,,,565
9,前5%,南京大学,,,522
10,前5%,同济大学,,,512
11,前5%,中山大学,,,511
12,前10%,东南大学,,,499
13,前10%,浙江大学,,,489
14,前10%,西安交通大学,,,481
15,前10%,武汉大学,,,457
16,前10%,华南理工大学,,,436
17,前10%,北京大学,,,410
18,前10%,哈尔滨工业大学,,,405
19,前10%,四川大学,,,393
19,前10%,天津大学,,,393
21,前10%,复旦大学,,,377
22,前10%,北京交通大学,,,370
23,前25%,东北大学,,,356
24,前25%,西南财经大学,,,332
25,前25%,南京理工大学,,,301
26,前25%,中国人民大学,,,295
27,前25%,南京航空航天大学,,,292
28,前25%,中南大学,,,270
29,前25%,南开大学,,,252
29,前25%,重庆大学,,,252
31,前25%,厦门大学,,,239
32,前25%,上海财经大学,,,237
33,前25%,东北财经大学,,,225
34,前25%,华东理工大学,,,209
35,前25%,湖南大学,,,208
36,前25%,电子科技大学,,,204
37,前25%,上海大学,,,175
38,前25%,国防科学技术大学,,,173
39,前25%,西南交通大学,,,162
40,前25%,福州大学,,,161
41,前25%,北京邮电大学,,,159
41,前25%,西北工业大学,,,159
43,前25%,江西财经大学,,,136
44,前25%,北京科技大学,,,135
45,前25%,中央财经大学,,,132
46,前25%,华北电力大学,,,123
47,前25%,河海大学,,,122
48,前25%,中国石油大学（北京）,,,112
49,前25%,大连海事大学,,,110
50,前25%,华中师范大学,,,106
51,前25%,广东工业大学,,,104
52,前25%,暨南大学,,,103
53,前25%,山东大学,,,102
54,前25%,哈尔滨工程大学,,,95
55,前25%,江苏科技大学,,,92
55,前25%,首都经济贸易大学,,,92
55,前25%,武汉理工大学,,,92
58,前50%,吉林大学,,,87
59,前50%,江苏大学,,,85
60,前50%,长沙理工大学,,,83
61,前50%,中南财经政法大学,,,81
62,前50%,北京化工大学,,,79
62,前50%,上海海事大学,,,79
62,前50%,浙江工商大学,,,79
65,前50%,南京财经大学,,,78
65,前50%,苏州大学,,,78
67,前50%,中国地质大学（武汉）,,,76
68,前50%,上海理工大学,,,71
69,前50%,青岛大学,,,65
69,前50%,浙江工业大学,,,65
71,前50%,北京工业大学,,,64
72,前50%,南京邮电大学,,,62
72,前50%,西安电子科技大学,,,62
74,前50%,河北大学,,,58
75,前50%,哈尔滨理工大学,,,56
75,前50%,燕山大学,,,56
77,前50%,南京信息工程大学,,,51
78,前50%,山东财经大学,,,50
79,前50%,杭州电子科技大学,,,47
80,前50%,深圳大学,,,46
81,前50%,东华大学,,,45
81,前50%,济南大学,,,45
83,前50%,南昌大学,,,42
84,前50%,内蒙古大学,,,41
85,前50%,河北工业大学,,,40
85,前50%,山西大学,,,40
85,前50%,西安理工大学,,,40
88,前50%,天津理工大学,,,37
89,前50%,武汉科技大学,,,36
89,前50%,中国矿业大学,,,36
89,前50%,重庆邮电大学,,,36
92,前50%,浙江理工大学,,,35
92,前50%,郑州大学,,,35
92,前50%,重庆交通大学,,,35
95,前50%,南京工业大学,,,33
95,前50%,西南民族大学,,,33
97,前50%,华侨大学,,,32
98,前50%,昆明理工大学,,,28
98,前50%,南京农业大学,,,28
98,前50%,山东科技大学,,,28
101,前50%,安徽财经大学,,,27
102,前50%,安徽工程大学,,,26
102,前50%,江南大学,,,26
104,前50%,北京工商大学,,,25
104,前50%,天津财经大学,,,25
104,前50%,天津工业大学,,,25
104,前50%,武汉纺织大学,,,25
104,前50%,重庆工商大学,,,25
109,前50%,河南工业大学,,,23
110,前50%,广西大学,,,22
110,前50%,河南财经政法大学,,,22
110,前50%,空军工程大学,,,22
110,前50%,西北大学,,,22
