2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,清华大学,,,1077
2,2,前1%,华中科技大学,,,821
3,3,前5%,中国科学技术大学,,,798
4,4,前5%,北京理工大学,,,634
5,5,前5%,合肥工业大学,,,578
6,8,前5%,上海交通大学,,,558
7,7,前5%,大连理工大学,,,547
8,16,前5%,华南理工大学,,,531
9,13,前5%,浙江大学,,,520
10,14,前5%,西安交通大学,,,449
11,12,前5%,东南大学,,,448
12,10,前10%,同济大学,,,446
13,6,前10%,北京航空航天大学,,,441
14,19,前10%,天津大学,,,417
15,11,前10%,中山大学,,,406
16,18,前10%,哈尔滨工业大学,,,405
17,19,前10%,四川大学,,,383
18,22,前10%,北京交通大学,,,381
19,15,前10%,武汉大学,,,374
20,9,前10%,南京大学,,,371
21,,前10%,湖南商学院,,,364
22,27,前10%,南京航空航天大学,,,359
23,23,前10%,东北大学,,,342
24,21,前25%,复旦大学,,,335
25,28,前25%,中南大学,,,304
26,26,前25%,中国人民大学,,,287
27,24,前25%,西南财经大学,,,282
28,25,前25%,南京理工大学,,,276
29,17,前25%,北京大学,,,257
30,32,前25%,上海财经大学,,,248
31,29,前25%,南开大学,,,237
32,33,前25%,东北财经大学,,,224
32,29,前25%,重庆大学,,,224
34,31,前25%,厦门大学,,,221
35,35,前25%,湖南大学,,,215
36,36,前25%,电子科技大学,,,203
37,34,前25%,华东理工大学,,,193
38,39,前25%,西南交通大学,,,186
39,41,前25%,西北工业大学,,,169
40,40,前25%,福州大学,,,163
41,37,前25%,上海大学,,,160
42,51,前25%,广东工业大学,,,156
43,38,前25%,国防科学技术大学,,,155
44,,前25%,对外经济贸易大学,,,153
45,52,前25%,暨南大学,,,151
45,43,前25%,江西财经大学,,,151
47,47,前25%,河海大学,,,134
48,44,前25%,北京科技大学,,,132
49,48,前25%,中国石油大学（北京）,,,131
50,62,前25%,北京化工大学,,,128
51,45,前25%,中央财经大学,,,123
52,50,前25%,华中师范大学,,,113
53,65,前25%,苏州大学,,,107
54,67,前25%,中国地质大学（武汉）,,,106
55,,前25%,浙江财经大学,,,104
56,41,前25%,北京邮电大学,,,102
56,54,前25%,哈尔滨工程大学,,,102
56,,前25%,中国计量大学,,,102
59,65,前50%,南京财经大学,,,101
60,71,前50%,北京工业大学,,,97
60,53,前50%,山东大学,,,97
62,83,前50%,南昌大学,,,95
62,80,前50%,深圳大学,,,95
64,46,前50%,华北电力大学,,,94
65,55,前50%,武汉理工大学,,,93
66,69,前50%,青岛大学,,,89
66,61,前50%,中南财经政法大学,,,89
68,62,前50%,上海海事大学,,,88
69,59,前50%,江苏大学,,,86
70,58,前50%,吉林大学,,,82
71,75,前50%,哈尔滨理工大学,,,81
72,55,前50%,首都经济贸易大学,,,78
73,68,前50%,上海理工大学,,,77
74,74,前50%,河北大学,,,75
75,62,前50%,浙江工商大学,,,72
76,78,前50%,山东财经大学,,,70
77,49,前50%,大连海事大学,,,65
78,79,前50%,杭州电子科技大学,,,64
78,60,前50%,长沙理工大学,,,64
78,69,前50%,浙江工业大学,,,64
81,77,前50%,南京信息工程大学,,,63
81,89,前50%,中国矿业大学,,,63
83,,前50%,北京信息科技大学,,,60
83,81,前50%,东华大学,,,60
83,55,前50%,江苏科技大学,,,60
86,72,前50%,西安电子科技大学,,,59
87,85,前50%,河北工业大学,,,56
88,88,前50%,天津理工大学,,,47
89,72,前50%,南京邮电大学,,,46
90,95,前50%,南京工业大学,,,40
91,85,前50%,西安理工大学,,,38
91,110,前50%,空军工程大学,,,38
93,102,前50%,江南大学,,,37
93,,前50%,长安大学,,,37
93,92,前50%,重庆交通大学,,,37
96,89,前50%,武汉科技大学,,,36
96,75,前50%,燕山大学,,,36
98,98,前50%,昆明理工大学,,,34
99,104,前50%,重庆工商大学,,,32
100,81,前50%,济南大学,,,31
100,98,前50%,山东科技大学,,,31
100,,前50%,陆军工程大学,,,31
100,89,前50%,重庆邮电大学,,,31
104,102,前50%,安徽工程大学,,,29
104,,前50%,广东外语外贸大学,,,29
104,84,前50%,内蒙古大学,,,29
104,85,前50%,山西大学,,,29
108,,前50%,辽宁大学,,,28
108,92,前50%,浙江理工大学,,,28
108,92,前50%,郑州大学,,,28
111,,前50%,山东师范大学,,,25
112,101,前50%,安徽财经大学,,,24
112,104,前50%,北京工商大学,,,24
112,,前50%,广东财经大学,,,24
112,,前50%,河南大学,,,24
112,,前50%,湖北工业大学,,,24
112,98,前50%,南京农业大学,,,24
