排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,中国人民大学,,,1174
2,前1%,北京大学,,,971
3,前5%,对外经济贸易大学,,,826
4,前5%,清华大学,,,760
5,前5%,上海财经大学,,,733
6,前5%,中央财经大学,,,724
7,前5%,厦门大学,,,631
8,前5%,西南财经大学,,,578
9,前5%,南开大学,,,558
10,前5%,中南财经政法大学,,,516
11,前5%,上海交通大学,,,507
12,前5%,东北财经大学,,,490
13,前10%,复旦大学,,,466
14,前10%,吉林大学,,,464
15,前10%,武汉大学,,,454
16,前10%,山东大学,,,410
17,前10%,北京师范大学,,,406
18,前10%,西安交通大学,,,385
19,前10%,浙江大学,,,383
20,前10%,江西财经大学,,,352
20,前10%,首都经济贸易大学,,,352
22,前10%,中山大学,,,327
23,前10%,南京大学,,,293
24,前10%,湖南大学,,,291
25,前25%,浙江财经大学,,,265
26,前25%,山东财经大学,,,248
27,前25%,暨南大学,,,224
28,前25%,辽宁大学,,,211
29,前25%,安徽财经大学,,,202
30,前25%,四川大学,,,179
31,前25%,南京审计大学,,,175
32,前25%,天津财经大学,,,170
33,前25%,西南大学,,,168
34,前25%,东南大学,,,160
34,前25%,华中科技大学,,,160
36,前25%,北京交通大学,,,158
36,前25%,南京财经大学,,,158
38,前25%,华东师范大学,,,148
38,前25%,中国海洋大学,,,148
40,前25%,广东外语外贸大学,,,138
41,前25%,浙江工业大学,,,136
42,前25%,湖南商学院,,,133
43,前25%,重庆大学,,,132
44,前25%,重庆工商大学,,,120
45,前25%,华东交通大学,,,109
46,前25%,北京工商大学,,,106
47,前25%,同济大学,,,104
47,前25%,西北大学,,,104
49,前25%,浙江工商大学,,,101
50,前25%,华南农业大学,,,99
51,前25%,广东财经大学,,,97
51,前25%,中国农业大学,,,97
53,前25%,云南财经大学,,,93
54,前25%,河南财经政法大学,,,86
55,前25%,贵州大学,,,83
55,前25%,华侨大学,,,83
57,前25%,上海对外经贸大学,,,82
58,前25%,山西财经大学,,,76
59,前25%,中南大学,,,74
60,前25%,湖南科技大学,,,73
60,前25%,武汉理工大学,,,73
62,前50%,华中农业大学,,,72
63,前50%,长沙理工大学,,,70
63,前50%,浙江理工大学,,,70
65,前50%,河北大学,,,66
65,前50%,华南师范大学,,,66
67,前50%,北京工业大学,,,65
67,前50%,南昌大学,,,65
69,前50%,合肥工业大学,,,63
69,前50%,宁波大学,,,63
71,前50%,华南理工大学,,,62
72,前50%,中国矿业大学,,,61
73,前50%,安徽工业大学,,,59
73,前50%,河南大学,,,59
75,前50%,山东理工大学,,,58
76,前50%,天津大学,,,57
77,前50%,北京航空航天大学,,,56
77,前50%,哈尔滨商业大学,,,56
77,前50%,上海海事大学,,,56
80,前50%,东北大学,,,55
81,前50%,福州大学,,,54
82,前50%,安徽大学,,,53
82,前50%,北京第二外国语学院,,,53
82,前50%,济南大学,,,53
85,前50%,江西师范大学,,,52
85,前50%,南京农业大学,,,52
87,前50%,南京师范大学,,,51
88,前50%,石河子大学,,,50
88,前50%,西南交通大学,,,50
90,前50%,华东理工大学,,,49
91,前50%,国防科学技术大学,,,48
92,前50%,上海大学,,,47
93,前50%,华中师范大学,,,46
94,前50%,广西大学,,,45
94,前50%,深圳大学,,,45
94,前50%,郑州大学,,,45
97,前50%,大连理工大学,,,44
97,前50%,福建师范大学,,,44
97,前50%,湘潭大学,,,44
100,前50%,电子科技大学,,,43
100,前50%,河北经贸大学,,,43
102,前50%,东北师范大学,,,42
102,前50%,海南大学,,,42
104,前50%,湖南师范大学,,,41
104,前50%,云南大学,,,41
106,前50%,兰州大学,,,40
107,前50%,贵州财经大学,,,39
107,前50%,吉林财经大学,,,39
107,前50%,新疆财经大学,,,39
110,前50%,北京理工大学,,,38
110,前50%,长安大学,,,38
112,前50%,江南大学,,,35
112,前50%,西北农林科技大学,,,35
112,前50%,重庆理工大学,,,35
115,前50%,中南民族大学,,,34
116,前50%,山东工商学院,,,33
117,前50%,河南师范大学,,,32
117,前50%,江苏师范大学,,,32
119,前50%,大连海事大学,,,31
119,前50%,哈尔滨工业大学,,,31
119,前50%,山东农业大学,,,31
119,前50%,苏州大学,,,31
123,前50%,福建农林大学,,,30
123,前50%,河南工业大学,,,30
123,前50%,内蒙古财经大学,,,30
123,前50%,重庆师范大学,,,30
