2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,1,前1%,中国人民大学,,,1128
2,2,前1%,北京大学,,,955
3,5,前5%,上海财经大学,,,766
4,4,前5%,清华大学,,,745
4,6,前5%,中央财经大学,,,745
6,3,前5%,对外经济贸易大学,,,695
7,9,前5%,南开大学,,,573
8,8,前5%,西南财经大学,,,570
9,7,前5%,厦门大学,,,502
10,15,前5%,武汉大学,,,434
11,12,前5%,东北财经大学,,,426
12,10,前5%,中南财经政法大学,,,416
13,17,前5%,北京师范大学,,,412
14,13,前10%,复旦大学,,,389
15,16,前10%,山东大学,,,369
16,11,前10%,上海交通大学,,,367
17,22,前10%,中山大学,,,361
18,20,前10%,首都经济贸易大学,,,349
19,14,前10%,吉林大学,,,347
20,18,前10%,西安交通大学,,,319
21,20,前10%,江西财经大学,,,303
22,19,前10%,浙江大学,,,296
23,27,前10%,暨南大学,,,267
24,24,前10%,湖南大学,,,259
25,23,前10%,南京大学,,,258
26,26,前10%,山东财经大学,,,239
27,31,前25%,南京审计大学,,,237
28,25,前25%,浙江财经大学,,,236
29,28,前25%,辽宁大学,,,193
30,32,前25%,天津财经大学,,,179
31,34,前25%,东南大学,,,171
32,29,前25%,安徽财经大学,,,168
32,43,前25%,重庆大学,,,168
34,36,前25%,北京交通大学,,,158
34,34,前25%,华中科技大学,,,158
34,30,前25%,四川大学,,,158
37,36,前25%,南京财经大学,,,146
38,41,前25%,浙江工业大学,,,132
39,44,前25%,重庆工商大学,,,128
40,38,前25%,华东师范大学,,,123
41,42,前25%,湖南商学院,,,121
42,40,前25%,广东外语外贸大学,,,120
43,38,前25%,中国海洋大学,,,109
44,45,前25%,华东交通大学,,,103
45,51,前25%,广东财经大学,,,101
46,53,前25%,云南财经大学,,,98
47,71,前25%,华南理工大学,,,97
47,49,前25%,浙江工商大学,,,97
49,46,前25%,北京工商大学,,,96
50,55,前25%,华侨大学,,,95
51,82,前25%,济南大学,,,91
52,33,前25%,西南大学,,,90
53,63,前25%,长沙理工大学,,,86
54,51,前25%,中国农业大学,,,82
55,60,前25%,湖南科技大学,,,80
56,59,前25%,中南大学,,,79
57,63,前25%,浙江理工大学,,,77
58,47,前25%,同济大学,,,73
59,50,前25%,华南农业大学,,,70
60,67,前25%,南昌大学,,,69
61,65,前25%,河北大学,,,68
61,76,前25%,天津大学,,,68
63,73,前25%,河南大学,,,66
63,58,前25%,山西财经大学,,,66
63,57,前25%,上海对外经贸大学,,,66
66,72,前25%,中国矿业大学,,,65
67,,前25%,杭州电子科技大学,,,64
67,65,前25%,华南师范大学,,,64
69,67,前50%,北京工业大学,,,61
70,97,前50%,大连理工大学,,,60
71,77,前50%,北京航空航天大学,,,58
71,47,前50%,西北大学,,,58
73,94,前50%,广西大学,,,56
74,62,前50%,华中农业大学,,,55
74,91,前50%,国防科学技术大学,,,55
76,85,前50%,南京农业大学,,,54
76,94,前50%,深圳大学,,,54
78,69,前50%,合肥工业大学,,,52
78,54,前50%,河南财经政法大学,,,52
78,93,前50%,华中师范大学,,,52
78,92,前50%,上海大学,,,52
82,69,前50%,宁波大学,,,51
83,77,前50%,哈尔滨商业大学,,,50
84,94,前50%,郑州大学,,,49
85,80,前50%,东北大学,,,48
86,73,前50%,安徽工业大学,,,46
86,81,前50%,福州大学,,,46
86,85,前50%,江西师范大学,,,46
86,88,前50%,石河子大学,,,46
90,,前50%,广州大学,,,43
91,106,前50%,兰州大学,,,42
91,,前50%,青岛大学,,,42
93,75,前50%,山东理工大学,,,41
94,119,前50%,苏州大学,,,40
94,97,前50%,湘潭大学,,,40
96,88,前50%,西南交通大学,,,39
97,119,前50%,大连海事大学,,,38
97,102,前50%,东北师范大学,,,38
99,82,前50%,安徽大学,,,37
99,100,前50%,河北经贸大学,,,37
99,,前50%,河南科技大学,,,37
99,77,前50%,上海海事大学,,,37
99,112,前50%,西北农林科技大学,,,37
99,104,前50%,云南大学,,,37
105,,前50%,东北农业大学,,,36
105,97,前50%,福建师范大学,,,36
105,104,前50%,湖南师范大学,,,36
105,,前50%,南京理工大学,,,36
109,110,前50%,北京理工大学,,,35
109,87,前50%,南京师范大学,,,35
111,117,前50%,江苏师范大学,,,34
111,,前50%,陕西师范大学,,,34
111,,前50%,温州大学,,,34
111,60,前50%,武汉理工大学,,,34
115,107,前50%,贵州财经大学,,,33
115,117,前50%,河南师范大学,,,33
115,110,前50%,长安大学,,,33
118,100,前50%,电子科技大学,,,32
118,107,前50%,新疆财经大学,,,32
118,,前50%,扬州大学,,,32
118,,前50%,浙江师范大学,,,32
118,,前50%,郑州航空工业管理学院,,,32
118,112,前50%,重庆理工大学,,,32
124,123,前50%,内蒙古财经大学,,,31
124,,前50%,西南民族大学,,,31
124,,前50%,中国地质大学（武汉）,,,31
127,102,前50%,海南大学,,,30
127,112,前50%,江南大学,,,30
127,,前50%,江苏大学,,,30
127,116,前50%,山东工商学院,,,30
131,,前50%,河海大学,,,29
131,90,前50%,华东理工大学,,,29
131,,前50%,陆军勤务学院,,,29
134,82,前50%,北京第二外国语学院,,,28
134,107,前50%,吉林财经大学,,,28
134,,前50%,兰州财经大学,,,28
134,,前50%,中南林业科技大学,,,28
