排名,百分位段,院校名称*,博士点,重点学科,总分
1,前1%,中国人民大学,,,877
2,前5%,北京大学,,,836
3,前5%,复旦大学,,,628
4,前5%,南开大学,,,562
5,前5%,武汉大学,,,558
6,前5%,上海财经大学,,,434
7,前10%,厦门大学,,,431
8,前10%,南京大学,,,394
9,前10%,中南财经政法大学,,,298
10,前10%,中央财经大学,,,293
11,前10%,江西财经大学,,,262
12,前10%,北京师范大学,,,253
13,前25%,西南财经大学,,,252
14,前25%,山东大学,,,242
15,前25%,吉林大学,,,235
16,前25%,西北大学,,,224
17,前25%,首都经济贸易大学,,,216
18,前25%,湘潭大学,,,213
19,前25%,清华大学,,,206
20,前25%,山东财经大学,,,188
21,前25%,浙江大学,,,179
22,前25%,四川大学,,,174
23,前25%,东北财经大学,,,148
24,前25%,对外经济贸易大学,,,144
25,前25%,南京审计大学,,,137
26,前25%,福建师范大学,,,125
26,前25%,华中科技大学,,,125
28,前25%,湖南商学院,,,120
29,前25%,南京财经大学,,,118
30,前25%,西安交通大学,,,117
31,前25%,中山大学,,,115
32,前50%,安徽财经大学,,,109
33,前50%,湖北大学,,,108
34,前50%,辽宁大学,,,100
35,前50%,河南大学,,,89
36,前50%,河南财经政法大学,,,88
37,前50%,云南大学,,,87
38,前50%,中国海洋大学,,,84
39,前50%,浙江财经大学,,,83
40,前50%,湖南大学,,,82
41,前50%,暨南大学,,,79
42,前50%,天津财经大学,,,77
43,前50%,北京工商大学,,,75
43,前50%,重庆大学,,,75
45,前50%,南昌大学,,,73
46,前50%,山西大学,,,70
47,前50%,山西财经大学,,,62
47,前50%,中南民族大学,,,62
49,前50%,东北师范大学,,,60
50,前50%,哈尔滨商业大学,,,59
51,前50%,内蒙古财经大学,,,58
52,前50%,安徽大学,,,57
52,前50%,华南师范大学,,,57
52,前50%,中央民族大学,,,57
55,前50%,广西大学,,,55
55,前50%,上海大学,,,55
55,前50%,西南民族大学,,,55
58,前50%,贵州财经大学,,,52
58,前50%,河北大学,,,52
60,前50%,陕西师范大学,,,50
61,前50%,江西农业大学,,,48
62,前50%,广东外语外贸大学,,,47
62,前50%,华东师范大学,,,47
62,前50%,上海交通大学,,,47
62,前50%,深圳大学,,,47
