2018排名,2017排名,百分位段,院校名称*,博士点,重点学科,总分
1,2,前1%,北京大学,,,889
2,1,前5%,中国人民大学,,,886
3,3,前5%,复旦大学,,,624
4,4,前5%,南开大学,,,548
5,5,前5%,武汉大学,,,535
6,7,前5%,厦门大学,,,420
7,6,前10%,上海财经大学,,,411
8,8,前10%,南京大学,,,395
9,9,前10%,中南财经政法大学,,,298
10,10,前10%,中央财经大学,,,280
11,13,前10%,西南财经大学,,,276
12,17,前10%,首都经济贸易大学,,,268
13,12,前25%,北京师范大学,,,256
14,15,前25%,吉林大学,,,243
14,14,前25%,山东大学,,,243
16,16,前25%,西北大学,,,242
17,18,前25%,湘潭大学,,,229
18,19,前25%,清华大学,,,219
19,22,前25%,四川大学,,,190
20,21,前25%,浙江大学,,,188
21,26,前25%,福建师范大学,,,181
22,20,前25%,山东财经大学,,,180
23,11,前25%,江西财经大学,,,170
24,23,前25%,东北财经大学,,,162
25,24,前25%,对外经济贸易大学,,,160
26,25,前25%,南京审计大学,,,149
27,30,前25%,西安交通大学,,,128
28,26,前25%,华中科技大学,,,126
29,41,前25%,暨南大学,,,123
30,31,前25%,中山大学,,,115
31,37,前25%,云南大学,,,114
32,40,前50%,湖南大学,,,112
33,29,前50%,南京财经大学,,,104
34,34,前50%,辽宁大学,,,96
35,36,前50%,河南财经政法大学,,,91
36,28,前50%,湖南商学院,,,87
37,46,前50%,山西大学,,,85
38,58,前50%,贵州财经大学,,,78
39,32,前50%,安徽财经大学,,,77
40,35,前50%,河南大学,,,76
41,33,前50%,湖北大学,,,75
42,,前50%,湖南师范大学,,,73
42,52,前50%,中央民族大学,,,73
44,62,前50%,广东外语外贸大学,,,71
45,39,前50%,浙江财经大学,,,68
46,51,前50%,内蒙古财经大学,,,62
47,,前50%,广东财经大学,,,61
47,,前50%,吉林财经大学,,,61
47,42,前50%,天津财经大学,,,61
50,49,前50%,东北师范大学,,,58
50,,前50%,上海对外经贸大学,,,58
50,,前50%,重庆工商大学,,,58
53,52,前50%,安徽大学,,,54
53,50,前50%,哈尔滨商业大学,,,54
53,,前50%,黑龙江大学,,,54
56,,前50%,武汉理工大学,,,52
56,43,前50%,重庆大学,,,52
58,55,前50%,西南民族大学,,,50
59,45,前50%,南昌大学,,,49
59,,前50%,山东理工大学,,,49
59,47,前50%,山西财经大学,,,49
62,58,前50%,河北大学,,,48
